Date,DRP** mg/L P,Flow_gal,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-02,,41250000.0,1.0,17.3,,,0.52,,,,,,,11.0,2000.0,41.0,7.34,,19.6,
2000-01-03,,41250000.0,1.0,18.7,,,0.52,,,,,,,7.0,2000.0,41.0,7.21,,19.5,
2000-01-04,,40310000.0,1.0,18.6,,,0.52,,,,,,,12.0,2000.0,40.0,7.22,,20.6,
2000-01-05,,39690000.0,1.0,20.7,,,0.52,,,,,,,10.0,2000.0,40.0,7.37,,22.2,
2000-01-06,,39560000.0,1.0,21.6,0.02,0.16,0.52,,,,24.4,,0.65,9.0,2000.0,40.0,7.31,,20.1,
2000-01-07,,39940000.0,1.0,23.1,,,0.52,,,,,,,11.0,2000.0,40.0,7.09,,21.5,
2000-01-08,,40440000.0,1.0,20.8,,,0.52,,,,,,,11.0,2000.0,40.0,7.18,,21.5,
2000-01-09,,40940000.0,1.0,20.7,,,0.52,,,,,,,14.0,2000.0,41.0,7.21,,20.9,
2000-01-10,,42870000.0,1.0,20.3,,,0.52,,,,,,,12.0,2000.0,43.0,7.19,,20.2,
2000-01-11,,44620000.0,1.0,20.9,,,0.52,,,,,,,6.0,2000.0,45.0,7.25,,22.0,
2000-01-12,,41690000.0,1.0,21.7,0.09,0.08,0.52,,,,24.8,,0.7,10.0,2000.0,42.0,7.46,,20.5,
2000-01-13,,40810000.0,1.0,20.4,,,0.52,,,,,,,9.0,2000.0,41.0,7.34,,19.4,
2000-01-14,,40310000.0,1.0,21.3,,,0.52,,,,,,,8.0,2000.0,40.0,7.44,,19.8,
2000-01-15,,43190000.0,1.0,21.5,,,0.52,,,,,,,9.0,2000.0,43.0,7.19,,20.7,
2000-01-16,,48620000.0,1.0,20.7,,,0.52,,,,,,,11.0,2000.0,49.0,7.3,,20.3,
2000-01-17,,44560000.0,1.0,17.7,,,0.52,,,,,,,10.0,2000.0,45.0,7.47,,20.0,
2000-01-18,,52000000.0,1.0,18.5,,,0.52,,,,,,,8.0,2000.0,52.0,7.08,,20.6,
2000-01-19,,46060000.0,1.0,18.5,0.12,0.12,0.52,,,,20.8,,0.5,6.0,2000.0,46.0,7.03,,21.6,
2000-01-20,,44250000.0,1.0,18.9,,,0.52,,,,,,,6.0,2000.0,44.0,7.31,,20.5,
2000-01-21,,43560000.0,1.0,19.8,,,0.52,,,,,,,6.0,2000.0,44.0,7.36,,20.6,
2000-01-22,,44500000.0,1.0,19.9,,,0.52,,,,,,,5.0,2000.0,45.0,7.28,,21.3,
2000-01-23,,65120000.0,1.0,19.9,,,0.52,,,,,,,9.0,2000.0,65.0,7.34,,20.0,
2000-01-24,,122870000.0,1.0,15.8,,,0.52,,,,,,,10.0,2000.0,123.0,7.25,,18.2,
2000-01-25,,82620000.0,1.0,6.6,0.33,1.49,0.52,,,,9.1,,0.85,9.0,2000.0,83.0,6.65,,19.9,
2000-01-26,,61940000.0,1.0,10.8,,,0.52,,,,,,,10.0,2000.0,62.0,7.2,,20.0,
2000-01-27,,54750000.0,1.0,14.1,,,0.52,,,,,,,9.0,2000.0,55.0,7.15,,21.3,
2000-01-28,,53250000.0,1.0,17.2,,,0.52,,,,,,,10.0,2000.0,53.0,7.18,,21.0,
2000-01-29,,51250000.0,1.0,17.1,,,0.52,,,,,,,7.0,2000.0,51.0,7.32,,19.5,
2000-01-30,,54120000.0,1.0,18.1,,,0.52,,,,,,,6.0,2000.0,54.0,7.34,,20.0,
2000-01-31,,50380000.0,1.0,17.4,,,0.52,,,,,,,10.0,2000.0,50.0,7.08,,19.4,
2000-02-01,,50060000.0,2.0,17.0,0.1,0.3,0.52,,,,19.2,,,6.0,2000.0,50.0,7.12,,20.0,
2000-02-02,,46750000.0,2.0,19.3,,,0.52,,,,,,,8.0,2000.0,47.0,6.91,,20.3,
2000-02-03,,46940000.0,2.0,19.7,,,0.52,,,,,,,6.0,2000.0,47.0,7.34,,19.3,
2000-02-04,,46620000.0,2.0,21.4,,,0.52,,,,,,,11.0,2000.0,47.0,7.1,,20.0,
2000-02-05,,47190000.0,2.0,19.8,,,0.52,,,,,,,8.0,2000.0,47.0,7.2,,19.6,
2000-02-06,,48000000.0,2.0,18.6,,,0.52,,,,,,,8.0,2000.0,48.0,7.17,,19.2,
2000-02-07,,46060000.0,2.0,18.0,0.2,0.27,0.52,,,,20.9,,0.67,9.0,2000.0,46.0,7.24,,20.6,
2000-02-08,,43810000.0,2.0,18.2,,,0.52,,,,,,,9.0,2000.0,44.0,7.25,,21.5,
2000-02-09,,46000000.0,2.0,19.3,,,0.52,,,,,,,8.0,2000.0,46.0,7.21,,20.6,
2000-02-10,,49560000.0,2.0,19.9,,,0.52,,,,,,,6.0,2000.0,50.0,7.2,,20.0,
2000-02-11,,64690000.0,2.0,21.1,,,0.52,,,,,,,8.0,2000.0,65.0,7.35,,19.9,
2000-02-12,,80690000.0,2.0,18.5,,,0.52,,,,,,,10.0,2000.0,81.0,6.93,,18.0,
2000-02-13,,106940000.0,2.0,9.7,,,0.52,,,,,,,11.0,2000.0,107.0,7.12,,18.0,
2000-02-14,,124000000.0,2.0,10.1,,,0.52,,,,,,,12.0,2000.0,124.0,7.12,,17.7,
2000-02-15,,104690000.0,2.0,6.3,,,0.52,,,,,,,15.0,2000.0,105.0,7.16,,19.3,
2000-02-16,,87690000.0,2.0,8.4,,,0.52,,,,,,,12.0,2000.0,88.0,7.16,,17.5,
2000-02-17,,70370000.0,2.0,10.5,0.57,0.39,0.52,,,,13.3,,1.53,19.0,2000.0,70.0,7.2,,18.0,
2000-02-18,,63190000.0,2.0,12.0,,,0.52,,,,,,,13.0,2000.0,63.0,7.3,,19.0,
2000-02-19,,59380000.0,2.0,14.0,,,0.52,,,,,,,9.0,2000.0,59.0,7.12,,19.7,
2000-02-20,,58940000.0,2.0,14.0,,,0.52,,,,,,,10.0,2000.0,59.0,7.2,,20.0,
2000-02-21,,61370000.0,2.0,13.5,,,0.52,,,,,,,7.0,2000.0,61.0,7.2,,19.0,
2000-02-22,,64370000.0,2.0,12.8,,,0.52,,,,,,,10.0,2000.0,64.0,7.42,,19.8,
2000-02-23,,94690000.0,2.0,13.8,,,0.52,,,,,,,10.0,2000.0,95.0,7.15,,18.0,
2000-02-24,,72810000.0,2.0,8.0,0.7,1.2,0.52,,,,10.1,,1.2,9.0,2000.0,73.0,7.09,,18.0,
