Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2004-03-01,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,10.02,,,,
2004-03-02,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,9.54,,,,
2004-03-03,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,8.92,,,,
2004-03-04,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,8.41,,,,
2004-03-05,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,8.85,,,,
2004-03-06,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,9.59,,,,
2004-03-07,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,7.38,,,,
2004-03-08,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,8.87,,,,
2004-03-09,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,8.88,,,,
2004-03-10,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,9.58,,,,
2004-03-11,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,9.78,,,,
2004-03-12,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,9.16,,,,
2004-03-13,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,9.09,,,,
2004-03-14,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,8.93,,,,
2004-03-15,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,9.75,,,,
2004-03-16,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,8.58,,,,
2004-03-17,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,7.71,,,,
2004-03-18,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,6.71,,,,
2004-03-19,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,6.71,,,,
2004-03-20,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,7.53,,,,
2004-03-21,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,6.59,,,,
2004-03-22,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,7.53,,,,
2004-03-23,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,7.89,,,,
2004-03-24,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,9.29,,,,
2004-03-25,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,9.14,,,,
2004-03-26,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,8.17,,,,
2004-03-27,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,8.66,,,,
2004-03-28,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,6.9,,,,
2004-03-29,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,6.22,,,,
2004-03-30,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,7.21,,,,
2004-03-31,,3.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,6.3,,,,
2004-04-01,,4.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,5.2,,,,
2004-04-02,,4.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,5.72,,,,
2004-04-03,,4.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,5.6,,,,
2004-04-04,,4.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,7.85,,,,
2004-04-05,,4.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,7.21,,,,
2004-04-06,,4.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,7.54,,,,
2004-04-07,,4.0,0.2,,14.67,1.83,,,,3.05,,2.83,,2004.0,6.63,,,,
2004-04-08,,4.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,6.83,,,,
2004-04-09,,4.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,6.65,,,,
2004-04-10,,4.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,6.02,,,,
2004-04-11,,4.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,4.96,,,,
2004-04-12,,4.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,4.91,,,,
2004-04-13,,4.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,4.93,,,,
2004-04-14,,4.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,4.69,,,,
2004-04-15,,4.0,,,14.67,1.83,,,,3.05,,2.83,,2004.0,3.68,,,,
