,NH3 mg/L N,Time
0,3.3,2010-11-05 12:05:00
1,,2010-11-08 08:51:00
2,,2010-11-08 10:00:00
3,,2010-11-08 11:19:00
4,,2010-11-08 12:13:00
5,3.8,2010-11-08 12:41:00
6,,2010-11-08 13:09:00
7,,2010-11-08 14:19:00
8,20.0,2010-11-09 08:57:00
9,15.0,2010-11-09 09:06:00
10,22.0,2010-11-09 09:15:00
11,3.8,2010-11-09 09:53:00
12,4.2,2010-11-10 09:08:00
13,4.5,2010-11-11 10:10:00
14,4.1,2010-11-12 08:40:00
15,5.5,2010-11-15 12:07:00
16,5.9,2010-11-16 10:40:00
17,5.7,2010-11-17 09:03:00
18,5.6,2010-11-18 05:56:00
19,5.6,2010-11-19 13:30:00
20,5.5,2010-11-22 13:00:00
21,5.4,2010-11-23 11:36:00
22,5.3,2010-11-24 07:39:00
23,19.0,2010-12-01 11:01:00
24,17.0,2010-12-01 11:13:00
25,21.0,2010-12-01 11:20:00
26,3.5,2010-12-01 13:30:00
27,4.3,2010-12-02 11:24:00
28,4.6,2010-12-03 09:32:00
29,5.1,2010-12-04 08:40:00
30,5.2,2010-12-06 09:47:00
31,,2010-12-07 09:13:00
32,5.7,2010-12-07 09:30:00
33,,2010-12-07 09:55:00
34,,2010-12-07 10:36:00
35,,2010-12-07 11:35:00
36,,2010-12-07 12:58:00
37,,2010-12-07 14:12:00
38,6.2,2010-12-08 08:20:00
39,5.6,2010-12-08 12:35:00
40,6.9,2010-12-10 08:50:00
41,7.7,2010-12-13 09:00:00
42,8.1,2010-12-14 12:05:00
43,7.7,2010-12-15 10:07:00
44,7.9,2010-12-16 11:37:00
45,7.8,2010-12-17 09:30:00
46,5.4,2010-12-19 08:20:00
47,27.0,2010-12-20 11:35:00
48,26.0,2010-12-20 11:43:00
49,19.0,2010-12-20 12:00:00
50,5.8,2010-12-20 12:08:00
51,22.0,2010-12-20 12:08:00
52,6.5,2010-12-21 10:10:00
53,5.7,2010-12-22 08:15:00
54,6.9,2010-12-23 07:28:00
55,7.3,2010-12-27 14:00:00
56,7.6,2010-12-28 09:20:00
57,7.1,2010-12-29 10:27:00
58,5.5,2011-01-02 12:36:00
59,6.4,2011-01-03 09:53:00
60,6.1,2011-01-04 12:12:00
61,6.7,2011-01-05 10:20:00
62,6.0,2011-01-06 08:43:00
63,0.08800000000000001,2011-01-06 08:53:00
64,0.08800000000000001,2011-01-06 09:34:00
65,0.044000000000000004,2011-01-06 10:22:00
66,,2011-01-06 11:22:00
67,0.077,2011-01-06 12:07:00
68,0.066,2011-01-06 13:07:00
69,6.5,2011-01-07 08:05:00
70,7.2,2011-01-10 12:53:00
71,19.0,2011-01-11 09:32:00
72,28.0,2011-01-11 09:43:00
73,30.0,2011-01-11 09:51:00
74,29.0,2011-01-11 10:00:00
75,22.0,2011-01-11 10:16:00
76,22.0,2011-01-11 10:22:00
77,6.8,2011-01-11 10:56:00
78,6.5,2011-01-12 10:45:00
79,6.8,2011-01-13 08:45:00
80,6.9,2011-01-14 08:45:00
81,7.4,2011-01-15 08:30:00
82,7.6,2011-01-17 08:10:00
83,7.6,2011-01-18 09:43:00
84,7.6,2011-01-19 08:50:00
85,7.9,2011-01-20 13:55:00
86,8.0,2011-01-21 08:00:00
87,7.8,2011-01-23 09:40:00
88,8.0,2011-01-24 12:01:00
89,8.3,2011-01-25 10:12:00
90,7.9,2011-01-26 08:32:00
91,24.0,2011-02-01 09:49:00
92,32.0,2011-02-01 10:00:00
93,30.0,2011-02-01 10:35:00
94,33.0,2011-02-01 10:45:00
95,26.0,2011-02-01 10:58:00
96,27.0,2011-02-01 11:07:00
97,8.2,2011-02-01 11:10:00
98,0.56,2011-02-01 12:00:00
99,0.56,2011-02-01 12:00:00
100,2.0,2011-02-02 12:08:00
101,1.53,2011-02-03 10:26:00
102,1.51,2011-02-04 09:30:00
103,1.53,2011-02-07 12:13:00
104,1.9,2011-02-08 09:20:00
105,1.55,2011-02-09 08:47:00
106,0.5,2011-02-09 09:07:00
107,0.5,2011-02-09 09:57:00
108,0.5,2011-02-09 10:29:00
109,0.5,2011-02-09 11:28:00
110,0.5,2011-02-09 12:00:00
111,0.5,2011-02-09 12:58:00
112,1.46,2011-02-10 09:10:00
113,1.62,2011-02-11 14:00:00
114,1.59,2011-02-12 07:44:00
115,2.0,2011-02-14 13:30:00
116,1.98,2011-02-15 12:13:00
117,1.7,2011-02-16 10:15:00
118,1.5,2011-02-17 08:50:00
119,1.3,2011-02-18 09:30:00
120,1.3,2011-02-21 08:20:00
121,1.5,2011-02-22 12:22:00
122,1.6,2011-02-23 10:09:00
123,1.9,2011-02-24 14:20:00
124,0.89,2011-02-25 11:54:00
125,1.6,2011-02-28 12:10:00
126,1.6,2011-03-01 10:05:00
127,31.0,2011-03-01 10:39:00
128,30.0,2011-03-01 10:44:00
129,26.0,2011-03-01 10:56:00
130,27.0,2011-03-01 11:02:00
131,24.0,2011-03-01 11:17:00
132,30.0,2011-03-01 11:23:00
133,1.21,2011-03-02 13:20:00
134,1.14,2011-03-03 09:10:00
135,1.25,2011-03-04 08:00:00
136,1.43,2011-03-07 12:55:00
137,22.0,2011-03-08 09:44:00
138,1.8,2011-03-08 10:15:00
139,1.8,2011-03-08 10:15:00
140,5.0,2011-03-08 13:44:00
141,1.46,2011-03-09 09:43:00
142,1.03,2011-03-10 08:50:00
143,0.88,2011-03-11 09:05:00
144,1.1,2011-03-14 12:25:00
145,0.9,2011-03-15 10:14:00
146,1.07,2011-03-16 09:22:00
147,0.5,2011-03-16 09:29:00
148,0.5,2011-03-16 10:11:00
149,0.5,2011-03-16 11:03:00
150,0.5,2011-03-17 08:56:00
151,0.5,2011-03-17 09:56:00
152,0.5,2011-03-17 11:31:00
153,1.0,2011-03-17 14:05:00
154,1.03,2011-03-18 13:18:00
155,0.5,2011-03-21 13:48:00
156,0.56,2011-03-22 08:45:00
157,0.5,2011-03-23 10:57:00
158,0.54,2011-03-24 09:20:00
159,0.5,2011-03-25 09:05:00
160,0.51,2011-03-28 12:25:00
161,0.5,2011-03-29 12:04:00
162,0.5,2011-03-30 10:07:00
163,0.5,2011-03-31 08:26:00
164,,2011-04-01 10:58:00
165,,2011-04-04 13:47:00
166,0.38,2011-04-05 09:40:00
167,0.38,2011-04-05 09:40:00
168,0.65,2011-04-05 09:50:00
169,2.5,2011-04-05 11:18:00
170,24.0,2011-04-05 11:24:00
171,24.0,2011-04-05 11:32:00
172,26.0,2011-04-05 11:42:00
173,8.7,2011-04-05 11:56:00
174,12.0,2011-04-05 12:05:00
175,,2011-04-06 10:42:00
176,,2011-04-07 09:25:00
177,,2011-04-08 09:20:00
178,,2011-04-09 07:35:00
179,,2011-04-10 07:35:00
180,,2011-04-11 09:34:00
181,,2011-04-11 10:05:00
182,,2011-04-11 10:24:00
183,,2011-04-11 11:03:00
184,,2011-04-11 11:41:00
185,,2011-04-11 12:18:00
186,,2011-04-11 13:16:00
187,0.41,2011-04-12 10:56:00
188,,2011-04-13 10:10:00
189,,2011-04-14 09:20:00
190,,2011-04-15 13:15:00
191,,2011-04-18 11:27:00
192,0.54,2011-04-19 12:07:00
193,,2011-04-20 11:32:00
194,,2011-04-21 09:10:00
195,,2011-04-22 10:05:00
196,,2011-04-25 12:58:00
197,0.34,2011-04-26 11:08:00
198,,2011-04-27 09:17:00
199,,2011-04-28 13:20:00
200,,2011-04-29 11:10:00
201,,2011-05-02 09:43:00
202,0.68,2011-05-03 09:24:00
203,0.56,2011-05-03 09:32:00
204,1.4,2011-05-03 09:40:00
205,0.45,2011-05-03 09:45:00
206,,2011-05-04 10:52:00
207,,2011-05-05 08:48:00
208,,2011-05-06 07:41:00
209,,2011-05-09 08:27:00
210,,2011-05-09 09:10:00
211,,2011-05-09 09:52:00
212,,2011-05-09 11:16:00
213,,2011-05-09 11:58:00
214,,2011-05-09 12:15:00
215,,2011-05-09 12:54:00
216,0.8,2011-05-10 09:00:00
217,,2011-05-11 09:13:00
218,0.54,2011-05-12 08:07:00
219,1.06,2011-05-13 09:15:00
220,0.82,2011-05-16 11:30:00
221,1.1,2011-05-17 09:38:00
222,0.6,2011-05-18 08:40:00
223,0.67,2011-05-19 13:10:00
224,1.14,2011-05-20 07:30:00
225,0.93,2011-05-22 07:46:00
226,,2011-05-23 11:47:00
227,0.88,2011-05-24 09:42:00
228,1.12,2011-05-25 10:50:00
229,0.6,2011-05-26 09:02:00
230,1.0,2011-05-27 08:55:00
231,1.3,2011-05-29 10:10:00
232,1.3,2011-05-30 09:50:00
233,1.4,2011-05-31 08:15:00
234,0.86,2011-06-01 13:40:00
235,1.5,2011-06-02 11:47:00
236,1.8,2011-06-06 11:59:00
237,12.0,2011-06-07 09:30:00
238,6.6,2011-06-07 09:36:00
239,2.4,2011-06-07 09:42:00
240,1.84,2011-06-08 10:16:00
241,0.13,2011-06-09 08:12:00
242,0.055,2011-06-09 09:00:00
243,2.07,2011-06-09 09:30:00
244,0.055,2011-06-09 09:41:00
245,,2011-06-09 11:18:00
246,0.066,2011-06-09 11:56:00
247,0.055,2011-06-09 12:50:00
248,2.1,2011-06-10 09:15:00
249,2.1,2011-06-11 09:15:00
250,2.0,2011-06-12 09:40:00
251,2.1,2011-06-13 08:45:00
252,2.1,2011-06-14 09:02:00
253,2.2,2011-06-15 09:05:00
254,2.2,2011-06-16 08:45:00
255,2.6,2011-06-17 09:45:00
256,1.8,2011-06-20 08:15:00
257,1.7,2011-06-21 08:37:00
258,0.94,2011-06-22 08:25:00
259,1.02,2011-06-23 10:13:00
260,1.09,2011-06-24 09:49:00
261,1.57,2011-06-26 08:40:00
262,0.97,2011-06-27 12:06:00
263,1.6,2011-06-28 08:30:00
264,3.01,2011-06-29 07:30:00
265,2.0,2011-07-01 13:23:00
266,1.8,2011-07-04 08:30:00
267,15.0,2011-07-05 08:10:00
268,15.0,2011-07-05 08:17:00
269,2.0,2011-07-05 08:37:00
270,0.066,2011-07-06 08:39:00
271,,2011-07-06 09:38:00
272,1.5,2011-07-06 09:40:00
273,,2011-07-06 10:16:00
274,,2011-07-06 11:08:00
275,,2011-07-06 11:53:00
276,0.055,2011-07-06 12:48:00
277,1.8,2011-07-07 14:49:00
278,2.5,2011-07-08 11:40:00
279,2.8,2011-07-11 12:05:00
280,2.8,2011-07-12 09:50:00
281,2.7,2011-07-13 08:19:00
282,2.6,2011-07-14 08:18:00
283,2.8,2011-07-15 08:14:00
284,2.7,2011-07-16 08:37:00
285,2.8,2011-07-17 09:20:00
286,2.8,2011-07-18 08:42:00
287,2.9,2011-07-19 10:19:00
288,2.93,2011-07-20 09:15:00
289,3.58,2011-07-21 14:29:00
290,2.62,2011-07-24 09:50:00
291,1.97,2011-07-25 12:11:00
292,2.2,2011-07-26 10:16:00
293,2.24,2011-07-27 09:12:00
294,2.45,2011-07-28 07:20:00
295,0.84,2011-08-02 14:51:00
296,1.18,2011-08-03 13:00:00
297,0.57,2011-08-04 11:13:00
298,1.34,2011-08-05 09:40:00
299,1.47,2011-08-06 07:35:00
300,1.8,2011-08-08 13:37:00
301,1.38,2011-08-09 08:30:00
302,10.0,2011-08-10 08:51:00
303,1.9,2011-08-10 08:56:00
304,9.6,2011-08-10 09:02:00
305,2.28,2011-08-11 08:55:00
306,1.83,2011-08-12 08:57:00
307,2.4,2011-08-15 12:00:00
308,2.4,2011-08-16 10:04:00
309,2.6,2011-08-17 08:04:00
310,,2011-08-17 08:18:00
311,,2011-08-17 09:08:00
312,,2011-08-17 09:40:00
313,,2011-08-17 10:40:00
314,,2011-08-17 11:58:00
315,,2011-08-17 12:58:00
316,2.53,2011-08-18 13:58:00
317,2.5,2011-08-19 07:39:00
318,2.52,2011-08-22 12:00:00
319,2.8,2011-08-23 10:13:00
320,2.83,2011-08-24 08:16:00
321,2.42,2011-08-25 13:39:00
322,2.73,2011-08-26 07:39:00
323,3.07,2011-08-28 07:00:00
324,3.01,2011-08-29 13:57:00
325,2.92,2011-08-30 07:21:00
326,3.2,2011-09-02 11:58:00
327,1.8,2011-09-06 12:28:00
328,1.8,2011-09-07 10:28:00
329,1.9,2011-09-08 14:12:00
330,2.2,2011-09-09 07:57:00
331,2.5,2011-09-12 12:15:00
332,2.4,2011-09-13 08:27:00
333,2.2,2011-09-13 08:28:00
334,19.0,2011-09-13 08:55:00
335,17.0,2011-09-13 09:10:00
336,,2011-09-14 08:20:00
337,,2011-09-14 09:04:00
338,,2011-09-14 09:53:00
339,,2011-09-14 10:28:00
340,,2011-09-14 11:28:00
341,,2011-09-14 12:37:00
342,2.3,2011-09-15 09:30:00
343,2.2,2011-09-16 08:47:00
344,2.8,2011-09-19 12:21:00
345,3.1,2011-09-20 10:30:00
346,2.51,2011-09-21 14:40:00
347,3.61,2011-09-22 09:38:00
348,2.64,2011-09-23 07:36:00
349,3.2,2011-09-26 11:53:00
350,4.2,2011-09-27 08:32:00
351,18.0,2011-09-27 08:58:00
352,2.5,2011-09-27 09:05:00
353,11.0,2011-09-27 09:12:00
354,3.18,2011-09-28 08:19:00
355,3.84,2011-09-29 13:58:00
356,4.36,2011-09-30 07:42:00
357,4.54,2011-10-02 12:15:00
358,3.08,2011-10-03 07:23:00
359,5.16,2011-10-04 11:20:00
360,4.58,2011-10-05 09:53:00
361,4.72,2011-10-06 12:37:00
362,5.43,2011-10-10 12:00:00
363,16.0,2011-10-11 09:39:00
364,2.9,2011-10-11 09:47:00
365,21.0,2011-10-11 09:55:00
366,21.0,2011-10-11 10:03:00
367,5.9,2011-10-11 10:10:00
368,20.0,2011-10-11 10:11:00
369,5.61,2011-10-12 08:45:00
370,,2011-10-12 08:51:00
371,,2011-10-12 09:28:00
372,,2011-10-12 11:46:00
373,5.0,2011-10-13 08:35:00
374,,2011-10-13 12:23:00
375,,2011-10-13 13:07:00
376,,2011-10-13 14:05:00
377,5.14,2011-10-14 07:35:00
378,3.64,2011-10-15 09:45:00
379,5.5,2011-10-17 13:04:00
380,5.5,2011-10-18 11:17:00
381,5.0,2011-10-19 09:23:00
382,5.0,2011-10-20 13:35:00
383,5.3,2011-10-21 07:22:00
384,5.0,2011-10-24 07:29:00
385,4.7,2011-10-25 07:32:00
386,2.7,2011-10-26 07:35:00
387,2.3,2011-10-27 14:06:00
388,2.4,2011-10-28 09:35:00
389,2.8,2011-10-30 10:20:00
390,3.1,2011-10-31 07:20:00
391,3.4,2011-11-01 13:40:00
392,2.8,2011-11-02 12:07:00
393,2.6,2011-11-03 10:12:00
394,3.0,2011-11-04 08:20:00
395,3.9,2011-11-06 07:13:00
396,3.5,2011-11-07 12:05:00
397,3.3,2011-11-08 10:40:00
398,3.4,2011-11-09 08:36:00
399,3.5,2011-11-10 07:20:00
400,22.0,2011-11-14 09:01:00
401,26.0,2011-11-14 09:08:00
402,4.9,2011-11-14 09:12:00
403,30.0,2011-11-14 09:14:00
404,29.0,2011-11-14 09:23:00
405,22.0,2011-11-14 09:33:00
406,19.0,2011-11-14 09:40:00
407,4.69,2011-11-15 09:10:00
408,4.76,2011-11-16 09:17:00
409,,2011-11-16 09:25:00
410,,2011-11-16 10:11:00
411,,2011-11-16 10:50:00
412,,2011-11-16 11:53:00
413,,2011-11-16 12:24:00
414,,2011-11-16 13:23:00
