,NO2 mg/L N,Time
0,0.15,2010-11-05
1,0.10466666666666667,2010-11-09
2,0.19166666666666665,2010-12-01
3,0.21075,2010-12-20
4,0.084,2010-12-23
5,0.071,2011-01-02
6,0.043166666666666666,2011-01-11
7,0.06185714285714287,2011-02-01
8,0.19849999999999998,2011-03-01
9,0.16,2011-03-08
10,1.1415000000000002,2011-04-05
11,1.6576666666666668,2011-05-03
12,,2011-05-09
13,0.27749999999999997,2011-06-07
14,0.005,2011-07-05
15,,2011-07-06
16,0.043,2011-08-10
17,0.55,2011-09-02
18,0.002,2011-09-13
19,0.32866666666666666,2011-09-27
20,1.5233333333333334,2011-10-11
21,0.07733333333333334,2011-11-14
22,0.002,2011-11-16
23,1.3950000000000002,2011-12-06
24,0.14,2011-12-22
25,0.2988571428571429,2012-01-10
26,,2012-02-01
27,,2012-02-02
28,0.004000000000000001,2012-02-06
29,0.09366666666666668,2012-03-07
30,0.055999999999999994,2012-03-19
31,1.0388333333333335,2012-04-05
32,0.0026666666666666666,2012-04-06
33,0.05,2012-04-10
34,0.012,2012-05-08
35,,2012-05-11
36,1.6,2012-05-15
37,0.005,2012-06-05
38,0.28500000000000003,2012-07-03
39,,2012-07-19
40,,2012-07-20
41,0.009000000000000001,2012-08-13
42,0.0025,2012-09-04
43,,2012-10-03
44,,2012-10-11
45,,2012-10-12
46,0.12,2012-11-13
47,0.003,2012-11-15
48,,2012-11-27
49,0.08900000000000001,2012-12-03
50,0.403,2012-12-07
51,0.013000000000000001,2012-12-13
52,0.0305,2013-01-02
53,,2013-01-10
54,,2013-01-11
55,0.007499999999999999,2013-02-04
56,0.042,2013-02-26
57,0.06857142857142859,2013-03-04
58,0.37166666666666665,2013-04-09
59,0.155,2013-04-15
60,0.018,2013-05-07
61,0.006,2013-05-09
62,,2013-05-10
63,,2013-06-03
64,0.086,2013-06-26
65,0.0625,2013-07-10
66,,2013-07-17
67,0.006,2013-07-18
68,0.014,2013-08-06
69,0.005,2013-09-05
70,0.11,2013-09-27
71,0.067,2013-10-02
72,0.002,2013-10-16
73,0.006,2013-10-17
74,0.2338333333333333,2013-11-07
75,0.12,2013-12-12
76,0.081,2014-01-06
77,0.009000000000000001,2014-02-04
78,0.5730000000000001,2014-03-03
79,0.43500000000000005,2014-04-07
80,0.1155,2014-05-05
81,0.14,2014-06-02
82,0.033,2014-07-07
83,0.152,2014-08-04
84,0.1585,2014-09-09
85,,2014-10-06
86,0.0085,2014-11-03
87,0.006,2014-12-01
88,0.14,2015-01-05
89,0.12,2015-02-02
90,3.0,2015-03-02
91,0.315,2015-04-06
92,0.2445,2015-05-05
93,0.807,2015-06-02
94,0.0165,2015-07-07
95,2.35,2015-08-04
96,0.006999999999999999,2015-09-01
97,0.018000000000000002,2015-10-06
98,0.15,2015-11-03
99,0.845,2015-12-01
100,0.14500000000000002,2016-01-05
101,0.0345,2016-02-02
102,0.39,2016-03-01
103,,2016-04-05
104,1.85,2016-05-03
105,1.9,2016-05-25
106,0.32,2016-06-07
107,0.9199999999999999,2016-07-05
108,0.88,2016-07-18
109,0.9400000000000001,2016-08-02
110,0.65,2016-08-08
111,0.023,2016-09-13
112,0.0175,2016-10-04
113,0.7,2016-11-01
114,0.435,2016-12-06
115,0.485,2017-01-03
116,1.5499999999999998,2017-02-07
