,NH3 mg/L N,Time
0,0.9,2010-07-06 08:00:00
1,0.1,2010-07-10 08:00:00
2,0.4,2010-07-11 08:00:00
3,0.5,2010-07-13 07:59:00
4,1.1,2010-07-16 08:00:00
5,0.8,2010-07-18 08:00:00
6,1.7,2010-07-18 08:00:00
7,2.6,2010-07-18 13:05:00
8,2.2,2010-07-25 08:00:00
9,0.6,2010-07-25 08:00:00
10,0.3,2010-07-30 08:25:00
11,0.24,2010-08-03 08:14:00
12,0.6,2010-08-03 10:00:00
13,0.2,2010-08-03 22:15:00
14,0.5,2010-08-08 01:30:00
15,0.6,2010-08-08 08:35:00
16,0.1,2010-08-11 12:38:00
17,1.6,2010-08-15 04:30:00
18,1.8,2010-08-15 09:20:00
19,3.3,2010-08-22 01:15:00
20,7.4,2010-08-22 01:15:00
21,2.9,2010-08-25 11:20:00
22,7.1,2010-08-29 00:05:00
23,6.8,2010-08-29 09:40:00
24,1.75,2010-09-04 08:36:00
25,5.4,2010-09-07 08:00:00
26,8.0,2010-09-08 00:30:00
27,4.7,2010-09-08 05:30:00
28,3.0,2010-09-12 00:15:00
29,0.57,2010-09-12 12:30:00
30,0.73,2010-09-15 08:20:00
31,0.57,2010-09-19 00:07:00
32,1.1,2010-09-19 10:00:00
33,0.16,2010-09-21 07:45:00
34,0.22,2010-09-28 08:01:00
35,1.5,2010-09-29 10:50:00
36,0.29,2010-09-29 17:30:00
37,4.5,2010-10-03 00:14:00
38,1.9,2010-10-03 19:50:00
39,0.32,2010-10-05 11:20:00
40,0.3,2010-10-12 07:55:00
41,0.3,2010-10-19 08:10:00
42,10.6,2010-10-20 12:50:00
43,0.79,2010-10-22 02:40:00
44,0.14,2010-10-26 07:46:00
45,0.07,2010-10-27 15:58:00
46,14.1,2010-10-28 12:40:00
47,21.5,2010-10-31 10:45:00
48,0.22,2010-11-02 07:55:00
49,0.6,2010-11-03 08:40:00
50,0.39,2010-11-03 08:40:00
51,0.25,2010-11-09 08:15:00
52,10.9,2010-11-10 10:15:00
53,0.36,2010-11-11 17:30:00
54,0.45,2010-11-14 00:05:00
55,3.68,2010-11-14 00:14:00
56,0.23,2010-11-16 07:35:00
57,0.15,2010-11-23 07:55:00
58,0.26,2010-11-30 08:00:00
59,0.57,2010-12-07 07:55:00
60,6.9,2010-12-07 11:50:00
61,0.16,2010-12-10 18:25:00
62,7.0,2010-12-12 00:04:00
63,0.16,2010-12-12 00:20:00
64,1.14,2010-12-14 08:05:00
65,0.43,2010-12-21 08:10:00
66,0.59,2010-12-28 08:08:00
67,0.45,2011-01-04 08:00:00
68,1.2,2011-01-10 08:27:00
69,1.0,2011-01-11 07:50:00
70,0.38,2011-01-19 08:15:00
71,1.3,2011-01-24 08:30:00
72,0.47,2011-01-25 08:15:00
73,2.0,2011-01-31 08:05:00
74,0.6,2011-02-01 08:15:00
75,0.8,2011-02-06 08:25:00
76,1.1,2011-02-08 07:40:00
77,0.8,2011-02-15 08:15:00
78,1.6,2011-02-22 08:08:00
79,0.4,2011-02-23 09:05:00
80,0.8,2011-02-27 08:35:00
81,0.32,2011-03-08 08:20:00
82,0.19,2011-03-14 08:05:00
83,0.19,2011-03-16 09:52:00
84,0.18,2011-03-20 08:10:00
85,0.11,2011-03-23 08:10:00
86,0.16,2011-03-29 07:55:00
87,0.12,2011-04-05 08:05:00
88,0.1,2011-04-08 08:00:00
89,0.2,2011-04-09 09:45:00
90,0.24,2011-04-10 00:10:00
91,0.22,2011-04-10 03:13:00
92,0.19,2011-04-17 09:16:00
93,0.266,2011-04-18 10:42:00
94,0.1,2011-04-23 08:37:00
95,0.14,2011-04-25 08:15:00
96,0.12,2011-04-26 07:55:00
97,0.19,2011-04-27 00:38:00
98,0.13,2011-04-27 10:10:00
99,2.1,2011-05-01 00:45:00
100,0.3,2011-05-01 07:45:00
101,0.29,2011-05-01 13:40:00
102,0.17,2011-05-04 08:00:00
103,0.11,2011-05-10 08:00:00
104,0.3,2011-05-13 14:40:00
105,0.3,2011-05-14 16:00:00
106,0.3,2011-05-15 00:30:00
107,1.3,2011-05-15 01:40:00
108,0.15,2011-05-16 08:05:00
109,0.16,2011-05-24 08:01:00
110,0.4,2011-05-24 12:55:00
111,0.6,2011-05-24 21:20:00
112,0.7,2011-05-29 01:10:00
113,0.4,2011-05-29 14:15:00
114,0.18,2011-06-03 07:38:00
115,0.23,2011-06-06 07:57:00
116,0.38,2011-06-12 09:07:00
117,0.63,2011-06-15 08:05:00
118,0.846,2011-06-21 10:45:00
119,0.86,2011-06-24 13:30:00
120,0.17,2011-06-25 08:50:00
121,0.07,2011-06-26 00:05:00
122,0.26,2011-06-27 08:15:00
123,0.14,2011-07-03 08:15:00
124,0.17,2011-07-05 07:47:00
125,0.22,2011-07-07 00:55:00
126,0.28,2011-07-08 03:00:00
127,0.24,2011-07-10 00:03:00
128,0.15,2011-07-10 08:27:00
129,4.2,2011-07-11 02:15:00
130,0.3,2011-07-14 18:40:00
131,0.69,2011-07-18 00:35:00
132,0.17,2011-07-18 08:50:00
133,0.09,2011-07-18 09:40:00
134,0.9,2011-07-24 00:05:00
135,0.54,2011-07-24 00:30:00
136,0.38,2011-07-28 06:45:00
137,0.15,2011-07-28 13:12:00
138,0.45,2011-08-02 03:00:00
139,0.11,2011-08-02 08:30:00
140,0.2,2011-08-02 16:30:00
141,0.18,2011-08-07 00:45:00
142,0.25,2011-08-07 07:10:00
143,1.45,2011-08-08 07:45:00
144,0.14,2011-08-14 08:10:00
145,0.66,2011-08-15 08:35:00
146,1.5,2011-08-15 09:55:00
147,0.38,2011-08-15 13:11:00
148,1.3,2011-08-21 00:05:00
149,0.09,2011-08-21 10:43:00
150,1.2,2011-08-23 08:00:00
151,0.11,2011-08-24 07:55:00
152,0.54,2011-08-28 01:15:00
153,0.15,2011-08-28 07:10:00
154,0.34,2011-08-31 12:55:00
155,0.5,2011-09-06 08:09:00
156,1.5,2011-09-08 13:20:00
157,0.31,2011-09-08 23:15:00
158,0.6,2011-09-11 10:30:00
159,0.77,2011-09-12 00:10:00
160,0.13,2011-09-12 08:10:00
161,0.66,2011-09-18 00:10:00
162,0.39,2011-09-18 10:04:00
163,0.12,2011-09-20 08:20:00
164,0.16,2011-09-26 08:05:00
165,0.23,2011-10-03 08:18:00
166,0.13,2011-10-06 00:45:00
167,2.4,2011-10-07 09:40:00
168,0.25,2011-10-11 07:58:00
169,0.22,2011-10-16 08:20:00
170,0.2,2011-10-18 08:10:00
171,0.25,2011-10-25 01:15:00
172,0.11,2011-10-26 08:05:00
173,0.23,2011-10-31 08:05:00
174,0.44,2011-11-06 08:10:00
175,0.69,2011-11-15 07:55:00
176,0.3,2011-11-21 08:22:00
177,2.65,2011-11-27 08:10:00
178,1.54,2011-11-28 08:09:00
179,0.16,2011-12-06 08:10:00
180,0.36,2011-12-12 07:55:00
181,0.45,2011-12-18 08:22:00
182,0.73,2011-12-27 08:10:00
183,0.5,2012-01-03 07:50:00
184,0.5,2012-01-08 08:19:00
185,0.3,2012-01-17 08:05:00
186,0.8,2012-01-23 07:22:00
187,0.3,2012-01-31 08:26:00
188,0.3,2012-02-07 07:50:00
189,0.3,2012-02-13 08:19:00
190,0.3,2012-02-19 08:05:00
191,0.2,2012-02-20 07:22:00
192,0.5,2012-02-21 08:26:00
193,0.3,2012-02-22 08:26:00
194,0.3,2012-02-23 08:26:00
195,0.3,2012-02-28 08:26:00
196,1.3,2012-03-05 07:38:00
197,0.8,2012-03-06 07:57:00
198,0.8,2012-03-07 09:07:00
199,0.7,2012-03-08 08:05:00
200,1.0,2012-03-08 13:43:00
201,1.1,2012-03-11 10:45:00
202,1.0,2012-03-20 08:15:00
203,4.7,2012-03-20 12:30:00
204,0.4,2012-03-20 20:45:00
205,1.6,2012-03-26 08:15:00
206,1.5,2012-03-29 09:15:00
207,4.2,2012-03-29 11:00:00
208,0.8,2012-03-29 19:50:00
209,0.6,2012-04-01 08:00:00
210,0.6,2012-04-01 08:07:00
211,0.6,2012-04-02 09:55:00
212,0.4,2012-04-10 08:05:00
213,0.4,2012-04-16 07:55:00
214,1.4,2012-04-22 08:04:00
215,0.2,2012-04-26 19:35:00
216,0.4,2012-04-28 13:25:00
217,0.2,2012-04-29 00:10:00
218,1.0,2012-04-29 08:30:00
219,0.2,2012-05-01 08:03:00
220,1.3,2012-05-04 14:10:00
221,0.1,2012-05-06 00:10:00
222,0.2,2012-05-06 09:08:00
223,0.4,2012-05-10 14:52:00
224,0.4,2012-05-14 07:50:00
225,0.2,2012-05-22 08:42:00
226,0.4,2012-05-29 08:15:00
227,0.5,2012-06-01 10:15:00
228,0.2,2012-06-03 08:44:00
229,0.2,2012-06-12 07:46:00
230,0.4,2012-06-13 12:50:00
231,0.2,2012-06-16 09:10:00
232,0.2,2012-06-18 07:45:00
233,0.8,2012-06-18 10:30:00
234,0.1,2012-06-18 11:10:00
235,0.2,2012-06-24 00:05:00
236,0.2,2012-06-24 08:40:00
237,0.1,2012-06-27 08:20:00
238,0.1,2012-07-01 00:05:00
239,0.1,2012-07-01 09:10:00
240,0.1,2012-07-04 10:50:00
241,0.1,2012-07-09 08:00:00
242,0.3,2012-07-10 17:00:00
243,0.6,2012-07-11 07:15:00
244,0.2,2012-07-15 00:05:00
245,0.5,2012-07-15 08:38:00
246,0.2,2012-07-22 00:01:00
247,0.4,2012-07-22 13:10:00
248,0.1,2012-07-23 11:45:00
249,0.4,2012-07-30 00:01:00
250,0.4,2012-07-30 08:45:00
251,0.3,2012-08-05 00:01:00
252,0.2,2012-08-06 08:10:00
253,0.6,2012-08-07 11:32:00
254,1.1,2012-08-13 00:01:00
255,0.1,2012-08-13 07:58:00
256,0.8,2012-08-13 13:20:00
257,0.2,2012-08-20 08:37:00
258,0.5,2012-08-20 10:25:00
259,0.2,2012-08-20 20:00:00
260,0.4,2012-08-27 00:05:00
261,0.1,2012-08-27 10:15:00
262,0.2,2012-09-01 09:24:00
263,0.5,2012-09-04 08:40:00
264,0.6,2012-09-08 11:23:00
265,0.2,2012-09-11 08:20:00
266,0.5,2012-09-11 16:00:00
267,0.1,2012-09-18 07:54:00
268,0.2,2012-09-24 07:56:00
269,0.1,2012-10-01 08:00:00
270,0.1,2012-10-08 08:50:00
271,0.2,2012-10-15 07:55:00
272,0.4,2012-10-22 07:52:00
273,0.2,2012-10-30 08:27:00
274,0.2,2012-11-05 08:25:00
275,0.2,2012-11-13 08:07:00
276,0.1,2012-11-19 08:34:00
277,1.0,2012-11-26 08:13:00
278,0.2,2012-12-03 08:47:00
279,0.2,2012-12-11 08:14:00
280,0.5,2012-12-17 08:20:00
281,0.2,2012-12-26 08:15:00
282,0.7,2013-01-02 09:10:00
283,0.6,2013-01-07 08:40:00
284,0.6,2013-01-14 08:29:00
285,0.6,2013-01-22 07:58:00
286,0.3,2013-01-28 08:20:00
287,0.3,2013-02-04 08:05:00
288,0.9,2013-02-11 07:29:00
289,1.1,2013-02-11 16:00:00
290,0.4,2013-02-18 07:32:00
291,0.5,2013-02-25 08:03:00
292,0.3,2013-03-03 07:52:00
293,0.8,2013-03-03 10:08:00
294,0.8,2013-03-04 13:05:00
295,2.5,2013-03-10 08:10:00
296,1.1,2013-03-10 10:00:00
297,0.4,2013-03-11 08:03:00
298,0.8,2013-03-17 11:40:00
299,0.2,2013-03-18 08:28:00
300,0.5,2013-03-18 10:38:00
301,0.2,2013-03-25 08:30:00
302,0.6,2013-04-01 07:50:00
303,1.3,2013-04-08 08:41:00
304,0.5,2013-04-11 08:08:00
305,0.6,2013-04-14 08:30:00
306,0.7,2013-04-15 10:25:00
307,0.7,2013-04-15 10:34:00
308,2.6,2013-04-21 07:32:00
309,2.0,2013-04-21 08:35:00
310,0.3,2013-04-22 08:13:00
311,0.7,2013-04-28 07:40:00
312,0.7,2013-04-28 09:54:00
