,NO3 mg/L N,Time
0,5.6,2010-07-06
1,3.8,2010-07-10
2,2.8,2010-07-11
3,6.1,2010-07-13
4,7.7,2010-07-16
5,5.1000000000000005,2010-07-18
6,2.1,2010-07-25
7,4.8,2010-07-30
8,2.3666666666666667,2010-08-03
9,1.0,2010-08-08
10,2.5,2010-08-11
11,1.95,2010-08-15
12,1.25,2010-08-22
13,2.6,2010-08-25
14,2.0500000000000003,2010-08-29
15,2.3,2010-09-04
16,2.3,2010-09-07
17,0.38499999999999995,2010-09-08
18,2.05,2010-09-12
19,3.2,2010-09-15
20,0.52,2010-09-19
21,6.8,2010-09-21
22,3.1,2010-09-28
23,2.145,2010-09-29
24,0.9,2010-10-03
25,2.0,2010-10-05
26,2.3,2010-10-12
27,3.3,2010-10-19
28,0.06,2010-10-20
29,9.0,2010-10-22
30,2.8,2010-10-26
31,0.5,2010-10-27
32,0.01,2010-10-28
33,0.28,2010-10-31
34,2.7,2010-11-02
35,4.95,2010-11-03
36,3.9,2010-11-09
37,2.8,2010-11-10
38,10.5,2010-11-11
39,3.9000000000000004,2010-11-14
40,1.9,2010-11-16
41,2.8,2010-11-23
42,2.9,2010-11-30
43,2.95,2010-12-07
44,9.9,2010-12-10
45,5.0,2010-12-12
46,2.8,2010-12-14
47,4.0,2010-12-21
48,3.8,2010-12-28
49,3.7,2011-01-04
50,3.7,2011-01-11
51,3.8,2011-01-19
52,4.7,2011-01-25
53,4.7,2011-02-01
54,4.8,2011-02-08
55,5.6,2011-02-15
56,4.6,2011-02-22
57,5.4,2011-03-02
58,5.1,2011-03-08
59,4.5,2011-03-16
60,7.1,2011-03-23
61,6.6,2011-03-29
62,6.1,2011-04-05
63,5.2,2011-04-08
64,5.2,2011-04-09
65,7.85,2011-04-10
66,4.8,2011-04-17
67,5.01,2011-04-18
68,5.4,2011-04-23
69,4.6,2011-04-26
70,5.6,2011-04-27
71,4.65,2011-05-01
72,5.6,2011-05-04
73,5.8,2011-05-10
74,5.8,2011-05-13
75,7.6,2011-05-14
76,6.05,2011-05-15
77,6.9,2011-05-16
78,9.466666666666667,2011-05-24
79,6.7,2011-05-29
80,6.2,2011-05-31
81,5.6,2011-06-03
82,4.9,2011-06-06
83,5.9,2011-06-15
84,5.9,2011-06-21
85,4.2,2011-06-24
86,3.6,2011-06-25
87,3.4,2011-06-26
88,5.9,2011-06-27
89,5.7,2011-07-05
90,5.7,2011-07-07
