,NO2 mg/L N,Time
0,0.36,2010-07-06
1,0.49,2010-07-13
2,2.5,2010-07-18
3,0.19,2010-07-30
4,0.56,2010-08-03
5,0.21,2010-08-11
6,0.56,2010-08-25
7,0.37,2010-09-04
8,0.4,2010-09-07
9,0.83,2010-09-15
10,0.11,2010-09-21
11,0.58,2010-09-28
12,0.36,2010-10-05
13,0.28,2010-10-12
14,0.45,2010-10-19
15,0.2,2010-10-26
16,0.301,2010-11-02
17,0.218,2010-11-09
18,0.302,2010-11-16
19,0.225,2010-11-23
20,0.213,2010-11-30
21,0.174,2010-12-07
22,0.461,2010-12-14
23,0.708,2010-12-21
24,0.617,2010-12-28
25,0.55,2011-01-04
26,0.59,2011-01-11
27,0.43,2011-01-19
28,0.41,2011-01-25
29,0.27,2011-02-01
30,0.23,2011-02-08
31,0.21,2011-02-15
32,0.21,2011-02-22
33,0.09,2011-03-02
34,0.19,2011-03-08
35,0.05,2011-03-16
36,0.03,2011-03-23
37,0.05,2011-03-29
38,0.05,2011-04-05
39,0.05,2011-04-23
40,0.05,2011-04-26
41,0.096,2011-05-04
42,0.095,2011-05-10
43,0.201,2011-05-16
44,0.153,2011-05-24
45,0.12,2011-06-03
46,0.09,2011-06-06
47,0.34,2011-06-15
48,0.34,2011-06-21
49,0.13,2011-06-27
50,0.07,2011-07-05
51,0.06,2011-07-10
52,0.05,2011-07-18
53,0.06,2011-07-28
54,0.12,2011-08-06
55,0.14,2011-08-08
56,0.3,2011-08-15
57,0.13,2011-08-24
58,0.21,2011-08-31
59,0.27,2011-09-06
60,0.04,2011-09-12
61,0.13,2011-09-20
62,0.12,2011-09-28
63,0.13,2011-10-03
64,0.13,2011-10-11
65,0.11,2011-10-18
66,0.06,2011-10-26
67,0.12,2011-10-31
68,0.23,2011-11-06
69,0.39,2011-11-15
70,0.24,2011-11-21
71,0.35,2011-11-28
72,0.79,2011-12-06
73,0.15,2011-12-12
74,0.08,2011-12-18
75,0.18,2011-12-27
76,0.16,2012-01-03
77,0.12,2012-01-08
78,0.18,2012-01-17
79,0.18,2012-01-23
80,0.15,2012-01-31
81,0.2,2012-02-07
82,0.15,2012-02-13
83,0.16,2012-02-22
84,0.19,2012-02-23
85,0.2,2012-02-27
86,0.27,2012-02-28
87,0.16,2012-02-29
88,0.42,2012-03-05
89,0.39,2012-03-06
90,0.39,2012-03-07
91,0.38,2012-03-08
92,0.34,2012-03-11
93,0.32,2012-03-20
94,0.35,2012-03-26
95,0.24,2012-04-01
96,0.24,2012-04-10
97,0.19,2012-04-16
98,0.25,2012-04-22
99,0.16,2012-05-01
100,0.2,2012-05-14
101,0.14,2012-05-22
102,0.23,2012-05-29
103,0.12,2012-06-03
104,0.11,2012-06-12
105,0.08,2012-06-18
106,0.04,2012-06-27
107,0.1,2012-07-04
108,0.1,2012-07-09
109,0.02,2012-07-23
110,0.15,2012-08-06
111,0.03,2012-08-13
112,0.22,2012-08-20
113,0.1,2012-09-01
114,0.1,2012-09-11
115,0.1,2012-09-18
116,0.1,2012-09-24
117,0.09,2012-10-01
118,0.11,2012-10-08
119,0.1,2012-10-15
120,0.09,2012-10-22
121,0.05,2012-10-30
122,0.06,2012-11-05
123,0.1,2012-11-13
124,0.08,2012-11-19
125,0.22,2012-11-26
126,0.11,2012-12-03
127,0.07,2012-12-11
128,0.12,2012-12-17
129,0.07,2012-12-26
130,0.12,2013-01-02
131,0.2,2013-01-07
132,0.24,2013-01-14
133,0.24,2013-01-22
134,0.16,2013-01-28
135,0.14,2013-02-04
136,0.25,2013-02-11
137,0.2,2013-02-18
138,0.2,2013-02-25
139,0.22,2013-03-03
140,0.13,2013-03-11
141,0.07,2013-03-18
142,0.1,2013-03-25
143,0.2,2013-04-01
144,0.3,2013-04-08
145,0.2,2013-04-15
146,0.1,2013-04-22
147,0.1,2013-05-09
148,0.1,2013-05-13
149,0.3,2013-05-20
150,0.2,2013-05-27
151,0.1,2013-06-03
152,0.2,2013-06-10
153,0.1,2013-06-17
154,0.2,2013-06-24
155,0.06,2013-07-01
156,0.07,2013-07-08
157,0.01,2013-07-15
158,0.03,2013-07-22
159,0.04,2013-07-29
160,0.04,2013-08-05
161,0.02,2013-08-12
162,0.03,2013-08-19
163,,2013-08-26
164,0.07,2013-09-02
165,0.18,2013-09-09
166,0.24,2013-09-16
167,0.09,2013-09-23
168,0.06,2013-09-30
169,0.07,2013-10-07
170,0.03,2013-10-08
171,0.06,2013-10-14
172,0.13,2013-10-21
173,0.07,2013-10-28
174,0.09,2013-11-04
175,0.14,2013-11-11
176,0.04,2013-11-14
177,0.1,2013-11-25
178,0.18,2013-12-02
179,0.15,2013-12-09
180,0.13,2013-12-16
181,0.18,2013-12-23
182,0.19,2013-12-30
183,0.23,2014-01-06
184,0.26,2014-01-13
185,0.22,2014-01-20
186,0.19,2014-01-27
187,0.18,2014-02-03
188,0.17,2014-02-10
189,0.16,2014-02-17
190,0.17,2014-02-24
191,0.17,2014-03-03
192,0.14,2014-03-10
193,0.06,2014-03-19
194,0.1,2014-03-24
195,0.09,2014-03-31
196,0.07,2014-04-07
197,0.14,2014-04-14
198,0.08,2014-04-21
199,0.1,2014-04-28
200,0.06,2014-05-08
201,0.08,2014-05-12
