,NH3 mg/L N,Time
0,1.1,2010-08-01
1,1.18,2010-08-02
2,0.963,2010-08-03
3,0.9470000000000001,2010-08-04
4,0.987,2010-08-05
5,1.09,2010-08-06
6,1.19,2010-08-07
7,0.956,2010-08-08
8,0.889,2010-08-09
9,0.871,2010-08-10
10,0.983,2010-08-11
11,1.06,2010-08-12
12,1.13,2010-08-13
13,1.02,2010-08-14
14,0.9420000000000001,2010-08-15
15,1.01,2010-08-16
16,1.02,2010-08-17
17,0.937,2010-08-18
18,0.9440000000000001,2010-08-19
19,1.04,2010-08-20
20,1.1,2010-08-21
21,0.914,2010-08-22
22,0.7659999999999999,2010-08-23
23,0.848,2010-08-24
24,0.94,2010-08-25
25,1.08,2010-08-26
26,0.9359999999999999,2010-08-27
27,1.01,2010-08-28
28,0.988,2010-08-29
29,1.02,2010-08-30
30,0.82,2010-08-31
31,1.13,2010-09-01
32,1.13,2010-09-02
33,1.03,2010-09-03
34,1.18,2010-09-04
35,0.915,2010-09-05
36,0.892,2010-09-06
37,0.9009999999999999,2010-09-07
38,0.8440000000000001,2010-09-08
39,0.932,2010-09-09
40,1.02,2010-09-10
41,0.982,2010-09-11
42,0.985,2010-09-12
43,1.01,2010-09-13
44,1.01,2010-09-14
45,1.17,2010-09-15
46,1.18,2010-09-16
47,1.11,2010-09-17
48,1.04,2010-09-18
49,0.9059999999999999,2010-09-19
50,0.847,2010-09-20
51,0.9590000000000001,2010-09-21
52,0.985,2010-09-22
53,0.868,2010-09-23
54,0.9359999999999999,2010-09-24
55,1.09,2010-09-25
56,1.11,2010-09-26
57,1.03,2010-09-27
58,1.14,2010-09-28
59,1.15,2010-09-29
60,1.01,2010-09-30
61,1.06,2010-10-01
62,1.08,2010-10-02
63,1.06,2010-10-03
64,0.986,2010-10-04
65,1.11,2010-10-05
66,1.06,2010-10-06
67,1.17,2010-10-07
68,1.04,2010-10-08
69,1.13,2010-10-09
70,1.06,2010-10-10
71,0.902,2010-10-11
72,0.89,2010-10-12
73,1.05,2010-10-13
74,1.2,2010-10-14
75,1.05,2010-10-15
