,NO3 mg/L N,Time
0,6.1,2010-08-03 06:48:00
1,1.0,2010-08-03 08:13:00
2,0.99,2010-08-03 08:37:00
3,1.2,2010-08-03 08:48:00
4,1.1,2010-08-03 08:58:00
5,1.1,2010-08-03 09:09:00
6,1.2,2010-08-11 00:00:00
7,1.2,2010-08-11 00:00:00
8,5.9,2010-08-11 06:46:00
9,1.4,2010-08-11 09:01:00
10,1.4,2010-08-11 09:08:00
11,1.4,2010-08-11 09:16:00
12,5.7,2010-08-16 06:40:00
13,1.4,2010-08-16 08:08:00
14,1.4,2010-08-16 08:32:00
15,1.4,2010-08-16 08:44:00
16,1.2,2010-08-16 08:51:00
17,1.2,2010-08-16 09:07:00
18,5.6,2010-08-25 06:33:00
19,1.3,2010-08-25 07:45:00
20,1.4,2010-08-25 08:05:00
21,1.7,2010-08-25 08:13:00
22,1.5,2010-08-25 08:16:00
23,1.6,2010-08-25 08:22:00
24,1.5,2010-09-01 08:16:00
25,1.7,2010-09-01 08:45:00
26,1.8,2010-09-01 08:56:00
27,1.6,2010-09-01 09:00:00
28,1.5,2010-09-01 09:08:00
29,5.4,2010-09-01 10:06:00
30,1.7,2010-09-09 09:24:00
31,1.9,2010-09-09 09:53:00
32,1.7,2010-09-09 10:09:00
33,1.6,2010-09-09 10:23:00
34,1.7,2010-09-09 10:40:00
35,6.2,2010-09-09 13:01:00
36,1.5,2010-09-14 07:55:00
37,1.5,2010-09-14 08:14:00
38,1.5,2010-09-14 08:22:00
39,1.3,2010-09-14 08:25:00
40,1.4,2010-09-14 08:32:00
41,6.1,2010-09-14 09:15:00
42,1.2,2010-09-21 08:20:00
43,1.3,2010-09-21 08:41:00
44,1.7,2010-09-21 08:48:00
45,1.5,2010-09-21 08:53:00
46,1.7,2010-09-21 09:00:00
47,5.6,2010-09-21 10:56:00
48,2.0,2010-09-28 09:21:00
49,2.0,2010-09-28 09:51:00
50,2.0,2010-09-28 10:04:00
51,1.9,2010-09-28 10:10:00
52,1.9,2010-09-28 10:20:00
53,5.7,2010-09-28 11:10:00
54,2.0,2010-10-06 09:53:00
55,2.0,2010-10-06 10:06:00
56,2.1,2010-10-06 10:14:00
57,2.1,2010-10-06 10:35:00
58,2.0,2010-10-06 11:00:00
59,5.7,2010-10-06 12:55:00
60,1.4,2010-10-12 09:05:00
61,1.4,2010-10-12 09:34:00
62,1.3,2010-10-12 09:50:00
63,1.3,2010-10-12 09:57:00
64,1.3,2010-10-12 10:07:00
65,5.6,2010-10-12 12:18:00
66,1.6,2010-10-19 08:31:00
67,2.0,2010-10-19 08:55:00
68,1.9,2010-10-19 09:08:00
69,1.8,2010-10-19 09:15:00
70,1.9,2010-10-19 09:24:00
71,5.3,2010-10-19 10:11:00
72,1.6,2010-10-26 08:57:00
73,1.5,2010-10-26 09:31:00
74,1.6,2010-10-26 09:51:00
75,1.6,2010-10-26 09:58:00
76,1.5,2010-10-26 10:09:00
77,5.6,2010-10-26 12:15:00
78,1.3,2010-11-02 10:08:00
79,1.5,2010-11-02 10:40:00
80,1.7,2010-11-02 10:58:00
81,1.6,2010-11-02 11:09:00
82,1.7,2010-11-02 11:19:00
83,5.5,2010-11-02 12:22:00
84,1.7,2010-11-09 08:15:00
85,1.7,2010-11-09 08:50:00
86,1.7,2010-11-09 09:20:00
87,1.8,2010-11-09 09:20:00
88,1.7,2010-11-09 09:34:00
89,5.4,2010-11-09 10:27:00
90,2.0,2010-11-18 08:09:00
91,2.2,2010-11-18 08:47:00
92,2.2,2010-11-18 09:19:00
93,2.1,2010-11-18 09:27:00
94,2.1,2010-11-18 10:00:00
95,5.6,2010-11-18 11:15:00
96,1.8,2010-11-23 09:58:00
97,1.9,2010-11-23 10:22:00
98,1.8,2010-11-23 10:33:00
99,1.7,2010-11-23 10:40:00
100,2.0,2010-11-23 10:48:00
101,5.0,2010-11-23 12:25:00
102,1.4,2010-12-01 08:15:00
103,1.8,2010-12-01 08:52:00
104,1.7,2010-12-01 09:10:00
105,1.7,2010-12-01 09:16:00
106,1.6,2010-12-01 09:25:00
107,5.2,2010-12-01 12:10:00
108,0.8,2010-12-07 08:45:00
109,0.52,2010-12-07 09:11:00
110,0.55,2010-12-07 09:27:00
111,0.5,2010-12-07 09:35:00
112,0.51,2010-12-07 09:49:00
113,5.5,2010-12-07 10:46:00
114,0.65,2010-12-13 10:48:00
115,0.65,2010-12-13 11:22:00
116,0.69,2010-12-13 11:43:00
117,0.63,2010-12-13 11:51:00
118,0.63,2010-12-13 12:01:00
119,6.0,2010-12-13 12:58:00
120,0.45,2010-12-21 08:22:00
121,0.38,2010-12-21 08:41:00
122,0.38,2010-12-21 08:51:00
123,0.36,2010-12-21 09:00:00
124,0.34,2010-12-21 09:25:00
125,5.4,2010-12-21 10:02:00
126,0.38,2010-12-29 10:18:00
127,0.38,2010-12-29 10:39:00
128,0.39,2010-12-29 10:49:00
129,0.37,2010-12-29 10:52:00
130,0.36,2010-12-29 11:01:00
131,2.9,2010-12-29 11:35:00
132,0.45,2011-01-06 09:25:00
133,0.43,2011-01-06 09:51:00
134,0.42,2011-01-06 10:12:00
135,0.41,2011-01-06 10:30:00
136,0.41,2011-01-06 10:45:00
137,5.1,2011-01-06 11:35:00
138,0.59,2011-01-12 10:29:00
139,0.51,2011-01-12 11:06:00
140,0.5,2011-01-12 11:23:00
141,0.5,2011-01-12 11:35:00
142,0.5,2011-01-12 11:50:00
143,5.2,2011-01-12 12:49:00
144,0.57,2011-01-18 08:24:00
145,0.52,2011-01-18 08:51:00
146,0.54,2011-01-18 09:08:00
147,0.5,2011-01-18 09:14:00
148,0.51,2011-01-18 09:20:00
149,4.8,2011-01-18 09:54:00
150,0.55,2011-01-25 12:07:00
151,0.41,2011-01-25 12:35:00
152,0.42,2011-01-25 12:50:00
153,0.38,2011-01-25 13:00:00
154,0.4,2011-01-25 13:15:00
155,4.7,2011-01-26 12:15:00
156,0.48,2011-02-03 09:53:00
157,0.43,2011-02-03 10:26:00
158,0.42,2011-02-03 10:47:00
159,0.39,2011-02-03 10:59:00
160,0.39,2011-02-03 11:12:00
161,5.6,2011-02-03 12:08:00
162,0.37,2011-02-09 06:00:00
163,5.6,2011-02-09 08:28:00
164,0.36,2011-02-09 10:36:00
165,0.36,2011-02-09 11:07:00
166,0.35,2011-02-09 11:37:00
167,0.36,2011-02-09 12:05:00
168,0.36,2011-02-17 07:32:00
169,0.42,2011-02-17 07:50:00
170,0.44,2011-02-17 08:03:00
171,0.37,2011-02-17 08:07:00
172,0.37,2011-02-17 08:15:00
173,5.1,2011-02-17 09:05:00
174,0.51,2011-02-22 08:10:00
175,0.51,2011-02-22 08:34:00
176,0.47,2011-02-22 08:47:00
177,0.47,2011-02-22 08:54:00
178,0.46,2011-02-22 09:05:00
179,5.3,2011-02-22 10:32:00
180,5.7,2011-03-01 07:15:00
181,0.58,2011-03-01 09:27:00
182,0.58,2011-03-01 09:50:00
