,N+N mg/L N,Time
0,4.8,2013-02-07
1,5.2,2013-02-12
2,5.8,2013-02-19
3,5.3,2013-02-28
4,5.9,2013-03-05
5,5.7,2013-03-12
6,5.4,2013-03-18
7,5.6,2013-03-25
8,4.9,2013-04-02
9,4.6,2013-04-09
10,4.5,2013-04-16
11,4.4,2013-04-23
12,5.1,2013-04-30
13,5.2,2013-05-06
14,7.3,2013-05-13
15,6.4,2013-05-20
16,7.0,2013-05-28
17,6.7,2013-06-04
18,7.2,2013-06-11
19,7.0,2013-06-18
20,7.0,2013-06-25
21,0.2,2013-07-02
22,0.16,2013-07-09
23,,2013-07-16
24,0.15,2013-07-23
25,0.11,2013-07-30
26,7.4,2013-08-05
27,7.5,2013-08-13
28,7.0,2013-08-20
29,7.2,2013-08-27
30,6.8,2013-09-03
31,6.8,2013-09-09
32,7.3,2013-09-17
33,6.7,2013-09-24
34,5.8,2013-10-02
35,5.7,2013-10-08
36,5.0,2013-10-15
37,6.3,2013-10-22
38,7.4,2013-10-29
39,6.1,2013-11-04
40,6.3,2013-11-13
41,6.6,2013-11-19
42,5.8,2013-11-26
43,5.5,2013-12-03
44,5.6,2013-12-10
45,6.4,2013-12-17
46,6.0,2013-12-23
47,6.0,2013-12-31
48,6.6,2014-01-07
49,6.5,2014-01-14
50,6.6,2014-01-21
51,7.3,2014-01-28
52,7.5,2014-02-03
53,6.2,2014-02-11
54,5.7,2014-02-18
55,5.2,2014-02-26
56,5.7,2014-03-04
57,5.7,2014-03-11
58,6.7,2014-03-18
59,6.3,2014-03-25
60,6.5,2014-04-01
61,5.7,2014-04-08
62,6.0,2014-04-15
63,6.5,2014-04-22
64,5.8,2014-04-28
65,6.8,2014-05-08
66,6.1,2014-05-13
67,7.3,2014-05-21
68,6.0,2014-05-27
69,6.6,2014-06-03
70,,2014-06-04
71,8.4,2014-06-10
72,7.1,2014-06-18
73,6.9,2014-06-24
74,6.7,2014-07-01
75,7.0,2014-07-08
76,7.9,2014-07-16
77,7.6,2014-07-22
78,7.7,2014-07-30
79,6.8,2014-08-06
80,7.5,2014-08-12
81,7.8,2014-08-19
82,7.5,2014-08-26
83,7.4,2014-09-03
84,6.6,2014-09-08
85,6.9,2014-09-16
86,6.0,2014-09-24
87,6.3,2014-10-02
88,5.4,2014-10-08
89,5.6,2014-10-15
90,5.6,2014-10-21
91,5.7,2014-10-29
92,5.3,2014-11-05
93,6.0,2014-11-12
94,5.8,2014-11-19
95,5.5,2014-11-24
96,5.0,2014-12-04
97,4.9,2014-12-09
98,3.8,2014-12-17
99,4.2,2014-12-22
100,3.8,2014-12-30
101,4.0,2015-01-06
102,4.5,2015-01-13
103,5.2,2015-01-20
104,5.0,2015-01-27
105,6.2,2015-02-02
106,6.9,2015-02-10
107,7.7,2015-02-17
108,6.4,2015-02-24
109,6.4,2015-03-02
110,6.3,2015-03-12
111,5.7,2015-03-18
112,6.6,2015-03-24
113,6.5,2015-03-31
114,6.6,2015-04-08
115,5.8,2015-04-14
116,5.9,2015-04-20
117,6.2,2015-04-28
118,6.1,2015-05-05
119,6.8,2015-05-12
120,7.1,2015-05-19
121,7.5,2015-05-27
122,7.8,2015-06-03
123,7.2,2015-06-08
124,7.4,2015-06-17
125,6.9,2015-06-22
126,7.7,2015-06-30
127,5.466666666666666,2015-07-07
128,8.2,2015-07-15
129,7.5,2015-07-22
130,7.6,2015-07-28
131,6.6,2015-08-05
132,7.0,2015-08-10
133,7.3,2015-08-18
134,7.3,2015-08-24
135,5.6,2015-08-31
136,6.3,2015-09-08
137,6.6,2015-09-16
138,6.0,2015-09-22
139,6.4,2015-09-30
140,6.8,2015-10-06
141,3.2,2015-10-13
142,5.9,2015-10-20
143,5.9,2015-10-27
144,5.4,2015-11-04
145,5.2,2015-11-12
146,5.1,2015-11-19
147,5.0,2015-11-24
148,4.2,2015-12-02
149,3.8,2015-12-07
150,4.5,2015-12-14
151,4.5,2015-12-22
152,5.2,2015-12-28
153,5.7,2016-01-07
154,7.2,2016-01-11
155,6.5,2016-01-19
156,5.3,2016-01-27
157,6.1,2016-02-03
158,6.4,2016-02-08
159,4.6,2016-02-17
160,6.3,2016-02-23
161,5.7,2016-03-01
162,5.8,2016-03-07
163,6.7,2016-03-16
164,5.9,2016-03-21
165,6.0,2016-03-30
166,6.5,2016-04-05
167,5.7,2016-04-11
168,5.8,2016-04-18
169,5.1,2016-04-27
170,6.7,2016-05-03
171,6.0,2016-05-10
172,6.0,2016-05-17
173,7.1,2016-05-24
174,6.8,2016-06-01
175,6.8,2016-06-06
176,6.3,2016-06-14
177,6.6,2016-06-21
178,7.8,2016-06-28
179,8.0,2016-07-06
180,7.0,2016-07-13
181,7.2,2016-07-19
182,7.3,2016-07-26
183,4.633333333333334,2016-08-01
184,6.4,2016-08-09
185,6.9,2016-08-17
186,6.8,2016-08-23
187,4.7,2016-08-30
188,6.5,2016-09-07
189,6.8,2016-09-14
190,6.2,2016-09-21
191,5.6,2016-09-28
192,6.9,2016-10-05
193,6.9,2016-10-10
194,5.4,2016-10-20
195,5.1,2016-10-26
196,7.6,2016-11-01
197,7.2,2016-11-08
198,5.5,2016-11-21
199,5.2,2016-11-29
200,4.5,2016-12-07
201,5.0,2016-12-13
202,4.9,2016-12-20
203,4.9,2016-12-28
204,3.9,2017-01-05
205,3.2,2017-01-11
206,6.8,2017-01-17
207,4.2,2017-01-25
208,3.4,2017-02-01
209,3.4,2017-02-06
210,3.0,2017-02-15
211,3.1,2017-02-23
212,4.2,2017-02-28
213,3.8,2017-03-08
214,4.5,2017-03-15
215,4.5,2017-03-21
