,Date,flow mgd,NH4 mg/L N,NH3 mg/L N,NO3 mg/L N,NO2 mg/L N,TKN mg/L N,TP mg/L P,PO4 mg/L P
0,2001-01-01,150.2,,,,,,,
1,2001-01-02,148.6,17.0,,,,,,
2,2001-01-03,152.3,16.0,,0.1,0.1,,,
3,2001-01-04,166.6,,,,,,,
4,2001-01-05,154.3,,,,,,,
5,2001-01-06,153.5,,,,,,,
6,2001-01-07,154.2,,,,,,,
7,2001-01-08,221.0,,,0.3,0.3,20,1.5,
8,2001-01-09,195.2,15.0,,,,,,
9,2001-01-10,170.5,17.0,,,,,,
10,2001-01-11,252.5,,,,,,,
11,2001-01-12,207.1,,,,,,,
12,2001-01-13,163.4,,,,,,,
13,2001-01-14,157.1,,,,,,,
14,2001-01-15,161.1,,,0.1,0.18,,,
15,2001-01-16,160.7,17.0,,,,,,
16,2001-01-17,157.2,16.0,,,,,,
17,2001-01-18,155.3,,,,,,,
18,2001-01-19,153.7,,,,,,,
19,2001-01-20,156.3,,,,,,,
20,2001-01-21,154.3,,,,,,,
21,2001-01-22,155.5,,,0.16,0.39,,,
22,2001-01-23,162.4,16.0,,,,,,
23,2001-01-24,186.5,14.0,,,,,,
24,2001-01-25,190.2,,,,,,,
25,2001-01-26,216.0,,,,,,,
26,2001-01-27,171.3,,,,,,,
27,2001-01-28,161.2,,,,,,,
28,2001-01-29,177.2,,,0.1,0.1,,,
29,2001-01-30,158.4,18.0,,,,,,
30,2001-01-31,148.7,18.0,,,,,,
31,2001-02-01,162.3,,,,,,2.0,
32,2001-02-02,153.5,,,,,,,
33,2001-02-03,155.5,,,,,,,
34,2001-02-04,152.8,,,,,,,
35,2001-02-05,171.8,,,0.4,0.2,22,2.2,
36,2001-02-06,169.2,15.0,,,,,,
37,2001-02-07,152.4,18.0,,,,,,
38,2001-02-08,152.2,,,,,,,
39,2001-02-09,170.8,,,,,,,
40,2001-02-10,198.6,,,,,,,
41,2001-02-11,248.3,,,,,,,
42,2001-02-12,209.3,,,3.2,0.22,,,
43,2001-02-13,180.8,14.0,,,,,,
44,2001-02-14,162.5,17.0,,,,,,
45,2001-02-15,158.0,,,,,,,
46,2001-02-16,157.6,,,,,,,
47,2001-02-17,159.3,,,,,,,
48,2001-02-18,164.5,,,,,,,
49,2001-02-19,210.1,,,4.6,0.13,,,
50,2001-02-20,223.6,14.0,,,,,,
51,2001-02-21,199.3,18.0,,,,,,
52,2001-02-22,185.3,,,,,,,
53,2001-02-23,255.5,,,,,,,
54,2001-02-24,257.0,,,,,,,
55,2001-02-25,203.9,,,,,,,
56,2001-02-26,161.0,,,0.41,0.22,,,
57,2001-02-27,187.9,17.0,,,,,,
58,2001-02-28,166.7,17.0,,,,,,
59,2001-03-01,163.6,,,,,,,
60,2001-03-02,210.3,,,,,,,
61,2001-03-03,169.1,,,,,,,
62,2001-03-04,226.5,,,,,,,
63,2001-03-05,280.1,,,5.1,0.21,17,1.6,
64,2001-03-06,197.6,15.0,,,,,,
65,2001-03-07,158.1,17.0,,,,,,
66,2001-03-08,192.3,,,,,,,
67,2001-03-09,166.1,,,,,,,
68,2001-03-10,165.3,,,,,,,
69,2001-03-11,163.2,,,,,,,
70,2001-03-12,126.6,,,1.0,0.2,,,
71,2001-03-13,166.2,15.0,,,,,,
72,2001-03-14,190.9,16.0,,,,,,
73,2001-03-15,159.8,,,,,,,
74,2001-03-16,159.9,,,,,,,
75,2001-03-17,156.8,,,,,,,
76,2001-03-18,156.5,,,,,,,
77,2001-03-19,160.2,17.0,,0.19,0.16,,,
78,2001-03-20,151.4,17.0,,,,18,2.1,
79,2001-03-21,161.7,,,,,,,
80,2001-03-22,154.7,,,,,,,
81,2001-03-23,155.4,,,,,,,
82,2001-03-24,157.1,,,,,,,
83,2001-03-25,180.4,,,,,,,
84,2001-03-26,157.6,,,1.4,0.2,,,
85,2001-03-27,149.2,29.0,,,,,,
86,2001-03-28,143.8,27.0,,,,,,
87,2001-03-29,172.5,,,,,,,
88,2001-03-30,171.6,,,,,,,
89,2001-03-31,154.9,,,,,,,
90,2001-04-01,154.3,,,,,,,
91,2001-04-02,156.5,,,0.2,0.1,28,2.3,
92,2001-04-03,150.5,26.0,,,,,,
93,2001-04-04,154.6,26.0,,,,,,
94,2001-04-05,152.4,,,,,,,
95,2001-04-06,164.1,,,,,,,
96,2001-04-07,186.5,,,,,,,
97,2001-04-08,164.5,,,,,,,
98,2001-04-09,154.8,,,1.5,0.2,,,
99,2001-04-10,151.0,26.0,,,,,,
100,2001-04-11,149.3,26.0,,,,,,
101,2001-04-12,150.3,,,,,,,
102,2001-04-13,151.6,,,,,,,
