,Date,flow mgd,NH3 mg/L N,NO3 mg/L N,NO2 mg/L N,TP mg/L P,TKN mg/L N
0,1992-09-01,33.0,18.5,0.1,0.03,,
1,1992-09-02,24.9,,,,,
2,1992-09-03,24.7,19.5,,,,
3,1992-09-04,24.9,,,,,
4,1992-09-05,28.9,,,,,
5,1992-09-06,33.4,,,,,
6,1992-09-07,27.5,,,,,
7,1992-09-08,31.2,21.0,,,,
8,1992-09-09,32.8,,,,,
9,1992-09-10,32.5,,,,,
10,1992-09-11,23.3,,,,,
11,1992-09-12,2.2,,,,,
12,1992-09-13,,,,,,
13,1992-09-14,28.3,,,,,
14,1992-09-15,34.7,21.6,0.1,0.02,,
15,1992-09-16,27.3,,,,,
16,1992-09-17,32.2,22.4,,,,
17,1992-09-18,32.2,,,,,
18,1992-09-19,30.2,,,,,
19,1992-09-20,,21.0,,,,
20,1992-09-21,,,,,,
21,1992-09-22,,22.4,,,,
22,1992-09-23,,,,,,
23,1992-09-24,,21.8,,,,
24,1992-09-25,,,,,,
25,1992-09-26,,,,,,
26,1992-09-27,,22.1,,,,
27,1992-09-28,,,,,,
28,1992-09-29,,19.9,0.1,0.07,,
29,1992-09-30,,,,,,
30,1992-10-01,,,,,,
31,1992-10-02,19.5,,,,,
32,1992-10-03,23.5,,,,,
33,1992-10-04,22.9,22.0,,,,
34,1992-10-05,23.8,,,,,
35,1992-10-06,22.4,19.9,,,,
36,1992-10-07,22.6,,,,,
37,1992-10-08,,,,,,
38,1992-10-09,,,,,,
39,1992-10-10,24.5,,,,,
40,1992-10-11,23.8,,,,,
41,1992-10-12,23.7,,,,,
42,1992-10-13,23.5,20.3,,,,
43,1992-10-14,43.0,,,,,
44,1992-10-15,,,,,,
45,1992-10-16,29.2,,,,,
46,1992-10-17,23.8,,,,,
47,1992-10-18,24.0,,,,,
48,1992-10-19,22.5,,,,,
49,1992-10-20,23.0,23.2,,0.5,,
50,1992-10-21,20.7,,,,,
51,1992-10-22,,,,,,
52,1992-10-23,24.5,,,,,
53,1992-10-24,23.9,,,,,
54,1992-10-25,23.2,,,,,
55,1992-10-26,22.9,,,,,
56,1992-10-27,30.8,20.7,,,,
57,1992-10-28,25.4,,,,,
58,1992-10-29,,,,,,
59,1992-10-30,,,,,,
60,1992-10-31,,,,,,
61,1992-11-01,37.2,,,,,
62,1992-11-02,39.8,,,,,
63,1992-11-03,38.7,22.0,,,,
64,1992-11-04,20.5,,,,,
65,1992-11-05,57.7,,,,,
66,1992-11-06,8.5,,,,,
67,1992-11-07,,,,,,
68,1992-11-08,24.9,23.0,,,,
69,1992-11-09,32.8,,,,,
70,1992-11-10,33.5,,,,,
71,1992-11-11,24.7,,,,,
72,1992-11-12,,,,,,
73,1992-11-13,,,,,,
74,1992-11-14,35.2,,,,,
75,1992-11-15,52.6,22.4,,,,
76,1992-11-16,24.8,,,,,
77,1992-11-17,,,,,,
78,1992-11-18,,,,,,
79,1992-11-19,,,,,,
80,1992-11-20,,,,,,
81,1992-11-21,47.0,,,,,
82,1992-11-22,51.9,,,,,
83,1992-11-23,54.0,23.5,0.2,,,
84,1992-11-24,53.1,,,,,
85,1992-11-25,,,,,,
86,1992-11-26,,,,,,
87,1992-11-27,,,,,,
88,1992-11-28,42.2,,,,,
89,1992-11-29,44.6,24.2,,,,
90,1992-11-30,,,,,,
91,1992-12-01,,,,,,
92,1992-12-02,,,,,,
93,1992-12-03,,,,,,
94,1992-12-04,18.9,,,,,
95,1992-12-05,41.0,,,,,
96,1992-12-06,34.4,23.7,0.2,,,
97,1992-12-07,,,,,,
98,1992-12-08,59.1,12.6,,,,
99,1992-12-09,52.4,,,,,
100,1992-12-10,5.9,,,,,
101,1992-12-11,,,,,,
102,1992-12-12,46.7,,,,,
103,1992-12-13,54.0,21.8,,,,
104,1992-12-14,50.8,,,,,
105,1992-12-15,,,,,,
106,1992-12-16,,,,,,
107,1992-12-17,58.6,23.0,0.4,,,
108,1992-12-18,63.7,,,,,
109,1992-12-19,38.3,,,,,
110,1992-12-20,,,,,,
111,1992-12-21,,,,,,
112,1992-12-22,57.2,21.3,0.5,,,
113,1992-12-23,,,,,,
114,1992-12-24,,,,,,
115,1992-12-25,,,,,,
116,1992-12-26,,,,,,
117,1992-12-27,,,,,,
118,1992-12-28,,,,,,
119,1992-12-29,46.7,21.2,0.6,,,
120,1992-12-30,60.9,,,,,
121,1992-12-31,,,,,,
122,1993-01-01,,,,,,
123,1993-01-02,,,,,,
124,1993-01-03,,,,,,
125,1993-01-04,,,,,,
126,1993-01-05,,19.9,0.7,,,
127,1993-01-06,,,,,,
128,1993-01-07,,21.0,,,,
129,1993-01-08,,,,,,
130,1993-01-09,,,,,,
131,1993-01-10,,20.0,,,,
132,1993-01-11,,,,,,
133,1993-01-12,,19.2,1.1,0.03,,
134,1993-01-13,,,,,,
135,1993-01-14,,19.5,,,,
136,1993-01-15,,,,,,
137,1993-01-16,,,,,,
138,1993-01-17,,,,,,
139,1993-01-18,,18.6,1.3,0.06,,
140,1993-01-19,,18.8,,,,
141,1993-01-20,,,,,,
142,1993-01-21,,18.7,,,,
143,1993-01-22,,,,,,
144,1993-01-23,,,,,,
145,1993-01-24,,18.0,,,,
146,1993-01-25,,,,,,
147,1993-01-26,,17.3,1.8,0.06,,
148,1993-01-27,,,,,,
149,1993-01-28,,17.3,,,,
150,1993-01-29,,,,,,
151,1993-01-30,,,,,,
152,1993-01-31,,,,,,
153,1993-02-01,,,,,,
154,1993-02-02,,,,,,
155,1993-02-03,,,,,,
156,1993-02-04,,,,,,
157,1993-02-05,,,,,,
158,1993-02-06,,,,,,
159,1993-02-07,,,,,,
160,1993-02-08,,,,,,
161,1993-02-09,,,,,,
162,1993-02-10,50.77,,,,,
163,1993-02-11,50.85,,,,,
164,1993-02-12,49.73,,,,,
165,1993-02-13,50.25,,,,,
166,1993-02-14,48.8,,,,,
167,1993-02-15,11.83,,,,,
168,1993-02-16,28.53,15.8,1.4,0.05,,
169,1993-02-17,45.42,,,,,
170,1993-02-18,50.41,16.2,,,,
171,1993-02-19,50.34,,,,,
172,1993-02-20,50.38,,,,,
173,1993-02-21,63.45,16.5,0.8,0.08,,
174,1993-02-22,57.6,,,,,
175,1993-02-23,,15.3,,,,
176,1993-02-24,,,,,,
177,1993-02-25,,,,,,
178,1993-02-26,,,,,,
179,1993-02-27,,,,,,
180,1993-02-28,,,,,,
181,1993-03-01,,,,,,
182,1993-03-02,,,,,,
183,1993-03-03,,,,,,
184,1993-03-04,,,,,,
185,1993-03-05,,,,,,
186,1993-03-06,,,,,,
187,1993-03-07,,,,,,
188,1993-03-08,,,,,,
189,1993-03-09,,,,,,
190,1993-03-10,,,,,,
191,1993-03-11,,15.9,0.7,0.07,,
192,1993-03-12,,,,,,
193,1993-03-13,48.5,,,,,
194,1993-03-14,49.3,15.1,,,,
195,1993-03-15,48.0,,,,,
196,1993-03-16,49.8,15.7,,,,
197,1993-03-17,49.9,,,,,
198,1993-03-18,0.0,,,,,
199,1993-03-19,0.0,,,,,
200,1993-03-20,,,,,,
201,1993-03-21,,,,,,
202,1993-03-22,64.01,,,,,
203,1993-03-23,8.24,17.6,,,,
204,1993-03-24,,,,,,
205,1993-03-25,,,,,,
206,1993-03-26,,,,,,
207,1993-03-27,36.5,,,,,
208,1993-03-28,64.1,15.5,,,,
209,1993-03-29,64.1,,,,,
210,1993-03-30,63.5,12.3,,,,
211,1993-03-31,56.3,,,,,
212,1993-04-01,59.9,9.8,3.7,0.63,,
213,1993-04-02,58.7,,,,,
214,1993-04-03,,,,,,
215,1993-04-04,,,,,,
216,1993-04-05,,,,,,
217,1993-04-06,,,,,,
218,1993-04-07,,,,,,
219,1993-04-08,,,,,,
220,1993-04-09,,,,,,
221,1993-04-10,,,,,,
222,1993-04-11,,,,,,
223,1993-04-12,,,,,,
224,1993-04-13,,,,,,
225,1993-04-14,,,,,,
226,1993-04-15,60.4,,,,,
227,1993-04-16,64.1,,,,,
228,1993-04-17,63.9,,,,,
229,1993-04-18,48.3,3.4,,,,
230,1993-04-19,48.7,,,,,
231,1993-04-20,49.0,2.9,6.2,0.1,,
232,1993-04-21,5.0,,,,,
233,1993-04-22,,,,,,
234,1993-04-23,,,,,,
235,1993-04-24,,,,,,
236,1993-04-25,50.3,,,,,
237,1993-04-26,48.8,,,,,
238,1993-04-27,22.2,0.9,,0.02,,
239,1993-04-28,34.1,,,,,
240,1993-04-30,34.2,,,,,
241,1993-05-01,14.6,,,,,
242,1993-05-02,,,,,,
243,1993-05-03,,,,,,
244,1993-05-04,,,,,,
245,1993-05-05,,,,,,
246,1993-05-06,33.9,,,,,
247,1993-05-07,42.6,,,,,
248,1993-05-08,38.7,,,,,
249,1993-05-09,22.5,0.4,7.8,0.05,,
250,1993-05-10,,,,,,
251,1993-05-11,,,,,,
252,1993-05-12,,,,,,
253,1993-05-13,11.6,,,,,
254,1993-05-14,45.0,,,,,
255,1993-05-15,63.2,,,,,
256,1993-05-17,20.3,,,,,
257,1993-05-18,24.9,4.2,,,,
258,1993-05-19,25.3,,,,,
259,1993-05-20,,5.3,,,,
260,1993-05-21,,,,,,
261,1993-05-22,,,,,,
262,1993-05-23,,,,,,
263,1993-05-24,,,,,,
264,1993-05-25,31.48,,,,,
265,1993-05-26,57.74,,,,,
266,1993-05-27,59.94,2.8,,,,
267,1993-05-28,64.43,,,,,
268,1993-05-29,60.8,,,,,
269,1993-05-30,1.7,,,,,
270,1993-05-31,,,,,,
271,1993-06-01,,,,,,
272,1993-06-02,,,,,,
273,1993-06-03,,,,,,
274,1993-06-04,,,,,,
275,1993-06-05,,,,,,
276,1993-06-06,,,,,,
277,1993-06-07,38.1,,,,,
278,1993-06-08,48.03,4.4,4.8,0.03,,
279,1993-06-09,60.27,,,,,
280,1993-06-10,61.0,1.0,,,,
281,1993-06-11,60.6,,,,,
282,1993-06-12,12.75,,,,,
283,1993-06-13,,0.9,,,,
284,1993-06-14,,,,,,
285,1993-06-15,,,,,,
286,1993-06-16,,,,,,
287,1993-06-17,25.78,,,,,
288,1993-06-18,61.23,,,,,
289,1993-06-19,59.15,,,,,
290,1993-06-20,3.68,3.2,2.4,0.3,,
291,1993-06-21,,,,,,
292,1993-06-22,,,,,,
293,1993-06-23,,,,,,
294,1993-06-24,,,,,,
295,1993-06-25,,,,,,
296,1993-06-26,,,,,,
297,1993-06-27,,,,,,
298,1993-06-28,,,,,,
299,1993-06-29,,,,,,
300,1993-06-30,23.35,,,,,
301,1993-07-01,31.37,1.9,1.5,0.02,,
302,1993-07-02,34.13,,,,,
303,1993-07-03,31.47,,,,,
304,1993-07-04,31.35,,,,,
305,1993-07-05,34.79,,,,,
306,1993-07-06,33.53,3.4,,,,
307,1993-07-07,32.75,,,,,
308,1993-07-08,32.85,5.4,1.2,,,
309,1993-07-09,32.65,,,,,
310,1993-07-10,33.23,,,,,
311,1993-07-11,23.74,,5.0,,,
312,1993-07-12,23.93,,,,,
313,1993-07-13,23.75,3.4,,,,
314,1993-07-14,23.91,,,,,
315,1993-07-15,23.34,2.2,0.9,0.08,,
316,1993-07-16,23.96,,,,,
317,1993-07-17,23.47,,,,,
318,1993-07-18,24.0,2.1,,,,
319,1993-07-19,23.9,,,,,
320,1993-07-20,23.52,2.2,0.2,0.03,,
321,1993-07-21,24.04,,,,,
322,1993-07-22,31.74,1.4,,,,
323,1993-07-23,32.33,,,,,
324,1993-07-24,21.17,,,,,
325,1993-07-25,,,,,,
326,1993-07-26,,,,,,
327,1993-07-27,,,,,,
328,1993-07-28,,,,,,
329,1993-07-29,,,,,,
330,1993-07-30,,,,,,
331,1993-07-31,,,,,,
332,1993-08-01,29.46,,,,,
333,1993-08-02,32.91,,,,,
334,1993-08-03,32.52,2.7,0.1,0.01,,
335,1993-08-04,33.49,,,,,
336,1993-08-05,32.85,5.2,,,,
337,1993-08-06,35.27,,,,,
338,1993-08-07,30.85,,,,,
339,1993-08-08,33.74,6.6,,,,
340,1993-08-09,29.07,,,,,
341,1993-08-10,32.24,8.1,0.1,0.02,,
342,1993-08-11,32.65,,,,,
343,1993-08-12,32.38,8.4,,,,
344,1993-08-13,32.5,,,,,
345,1993-08-14,32.93,,,,,
346,1993-08-15,31.86,11.1,,,,
347,1993-08-16,32.5,,,,,
348,1993-08-17,31.48,9.9,0.1,0.05,,
349,1993-08-18,13.18,,,,,
350,1993-08-19,,,,,,
351,1993-08-20,,,,,,
352,1993-08-21,,,,,,
353,1993-08-22,,,,,,
354,1993-08-23,31.81,,,,,
355,1993-08-24,32.88,9.8,0.1,0.04,,
356,1993-08-25,35.63,,,,,
357,1993-08-26,37.04,10.6,,,,
358,1993-08-27,38.34,,,,,
359,1993-08-28,27.34,,,,,
360,1993-08-29,33.48,12.1,,,,
361,1993-08-30,31.29,,,,,
362,1993-08-31,31.98,13.6,,,,
363,1993-09-01,31.9,,,,,
364,1993-09-02,32.1,14.1,,,,
365,1993-09-03,32.1,,,,,
366,1993-09-04,,,,,,
367,1993-09-05,,,,,,
368,1993-09-06,,,,,,
369,1993-09-07,33.5,14.5,0.4,0.03,,
370,1993-09-08,31.5,,,,,
371,1993-09-09,32.8,14.9,,,,
372,1993-09-10,26.1,,,,,
373,1993-09-11,31.9,,,,,
374,1993-09-12,32.6,16.6,,,,
375,1993-09-13,30.0,,,,,
376,1993-09-14,32.6,16.4,,0.03,,
377,1993-09-15,31.3,,,,,
378,1993-09-16,33.5,15.3,,,,
379,1993-09-17,33.1,,,,,
380,1993-09-18,7.4,,,,,
381,1993-09-19,,,,,,
382,1993-09-20,,,,,,
383,1993-09-21,,,,,,
384,1993-09-22,,,,,,
385,1993-09-23,26.6,16.5,0.1,0.15,,
386,1993-09-24,31.9,,,,,
387,1993-09-25,32.5,,,,,
388,1993-09-26,32.0,18.8,,,,
389,1993-09-27,31.8,,,,,
390,1993-09-28,32.3,20.5,0.5,0.13,,
