,Date,NH3 mg/L N_x,flow mgd_x,NO3 mg/L N_x,NO2 mg/L N,N+N mg/L N,P mg/L P,PO4 mg/L P,flow mgd_y,NH3 mg/L N_y,NO3 mg/L N_y,TP mg/L P,NH3 mg/L N,NO3 mg/L N,flow mgd
2434,2006-01-01,,,,,,,,10.18,13.2,,,13.2,,
2435,2006-01-02,,,,,,,,12.03,15.0,,,15.0,,
2436,2006-01-03,,,,,,,,11.15,12.6,,,12.6,,
2437,2006-01-04,,,,,,,,10.06,14.4,,,14.4,,
2438,2006-01-05,,,,,,,,9.93,15.0,,,15.0,,
2439,2006-01-06,,,,,,,,11.15,15.1,,,15.1,,
2440,2006-01-07,,,,,,,,11.43,16.2,,,16.2,,
2441,2006-01-08,,,,,,,,11.07,15.3,,,15.3,,
2442,2006-01-09,,,,,,,,10.55,14.9,,,14.9,,
2443,2006-01-10,,,,,,,,10.42,14.6,,,14.6,,
2444,2006-01-11,,,,,,,,10.96,14.0,,,14.0,,
2445,2006-01-12,,,,,,,,9.81,14.0,,,14.0,,
2446,2006-01-13,,,,,,,,10.34,15.0,,,15.0,,
2447,2006-01-14,,,,,,,,11.32,14.8,,,14.8,,
2448,2006-01-15,,,,,,,,10.6,14.7,,,14.7,,
2449,2006-01-16,,,,,,,,10.75,15.6,,,15.6,,
2450,2006-01-17,,,,,,,,10.09,17.3,,,17.3,,
2451,2006-01-18,,,,,,,,10.79,20.3,,,20.3,,
2452,2006-01-19,,,,,,,,10.66,16.6,,,16.6,,
2453,2006-01-20,,,,,,,,10.43,14.8,,,14.8,,
2454,2006-01-21,,,,,,,,10.59,14.5,,,14.5,,
2455,2006-01-22,,,,,,,,10.89,14.3,,,14.3,,
2456,2006-01-23,,,,,,,,10.31,20.1,,,20.1,,
2457,2006-01-24,,,,,,,,10.3,15.8,,,15.8,,
2458,2006-01-25,,,,,,,,10.23,15.1,,,15.1,,
2459,2006-01-26,,,,,,,,9.48,16.0,,,16.0,,
