Date,DRP** mg/L P,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-02,,,,2.34,1.67,,,,31.0,,2.39,,69.19000244,,,,
2000-01-03,,,,2.34,1.67,,,,31.0,,2.39,,76.76000214,,,,
2000-01-04,,,,2.34,1.67,,,,31.0,,2.39,,79.01999664,,,,
2000-01-05,,,,2.34,1.67,,,,31.0,,2.39,,74.30999756,,,,
2000-01-06,,22.39999962,,2.34,1.67,,,,31.0,,2.39,,60.97999954,,,,
2000-01-07,,,,2.34,1.67,,,,31.0,,2.39,,71.55000305,,,,
2000-01-08,,,,2.34,1.67,,,,31.0,,2.39,,71.83999634,,,,
2000-01-09,,,,2.34,1.67,,,,31.0,,2.39,,71.87999725,,,,
2000-01-10,,,,2.34,1.67,,,,31.0,,2.39,,71.18000031,,,,
2000-01-11,,,,2.34,1.67,,,,31.0,,2.39,,74.34999847,,,,
2000-01-12,,24.20000076,,2.34,1.67,,,,31.0,,2.39,,72.94000244,,,,
2000-01-13,,,,2.34,1.67,,,,31.0,,2.39,,64.22000122,,,,
2000-01-14,,,,2.34,1.67,,,,31.0,,2.39,,74.02999878,,,,
2000-01-15,,,,2.34,1.67,,,,31.0,,2.39,,71.70999908,,,,
2000-01-16,,,,2.34,1.67,,,,31.0,,2.39,,79.25,,,,
2000-01-17,,,,2.34,1.67,,,,31.0,,2.39,,72.41999817,,,,
2000-01-18,,,,2.34,1.67,,,,31.0,,2.39,,85.31999969,,,,
2000-01-19,,22.20000076,,2.34,1.67,,,,31.0,,2.39,,79.08000183,,,,
2000-01-20,,,,2.34,1.67,,,,31.0,,2.39,,76.04000092,,,,
2000-01-21,,,,2.34,1.67,,,,31.0,,2.39,,68.61000061,,,,
2000-01-22,,,,2.34,1.67,,,,31.0,,2.39,,78.01000214,,,,
2000-01-23,,,,2.34,1.67,,,,31.0,,2.39,,96.52999878,,,,
2000-01-24,,,,2.34,1.67,,,,31.0,,2.39,,151.66000369999998,,,,
2000-01-25,,,,2.34,1.67,,,,31.0,,2.39,,107.3799973,,,,
2000-01-26,,,,2.34,1.67,,,,31.0,,2.39,,113.0500031,,,,
2000-01-27,,,,2.34,1.67,,,,31.0,,2.39,,93.94999695,,,,
2000-01-28,,,,2.34,1.67,,,,31.0,,2.39,,91.27999878,,,,
2000-01-29,,,,2.34,1.67,,,,31.0,,2.39,,92.83000183,,,,
2000-01-30,,,,2.34,1.67,,,,31.0,,2.39,,91.12999725,,,,
2000-01-31,,,,2.34,1.67,,,,31.0,,2.39,,87.58999634,,,,
2000-02-01,,,,2.34,1.67,,,,31.0,,2.39,,83.33999634,,,,
2000-02-02,,26.79999924,,2.34,1.67,,,,31.0,,2.39,,83.55999756,,,,
2000-02-03,,,,2.34,1.67,,,,31.0,,2.39,,72.37999725,,,,
2000-02-04,,,,2.34,1.67,,,,31.0,,2.39,,85.30999756,,,,
2000-02-05,,,,2.34,1.67,,,,31.0,,2.39,,85.95999908,,,,
2000-02-06,,,,2.34,1.67,,,,31.0,,2.39,,87.08000183,,,,
2000-02-07,,,,2.34,1.67,,,,31.0,,2.39,,82.66999817,,,,
