Date,flow ft3/s,NH3 mg/L N,NO3 mg/L N,PO4 mg/L P
1995-12-02,6603.87461709,,,
1995-12-03,6603.49623582,,,
1995-12-04,6373.58631777,,,
1995-12-05,6002.96351399,,,
1995-12-06,6286.30551181,,,
1995-12-07,6551.82698361,,,
1995-12-08,6623.56992,,,
1995-12-09,6764.27050812,,,
1995-12-10,6606.80352537,,,
1995-12-11,11979.6170106,,,
1995-12-12,19793.2627934,,,
1995-12-13,29358.4785814,,,
1995-12-14,45047.0163723,,,
1995-12-15,48803.1606552,,,
1995-12-16,46398.3586239,,,
1995-12-17,45444.435376,,,
1995-12-18,45316.0627591,,,
1995-12-19,40581.8484605,,,
1995-12-20,35995.3137553,,,
1995-12-21,31806.7086838,,,
1995-12-22,28262.3699255,,,
1995-12-23,24594.7913148,,,
1995-12-24,21966.4536992,,,
1995-12-25,20336.8954016,,,
1995-12-26,19122.9347836,,,
1995-12-27,18619.6387528,,,
1995-12-28,17468.9089735,,,
1995-12-29,16379.5721741,,,
1995-12-30,18482.7059706,,,
1995-12-31,20156.7756118,0.09217512,0.52014066,0.0655188
1996-01-01,24774.2672197,,,
1996-01-02,25095.6488144,,,
1996-01-03,23417.1769482,,,
1996-01-04,14085.0,,,
1996-01-05,12956.0,,,
1996-01-06,11302.0,,,
1996-01-07,10073.0,,,
1996-01-08,8646.0,,,
1996-01-09,8748.0,,,
1996-01-10,9589.0,,,
1996-01-11,8398.0,,,
1996-01-12,7275.0,,,
1996-01-13,10551.0,,,
1996-01-14,8147.0,,,
1996-01-15,6652.0,,,
1996-01-16,7421.0,,,
1996-01-17,19004.4268906,,,
1996-01-18,29808.6145146,,,
1996-01-19,37424.1995401,,,
1996-01-20,42012.4700547,,,
1996-01-21,45353.541552,,,
1996-01-22,46380.3182654,,,
1996-01-23,47247.9644212,,,
1996-01-24,46387.3455384,,,
1996-01-25,48050.9727494,,,
1996-01-26,48789.3838759,,,
1996-01-27,48854.7726606,,,
1996-01-28,53904.6215591,,,
1996-01-29,56225.0765785,,,
1996-01-30,57551.2438156,,,
1996-01-31,61501.2219942,0.0680808,0.35647,0.04236612
1996-02-01,66112.1478498,,,
1996-02-02,63547.7332732,,,
1996-02-03,61195.5707428,,,
1996-02-04,63383.1452799,,,
1996-02-05,87898.4708209,,,
1996-02-06,118130.623046,,,
1996-02-07,129940.910962,,,
1996-02-08,125415.225721,,,
1996-02-09,111058.029196,,,
1996-02-10,97696.1685523,,,
1996-02-11,85669.3625023,,,
1996-02-12,78782.1441139,,,
1996-02-13,75995.0630128,,,
1996-02-14,73543.3029826,,,
1996-02-15,69849.5338818,,,
1996-02-16,67627.5920182,,,
1996-02-17,68728.1768586,,,
1996-02-18,73297.1750772,,,
1996-02-19,86320.8378209,,,
1996-02-20,108868.114143,,,
1996-02-21,134321.522049,,,
1996-02-22,164895.304897,,,
1996-02-23,171569.735282,,,
1996-02-24,166706.740405,,,
1996-02-25,151293.928929,,,
1996-02-26,134361.246299,,,
1996-02-27,119863.717429,,,
1996-02-28,107059.311536,,,
1996-02-29,102497.442806,0.05211888,0.21329534,0.035306
1996-03-01,99773.7376046,,,
1996-03-02,97354.9240014,,,
1996-03-03,95409.9688689,,,
1996-03-04,91544.9178894,,,
1996-03-05,93954.653884,,,
1996-03-06,93686.7691994,,,
1996-03-07,89880.4481325,,,
1996-03-08,84836.9766287,,,
1996-03-09,79565.8446542,,,
1996-03-10,73355.9219882,,,
