Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,maxTemp,maxpH,minTemp,minpH,pH,peak_flow mgd,temperature degC,urea* mg/L N
2004-03-03,,3.0,4.74,,,0.43,,,,0.89,,0.56,4.0,2004.0,2.3,72.3,7.4,70.8,6.8,7.1,,21.97222222222222,
2004-04-01,,4.0,0.05,,,0.43,,,,0.89,,0.56,5.3,2004.0,2.3,84.8,6.9,83.2,6.6,6.75,,28.88888888888889,
2004-05-05,,5.0,0.05,,,0.43,,,,0.89,,0.56,3.0,2004.0,2.5,88.9,7.3,86.7,6.8,7.05,,31.000000000000007,
2004-06-02,,6.0,0.05,,,0.43,,,,0.89,,0.56,1.1,2004.0,2.5,91.5,,89.3,,,,32.44444444444444,
2004-07-01,,7.0,0.05,,,0.43,,,,0.89,,0.56,1.28,2004.0,2.2,87.1,,85.0,,,,30.02777777777778,
2004-08-03,,8.0,0.05,,,0.43,,,,0.89,,0.56,2.72,2004.0,8.3,84.1,,81.7,,,,28.277777777777782,
2004-09-01,,9.0,0.05,,,0.43,,,,0.89,,0.56,0.9,2004.0,2.5,91.6,,89.6,,,,32.55555555555556,
2004-10-05,,10.0,0.05,,,0.43,,,,0.89,,0.56,2.7,2004.0,2.6,84.8,,82.8,,,,28.77777777777778,
2004-11-04,,11.0,0.05,,,0.43,,,,0.89,,0.56,2.8,2004.0,3.3,81.4,7.0,74.5,6.8,6.9,,25.52777777777778,
2004-12-02,,12.0,0.05,,,0.43,,,,0.89,,0.56,1.5,2004.0,2.2,76.2,7.1,74.4,6.9,7.0,,24.05555555555556,
2004-12-23,,12.0,,,,0.43,,,,0.89,,0.56,2.6,2004.0,2.56,76.6,7.1,75.0,7.0,7.05,,24.333333333333332,
2004-12-24,,12.0,,,,0.43,,,,0.89,,0.56,1.9,2004.0,2.6,75.9,7.2,74.7,7.1,7.15,,24.05555555555556,
2004-12-25,,12.0,,,,0.43,,,,0.89,,0.56,2.6,2004.0,2.62,75.9,7.2,74.9,7.1,7.15,,24.111111111111114,
2004-12-26,,12.0,,,,0.43,,,,0.89,,0.56,4.1,2004.0,2.76,76.3,7.3,75.5,7.1,7.199999999999999,,24.388888888888893,
2004-12-28,,12.0,,,,0.43,,,,0.89,,0.56,192.0,2004.0,7.65,67.9,7.1,66.2,6.9,7.0,,19.47222222222223,
2004-12-29,,12.0,,,,0.43,,,,0.89,,0.56,10.0,2004.0,7.28,68.4,7.1,67.0,7.0,7.05,,19.833333333333332,
2004-12-30,,12.0,,,,0.43,,,,0.89,,0.56,149.0,2004.0,5.56,68.4,7.2,65.2,6.7,6.95,,19.33333333333334,
2004-12-31,,12.0,,,,0.43,,,,0.89,,0.56,44.2,2004.0,5.53,66.6,7.2,65.1,6.9,7.050000000000001,,18.805555555555554,
