Date,DRP** mg/L P,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-02,,,,,0.01,,,,3.95,,0.15,,5.23,,,,
2000-01-03,,,,,0.01,,,,3.95,,0.15,,5.2,,,,
2000-01-04,,,,,0.01,,,,3.95,,0.15,,4.67,,,,
2000-01-05,,,,,0.01,,,,3.95,,0.15,,4.84,,,,
2000-01-06,,,,,0.01,,,,3.95,,0.15,,5.13,,,,
2000-01-07,,,,,0.01,,,,3.95,,0.15,,4.74,,,,
2000-01-08,,,,,0.01,,,,3.95,,0.15,,5.2,,,,
2000-01-09,,,,,0.01,,,,3.95,,0.15,,5.25,,,,
2000-01-10,,,,,0.01,,,,3.95,,0.15,,4.7,,,,
2000-01-11,,,,,0.01,,,,3.95,,0.15,,5.73,,,,
2000-01-12,,,,,0.01,,,,3.95,,0.15,,6.48,,,,
2000-01-13,,,,,0.01,,,,3.95,,0.15,,5.11,,,,
2000-01-14,,,,,0.01,,,,3.95,,0.15,,5.45,,,,
2000-01-15,,,,,0.01,,,,3.95,,0.15,,5.74,,,,
2000-01-16,,,,,0.01,,,,3.95,,0.15,,6.87,,,,
2000-01-17,,,,,0.01,,,,3.95,,0.15,,6.36,,,,
2000-01-18,,,,,0.01,,,,3.95,,0.15,,7.22,,,,
2000-01-19,,,,,0.01,,,,3.95,,0.15,,6.28,,,,
2000-01-20,,,,,0.01,,,,3.95,,0.15,,6.44,,,,
2000-01-21,,,,,0.01,,,,3.95,,0.15,,6.6,,,,
2000-01-22,,,,,0.01,,,,3.95,,0.15,,6.5,,,,
2000-01-23,,,,,0.01,,,,3.95,,0.15,,6.39,,,,
2000-01-24,,,,,0.01,,,,3.95,,0.15,,8.87,,,,
2000-01-25,,,,,0.01,,,,3.95,,0.15,,8.7,,,,
2000-01-26,,,,,0.01,,,,3.95,,0.15,,7.89,,,,
2000-01-27,,,,,0.01,,,,3.95,,0.15,,7.33,,,,
2000-01-28,,,,,0.01,,,,3.95,,0.15,,7.49,,,,
2000-01-29,,,,,0.01,,,,3.95,,0.15,,6.73,,,,
2000-01-30,,,,,0.01,,,,3.95,,0.15,,6.71,,,,
2000-01-31,,,,,0.01,,,,3.95,,0.15,,6.77,,,,
2000-02-01,,,,,0.01,,,,3.95,,0.15,,5.74,,,,
2000-02-02,,,,,0.01,,,,3.95,,0.15,,5.66,,,,
2000-02-03,,,,,0.01,,,,3.95,,0.15,,6.5,,,,
2000-02-04,,,,,0.01,,,,3.95,,0.15,,7.05,,,,
2000-02-05,,,,,0.01,,,,3.95,,0.15,,6.58,,,,
2000-02-06,,,,,0.01,,,,3.95,,0.15,,6.97,,,,
2000-02-07,,,,,0.01,,,,3.95,,0.15,,6.42,,,,
2000-02-08,,,,,0.01,,,,3.95,,0.15,,6.89,,,,
2000-02-09,,,,,0.01,,,,3.95,,0.15,,6.2,,,,
2000-02-10,,,,,0.01,,,,3.95,,0.15,,5.53,,,,
2000-02-11,,,,,0.01,,,,3.95,,0.15,,6.69,,,,
2000-02-12,,,,,0.01,,,,3.95,,0.15,,6.89,,,,
2000-02-13,,,,,0.01,,,,3.95,,0.15,,6.81,,,,
2000-02-14,,,,,0.01,,,,3.95,,0.15,,7.33,,,,
2000-02-15,,,,,0.01,,,,3.95,,0.15,,7.34,,,,
2000-02-16,,,,,0.01,,,,3.95,,0.15,,7.4,,,,
2000-02-17,,,,,0.01,,,,3.95,,0.15,,7.4,,,,
2000-02-18,,,,,0.01,,,,3.95,,0.15,,7.0,,,,
2000-02-19,,,,,0.01,,,,3.95,,0.15,,7.22,,,,
2000-02-20,,,,,0.01,,,,3.95,,0.15,,7.6,,,,
2000-02-21,,,,,0.01,,,,3.95,,0.15,,7.37,,,,
2000-02-22,,,,,0.01,,,,3.95,,0.15,,7.74,,,,
2000-02-23,,,,,0.01,,,,3.95,,0.15,,7.22,,,,
