Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,orgN mg/L N,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-02,,1.0,,,,,2.6,,,,,,,4.4,2000.0,2.768,,6.8,,18.2,
2000-01-03,,1.0,,,,,2.6,,,,,,,3.7,2000.0,2.931,,7.0,,17.4,
2000-01-04,,1.0,,,,,2.6,,,,,,,3.5,2000.0,2.694,,7.1,,16.7,
2000-01-05,,1.0,,,,,2.6,,,,,,,,2000.0,2.713,,7.0,,12.1,
2000-01-06,,1.0,,,,,2.6,,,,,,,,2000.0,2.7,,6.8,,14.0,
2000-01-07,,1.0,,,,,2.6,,,,,,,,2000.0,2.892,,7.0,,17.7,
2000-01-08,,1.0,,,,,2.6,,,,,,,,2000.0,2.629,,6.8,,16.7,
2000-01-09,,1.0,,,,,2.6,,,,,,,4.2,2000.0,2.574,,6.8,,16.7,
2000-01-10,,1.0,0.32,,21.0,,2.6,,,,,,,5.0,2000.0,3.066,,6.9,,17.0,
2000-01-11,,1.0,,,,,2.6,,,,,,,2.3,2000.0,3.805,,7.0,,17.5,
2000-01-12,,1.0,,,,,2.6,,,,,,,,2000.0,1.78,,6.8,,17.5,
2000-01-13,,1.0,,,,,2.6,,,,,,,,2000.0,3.582,,7.0,,16.0,
2000-01-14,,1.0,,,,,2.6,,,,,,,,2000.0,1.274,,6.9,,16.8,
2000-01-15,,1.0,,,,,2.6,,,,,,,,2000.0,4.016,,6.8,,16.9,
2000-01-16,,1.0,,,,,2.6,,,,,,,6.0,2000.0,3.297,,6.8,,19.1,
2000-01-17,,1.0,,,,,2.6,,,,,,,4.7,2000.0,3.705,,6.7,,18.4,
2000-01-18,,1.0,0.35,,13.0,,2.6,,,,,,,7.6,2000.0,2.373,,6.7,,19.3,
2000-01-19,,1.0,,,,,2.6,,,,,,,,2000.0,4.142,,7.0,,18.4,
2000-01-20,,1.0,,,,,2.6,,,,,,,,2000.0,5.424,,6.9,,17.9,
2000-01-21,,1.0,,,,,2.6,,,,,,,,2000.0,5.437,,7.0,,17.1,
2000-01-22,,1.0,,,,,2.6,,,,,,,,2000.0,4.316,,6.6,,14.6,
2000-01-23,,1.0,,,,,2.6,,,,,,,7.8,2000.0,5.935,,6.6,,16.2,
2000-01-24,,1.0,0.46,,11.0,,2.6,,,,,,,8.3,2000.0,5.785,,6.7,,18.0,
2000-01-25,,1.0,,,,,2.6,,,,,,,7.5,2000.0,7.743,,6.6,,16.7,
2000-01-26,,1.0,,,,,2.6,,,,,,,,2000.0,6.695,,6.6,,15.9,
2000-01-27,,1.0,,,,,2.6,,,,,,,,2000.0,5.604,,6.5,,17.4,
2000-01-28,,1.0,,,,,2.6,,,,,,,,2000.0,4.635,,6.7,,16.1,
2000-01-29,,1.0,,,,,2.6,,,,,,,,2000.0,4.457,,6.7,,16.4,
2000-01-30,,1.0,,,,,2.6,,,,,,,4.4,2000.0,5.318,,6.7,,17.3,
2000-01-31,,1.0,0.35,,14.0,,2.6,,,,,,,4.4,2000.0,5.111,,6.6,,15.6,
2000-02-01,,2.0,,,,,2.6,,,,,,,6.0,2000.0,5.01,,6.5,,15.8,
2000-02-02,,2.0,,,,,2.6,,,,,,,,2000.0,3.937,,6.6,,17.0,
2000-02-03,,2.0,,,,,2.6,,,,,,,,2000.0,4.504,,6.7,,17.2,
2000-02-04,,2.0,,,,,2.6,,,,,,,,2000.0,4.016,,6.7,,17.1,
2000-02-05,,2.0,,,,,2.6,,,,,,,,2000.0,4.991,,6.7,,17.9,
2000-02-06,,2.0,,,,,2.6,,,,,,,11.0,2000.0,4.953,,6.6,,17.8,
2000-02-07,,2.0,0.26,,16.0,7.9,2.6,,,,,,,9.0,2000.0,4.213,0.46,6.6,,18.6,
2000-02-08,,2.0,,,,,2.6,,,,,,,4.0,2000.0,4.132,,6.9,,17.3,
2000-02-09,,2.0,,,,,2.6,,,,,,,,2000.0,3.206,,6.8,,17.9,
2000-02-10,,2.0,,,,,2.6,,,,,,,,2000.0,5.597,,6.9,,18.3,
2000-02-11,,2.0,,,,,2.6,,,,,,,,2000.0,7.1,,6.7,,18.3,
2000-02-12,,2.0,,,,,2.6,,,,,,,,2000.0,7.774,,6.7,,17.4,
2000-02-13,,2.0,,,,,2.6,,,,,,,,2000.0,9.692,,6.6,,14.1,
2000-02-14,,2.0,0.32,,10.0,,2.6,,,,,,,7.0,2000.0,10.789,,6.8,,16.0,
2000-02-15,,2.0,0.22,,6.1,,2.6,,,,,,,17.0,2000.0,11.804,,6.8,,15.8,
2000-02-16,,2.0,0.2,,6.9,,2.6,,,,,,,12.0,2000.0,11.43,,6.8,,15.9,
2000-02-17,,2.0,,,,,2.6,,,,,,,,2000.0,11.185,,6.8,,16.8,
2000-02-18,,2.0,,,,,2.6,,,,,,,,2000.0,10.667,,6.8,,16.8,
2000-02-19,,2.0,,,,,2.6,,,,,,,,2000.0,10.883,,6.7,,16.0,
2000-02-20,,2.0,,,,,2.6,,,,,,,,2000.0,10.422,,6.7,,16.2,
2000-02-21,,2.0,,,,,2.6,,,,,,,,2000.0,9.973,,6.6,,16.5,
2000-02-22,,2.0,0.27,,8.5,,2.6,,,,,,,5.0,2000.0,8.108,,6.6,,17.5,
2000-02-23,,2.0,,,,,2.6,,,,,,,1.0,2000.0,9.345,,6.6,,16.1,
2000-02-24,,2.0,,,,,2.6,,,,,,,1.0,2000.0,9.25,,6.8,,16.9,
2000-02-25,,2.0,,,,,2.6,,,,,,,,2000.0,8.536,,6.7,,16.5,
2000-02-26,,2.0,,,,,2.6,,,,,,,,2000.0,8.847,,6.7,,17.0,
2000-02-27,,2.0,0.27,,8.5,,2.6,,,,,,,3.0,2000.0,8.627,,6.7,,17.1,
2000-02-28,,2.0,0.26,,7.4,,2.6,,,,,,,2.0,2000.0,9.086,,6.7,,16.8,
2000-02-29,,2.0,0.33,,8.4,,2.6,,,,,,,5.0,2000.0,8.728,,6.8,,16.3,
2000-03-01,,3.0,,,,,2.6,,,,,,,,2000.0,8.783,,6.63,,16.8,
2000-03-02,,3.0,,,,,2.6,,,,,,,,2000.0,8.494,,6.66,,15.8,
2000-03-03,,3.0,,,,,2.6,,,,,,,,2000.0,8.646,,6.79,,17.1,
2000-03-04,,3.0,,,,,2.6,,,,,,,,2000.0,8.258,,6.7,,16.9,
2000-03-05,,3.0,,,,,2.6,,,,,,,,2000.0,8.543,,6.73,,16.9,
