Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,Salinity,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-02,,1.0,,,0.56,3.99,,0.8,,,40.75,,3.49,5.4,2000.0,17.78,,,,
2000-01-03,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,18.5,,,,
2000-01-04,,1.0,27.0,,0.56,3.99,,0.8,,,40.75,,3.49,5.3,2000.0,18.27,,,,
2000-01-05,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,18.45,,,18.0,
2000-01-06,,1.0,,,0.56,3.99,,0.8,,,40.75,,3.49,4.7,2000.0,18.13,,,,
2000-01-07,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,17.88,,,,
2000-01-08,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,17.93,,,,
2000-01-09,,1.0,,,0.56,3.99,,0.7,,,40.75,,3.49,3.5,2000.0,18.18,,,,
2000-01-10,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,18.15,,,18.0,
2000-01-11,,1.0,24.0,,0.56,3.99,,0.7,,,40.75,,3.49,5.4,2000.0,18.66,,,,
2000-01-12,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,18.22,,,,
2000-01-13,,1.0,,,0.56,3.99,,0.7,,,40.75,,3.49,4.2,2000.0,18.12,,,,
2000-01-14,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,18.0,,,,
2000-01-15,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,17.62,,,,
2000-01-16,,1.0,,,0.56,3.99,,0.6,,,40.75,,3.49,5.2,2000.0,23.65,,,,
2000-01-17,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,19.94,,,18.0,
2000-01-18,,1.0,18.0,,0.56,3.99,,0.7,,,40.75,,3.49,4.9,2000.0,26.22,,,,
2000-01-19,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,21.04,,,,
2000-01-20,,1.0,,,0.56,3.99,,0.8,,,40.75,,3.49,4.4,2000.0,20.28,,,,
2000-01-21,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,19.1,,,,
2000-01-22,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,19.53,,,,
2000-01-23,,1.0,,,0.56,3.99,,0.6,,,40.75,,3.49,9.4,2000.0,29.84,,,,
2000-01-24,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,57.14,,,,
2000-01-25,,1.0,11.0,,0.56,3.99,,0.9,,,40.75,,3.49,3.4,2000.0,37.55,,,,
2000-01-26,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,27.27,,,,
2000-01-27,,1.0,,,0.56,3.99,,0.9,,,40.75,,3.49,3.6,2000.0,23.02,,,,
2000-01-28,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,21.47,,,18.4,
2000-01-29,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,20.69,,,,
2000-01-30,,1.0,20.0,,0.56,3.99,,0.8,,,40.75,,3.49,13.0,2000.0,22.73,,,,
2000-01-31,,1.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,21.52,,,,
2000-02-01,,2.0,,,0.56,3.99,,0.8,,,40.75,,3.49,4.2,2000.0,20.84,,,,
2000-02-02,,2.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,20.38,,,18.9,
2000-02-03,,2.0,,,0.56,3.99,,0.8,,,40.75,,3.49,4.4,2000.0,21.87,,,,
2000-02-04,,2.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,20.72,,,,
2000-02-05,,2.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,21.84,,,,
2000-02-06,,2.0,,,0.56,3.99,,0.8,,,40.75,,3.49,4.4,2000.0,21.31,,,,
2000-02-07,,2.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,20.64,,,,
2000-02-08,,2.0,24.0,,0.56,3.99,,0.9,,,40.75,,3.49,4.4,2000.0,20.24,,,,
2000-02-09,,2.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,19.89,,,,
2000-02-10,,2.0,,,0.56,3.99,,0.8,,,40.75,,3.49,2.9,2000.0,23.18,,,,
2000-02-11,,2.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,32.26,,,18.7,
2000-02-12,,2.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,33.46,,,,
2000-02-13,,2.0,,,0.56,3.99,,0.5,,,40.75,,3.49,8.6,2000.0,44.79,,,,
2000-02-14,,2.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,46.47,,,,
2000-02-15,,2.0,12.0,,0.56,3.99,,0.8,,,40.75,,3.49,3.2,2000.0,32.11,,,,
2000-02-16,,2.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,28.76,,,,
2000-02-17,,2.0,,,0.56,3.99,,0.9,,,40.75,,3.49,4.0,2000.0,26.57,,,,
2000-02-18,,2.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,24.26,,,18.3,
2000-02-19,,2.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,22.38,,,,
2000-02-20,,2.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,22.5,,,,
2000-02-21,,2.0,,,0.56,3.99,,0.8,,,40.75,,3.49,5.2,2000.0,25.57,,,,
2000-02-22,,2.0,16.0,,0.56,3.99,,0.7,,,40.75,,3.49,11.0,2000.0,27.86,,,,
2000-02-23,,2.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,38.17,,,,
2000-02-24,,2.0,,,0.56,3.99,,0.8,,,40.75,,3.49,4.6,2000.0,30.52,,,,
2000-02-25,,2.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,26.39,,,18.4,
2000-02-26,,2.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,25.69,,,,
2000-02-27,,2.0,,,0.56,3.99,,0.6,,,40.75,,3.49,5.2,2000.0,37.68,,,,
2000-02-28,,2.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,30.12,,,,
2000-02-29,,2.0,15.0,,0.56,3.99,,0.7,,,40.75,,3.49,5.6,2000.0,30.36,,,,
2000-03-01,,3.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,26.92,,,,
2000-03-02,,3.0,,,0.56,3.99,,0.8,,,40.75,,3.49,3.8,2000.0,25.66,,,,
2000-03-03,,3.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,25.34,,,18.1,
2000-03-04,,3.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,25.87,,,,
2000-03-05,,3.0,,,0.56,3.99,,0.7,,,40.75,,3.49,5.5,2000.0,30.92,,,,
2000-03-06,,3.0,,,0.56,3.99,,,,,40.75,,3.49,,2000.0,25.61,,,,
