Date,DRP** mg/L P,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-02,,,,0.82,0.06,,,,6.75,,0.24,,6.24,,,,
2000-01-03,,,,0.82,0.06,,,,6.75,,0.24,,5.75,,,,
2000-01-04,,,,0.82,0.06,,,,6.75,,0.24,,6.45,,,,
2000-01-05,,11.0,,0.82,0.06,,,,6.75,,0.24,,5.83,,,,
2000-01-06,,,,0.82,0.06,,,,6.75,,0.24,,6.14,,,,
2000-01-07,,,,0.82,0.06,,,,6.75,,0.24,,6.216,,,,
2000-01-08,,,,0.82,0.06,,,,6.75,,0.24,,6.1,,,,
2000-01-09,,,,0.82,0.06,,,,6.75,,0.24,,6.47,,,,
2000-01-10,,,,0.82,0.06,,,,6.75,,0.24,,5.5,,,,
2000-01-11,,,,0.82,0.06,,,,6.75,,0.24,,6.6,,,,
2000-01-12,,,,0.82,0.06,,,,6.75,,0.24,,6.35,,,,
2000-01-13,,,,0.82,0.06,,,,6.75,,0.24,,6.49,,,,
2000-01-14,,,,0.82,0.06,,,,6.75,,0.24,,6.49,,,,
2000-01-15,,,,0.82,0.06,,,,6.75,,0.24,,6.66,,,,
2000-01-16,,,,0.82,0.06,,,,6.75,,0.24,,5.98,,,,
2000-01-17,,,,0.82,0.06,,,,6.75,,0.24,,6.25,,,,
2000-01-18,,,,0.82,0.06,,,,6.75,,0.24,,5.8,,,,
2000-01-19,,,,0.82,0.06,,,,6.75,,0.24,,5.76,,,,
2000-01-20,,,,0.82,0.06,,,,6.75,,0.24,,5.93,,,,
2000-01-21,,,,0.82,0.06,,,,6.75,,0.24,,6.6,,,,
2000-01-22,,,,0.82,0.06,,,,6.75,,0.24,,5.99,,,,
2000-01-23,,,,0.82,0.06,,,,6.75,,0.24,,8.49,,,,
2000-01-24,,,,0.82,0.06,,,,6.75,,0.24,,7.57,,,,
2000-01-25,,,,0.82,0.06,,,,6.75,,0.24,,1.89,,,,
2000-01-26,,,,0.82,0.06,,,,6.75,,0.24,,12.48,,,,
2000-01-27,,,,0.82,0.06,,,,6.75,,0.24,,11.68,,,,
2000-01-28,,,,0.82,0.06,,,,6.75,,0.24,,11.32,,,,
2000-01-29,,,,0.82,0.06,,,,6.75,,0.24,,12.99,,,,
2000-01-30,,,,0.82,0.06,,,,6.75,,0.24,,10.77,,,,
2000-01-31,,,,0.82,0.06,,,,6.75,,0.24,,13.62,,,,
2000-02-01,,20.0,,0.82,0.06,,,,6.75,,0.24,,7.69,,,,
2000-02-02,,,,0.82,0.06,,,,6.75,,0.24,,6.49,,,,
2000-02-03,,,,0.82,0.06,,,,6.75,,0.24,,7.07,,,,
2000-02-04,,,,0.82,0.06,,,,6.75,,0.24,,6.76,,,,
2000-02-05,,,,0.82,0.06,,,,6.75,,0.24,,4.97,,,,
2000-02-06,,,,0.82,0.06,,,,6.75,,0.24,,6.81,,,,
2000-02-07,,12.0,,0.82,0.06,,,,6.75,,0.24,,5.04,,,,
2000-02-08,,,,0.82,0.06,,,,6.75,,0.24,,6.97,,,,
2000-02-09,,,,0.82,0.06,,,,6.75,,0.24,,6.2,,,,
2000-02-10,,,,0.82,0.06,,,,6.75,,0.24,,7.66,,,,
2000-02-11,,,,0.82,0.06,,,,6.75,,0.24,,10.23,,,,
2000-02-12,,,,0.82,0.06,,,,6.75,,0.24,,7.11,,,,
2000-02-13,,,,0.82,0.06,,,,6.75,,0.24,,9.92,,,,
2000-02-14,,,,0.82,0.06,,,,6.75,,0.24,,12.26,,,,
2000-02-15,,,,0.82,0.06,,,,6.75,,0.24,,9.97,,,,
2000-02-16,,,,0.82,0.06,,,,6.75,,0.24,,9.44,,,,
2000-02-17,,,,0.82,0.06,,,,6.75,,0.24,,6.49,,,,
2000-02-18,,,,0.82,0.06,,,,6.75,,0.24,,5.35,,,,
2000-02-19,,,,0.82,0.06,,,,6.75,,0.24,,9.11,,,,
2000-02-20,,,,0.82,0.06,,,,6.75,,0.24,,7.46,,,,
2000-02-21,,,,0.82,0.06,,,,6.75,,0.24,,6.38,,,,
2000-02-22,,,,0.82,0.06,,,,6.75,,0.24,,10.04,,,,
2000-02-23,,,,0.82,0.06,,,,6.75,,0.24,,9.6,,,,
2000-02-24,,,,0.82,0.06,,,,6.75,,0.24,,6.71,,,,
2000-02-25,,,,0.82,0.06,,,,6.75,,0.24,,6.27,,,,
2000-02-26,,,,0.82,0.06,,,,6.75,,0.24,,5.96,,,,
2000-02-27,,,,0.82,0.06,,,,6.75,,0.24,,10.12,,,,
2000-02-28,,,,0.82,0.06,,,,6.75,,0.24,,6.17,,,,
2000-02-29,,,,0.82,0.06,,,,6.75,,0.24,,8.56,,,,
2000-03-01,,,,0.82,0.06,,,,6.75,,0.24,,7.1,,,,
2000-03-02,,,,0.82,0.06,,,,6.75,,0.24,,6.3,,,,
2000-03-03,,,,0.82,0.06,,,,6.75,,0.24,,7.18,,,,
2000-03-04,,,,0.82,0.06,,,,6.75,,0.24,,4.66,,,,
2000-03-05,,,,0.82,0.06,,,,6.75,,0.24,,7.27,,,,
2000-03-06,,,,0.82,0.06,,,,6.75,,0.24,,6.64,,,,
2000-03-07,,,,0.82,0.06,,,,6.75,,0.24,,10.37,,,,
2000-03-08,,,,0.82,0.06,,,,6.75,,0.24,,8.17,,,,
2000-03-09,,,,0.82,0.06,,,,6.75,,0.24,,9.93,,,,
2000-03-10,,,,0.82,0.06,,,,6.75,,0.24,,10.28,,,,
2000-03-11,,,,0.82,0.06,,,,6.75,,0.24,,10.3,,,,
2000-03-12,,,,0.82,0.06,,,,6.75,,0.24,,3.25,,,,
2000-03-13,,,,0.82,0.06,,,,6.75,,0.24,,3.42,,,,
2000-03-14,,,,0.82,0.06,,,,6.75,,0.24,,7.987,,,,
2000-03-15,,,,0.82,0.06,,,,6.75,,0.24,,8.71,,,,
2000-03-16,,,,0.82,0.06,,,,6.75,,0.24,,10.0,,,,
2000-03-17,,,,0.82,0.06,,,,6.75,,0.24,,4.61,,,,
2000-03-18,,,,0.82,0.06,,,,6.75,,0.24,,6.82,,,,
2000-03-19,,,,0.82,0.06,,,,6.75,,0.24,,6.44,,,,
2000-03-20,,,,0.82,0.06,,,,6.75,,0.24,,7.721,,,,
2000-03-21,,,,0.82,0.06,,,,6.75,,0.24,,10.52,,,,
2000-03-22,,,,0.82,0.06,,,,6.75,,0.24,,8.02,,,,
2000-03-23,,,,0.82,0.06,,,,6.75,,0.24,,4.88,,,,
2000-03-24,,,,0.82,0.06,,,,6.75,,0.24,,4.02,,,,
2000-03-25,,,,0.82,0.06,,,,6.75,,0.24,,3.88,,,,
2000-03-26,,,,0.82,0.06,,,,6.75,,0.24,,6.59,,,,
2000-03-27,,,,0.82,0.06,,,,6.75,,0.24,,7.17,,,,
2000-03-28,,,,0.82,0.06,,,,6.75,,0.24,,5.37,,,,
2000-03-29,,,,0.82,0.06,,,,6.75,,0.24,,6.36,,,,
2000-03-30,,,,0.82,0.06,,,,6.75,,0.24,,6.5,,,,
2000-03-31,,,,0.82,0.06,,,,6.75,,0.24,,4.38,,,,
2000-04-01,,,,0.82,0.06,,,,6.75,,0.24,,3.62,,,,
2000-04-02,,,,0.82,0.06,,,,6.75,,0.24,,3.66,,,,
2000-04-03,,,,0.82,0.06,,,,6.75,,0.24,,4.1,,,,
2000-04-04,,,,0.82,0.06,,,,6.75,,0.24,,4.68,,,,
2000-04-05,,,,0.82,0.06,,,,6.75,,0.24,,4.88,,,,
2000-04-06,,,,0.82,0.06,,,,6.75,,0.24,,4.71,,,,
2000-04-07,,,,0.82,0.06,,,,6.75,,0.24,,2.94,,,,
2000-04-08,,,,0.82,0.06,,,,6.75,,0.24,,2.36,,,,
2000-04-09,,,,0.82,0.06,,,,6.75,,0.24,,2.26,,,,
2000-04-10,,,,0.82,0.06,,,,6.75,,0.24,,1.76,,,,
2000-04-11,,,,0.82,0.06,,,,6.75,,0.24,,1.73,,,,
2000-04-12,,,,0.82,0.06,,,,6.75,,0.24,,1.7,,,,
2000-04-13,,,,0.82,0.06,,,,6.75,,0.24,,3.83,,,,
2000-04-14,,,,0.82,0.06,,,,6.75,,0.24,,3.1,,,,
2000-04-15,,,,0.82,0.06,,,,6.75,,0.24,,3.04,,,,
2000-04-16,,,,0.82,0.06,,,,6.75,,0.24,,2.63,,,,
2000-04-17,,,,0.82,0.06,,,,6.75,,0.24,,4.51,,,,
2000-04-18,,,,0.82,0.06,,,,6.75,,0.24,,3.7,,,,
2000-04-19,,,,0.82,0.06,,,,6.75,,0.24,,3.12,,,,
2000-04-20,,,,0.82,0.06,,,,6.75,,0.24,,4.97,,,,
2000-04-21,,,,0.82,0.06,,,,6.75,,0.24,,2.45,,,,
2000-04-22,,,,0.82,0.06,,,,6.75,,0.24,,1.73,,,,
2000-04-23,,,,0.82,0.06,,,,6.75,,0.24,,2.24,,,,
2000-04-24,,,,0.82,0.06,,,,6.75,,0.24,,2.43,,,,
2000-04-25,,,,0.82,0.06,,,,6.75,,0.24,,2.51,,,,
2000-04-26,,,,0.82,0.06,,,,6.75,,0.24,,2.45,,,,
2000-04-27,,,,0.82,0.06,,,,6.75,,0.24,,2.41,,,,
2000-04-28,,,,0.82,0.06,,,,6.75,,0.24,,2.05,,,,
2000-04-29,,,,0.82,0.06,,,,6.75,,0.24,,2.74,,,,
2000-04-30,,,,0.82,0.06,,,,6.75,,0.24,,2.95,,,,
2000-05-01,,5.7,,0.82,0.06,,,,6.75,,0.24,,2.07,,,,
2000-05-02,,,,0.82,0.06,,,,6.75,,0.24,,1.43,,,,
2000-05-03,,,,0.82,0.06,,,,6.75,,0.24,,3.07,,,,
2000-05-04,,,,0.82,0.06,,,,6.75,,0.24,,3.35,,,,
2000-05-05,,,,0.82,0.06,,,,6.75,,0.24,,1.66,,,,
2000-05-06,,,,0.82,0.06,,,,6.75,,0.24,,1.03,,,,
2000-05-07,,,,0.82,0.06,,,,6.75,,0.24,,1.04,,,,
2000-05-08,,,,0.82,0.06,,,,6.75,,0.24,,1.94,,,,
2000-05-09,,,,0.82,0.06,,,,6.75,,0.24,,2.02,,,,
2000-05-10,,,,0.82,0.06,,,,6.75,,0.24,,3.43,,,,
2000-05-11,,,,0.82,0.06,,,,6.75,,0.24,,4.13,,,,
2000-05-12,,,,0.82,0.06,,,,6.75,,0.24,,1.44,,,,
2000-05-13,,,,0.82,0.06,,,,6.75,,0.24,,1.71,,,,
