Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,Salinity,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-04,,1.0,11.69,,,2.69,,,,,,,,18.0,2000.0,9.84,7.1,,18.9,
2000-01-11,,1.0,14.14,1.36,1.43,2.69,,,,,,,,16.0,2000.0,11.96,7.2,,18.4,
2000-01-18,,1.0,11.62,,,2.69,,,,,,,,20.0,2000.0,14.08,7.0,,18.1,
2000-01-24,,1.0,3.7,,,2.69,,,,,,,,92.0,2000.0,29.81,7.2,,16.0,
2000-01-25,,1.0,3.31,,,2.69,,,,,,,,20.0,2000.0,26.22,7.3,,17.2,
2000-02-01,,2.0,10.8,,,2.69,,,,,,,,16.0,2000.0,13.78,7.3,,18.4,
2000-02-08,,2.0,8.75,1.22,5.37,2.69,,,,,,,,15.0,2000.0,12.82,7.6,,18.7,
2000-02-14,,2.0,2.58,,,2.69,,,,,,,,55.0,2000.0,32.46,8.1,,16.4,
2000-02-16,,2.0,2.5,,,2.69,,,,,,,,9.0,2000.0,23.07,7.4,,17.9,
2000-02-22,,2.0,4.66,,,2.69,,,,,,,,12.0,2000.0,18.64,7.4,,17.5,
2000-03-01,,3.0,3.52,,,2.69,,,,,,,,11.0,2000.0,20.29,7.4,,18.3,
2000-03-07,,3.0,2.84,,,2.69,,,,,,,,11.0,2000.0,19.18,7.3,,17.6,
2000-03-16,,3.0,4.37,,,2.69,,,,,,,,10.0,2000.0,15.5,7.5,,20.1,
2000-03-20,,3.0,6.9,1.34,6.0,2.69,,,,,,,,10.0,2000.0,14.28,7.3,,18.0,
2000-03-28,,3.0,8.34,,,2.69,,,,,,,,10.0,2000.0,13.06,7.4,,19.2,
2000-04-04,,4.0,10.03,,,2.69,,,,,,,,13.0,2000.0,11.57,7.4,,19.7,
2000-04-11,,4.0,11.06,,,2.69,,,,,,,,13.0,2000.0,12.1,7.3,,20.4,
2000-04-18,,4.0,10.07,0.85,5.11,2.69,,,,,,,,10.0,2000.0,13.3,7.4,,20.3,
2000-04-25,,4.0,11.34,,,2.69,,,,,,,,9.0,2000.0,12.3,7.3,,21.5,
2000-05-02,,5.0,11.5,,,2.69,,,,,,,,12.0,2000.0,11.71,7.4,,21.7,
