Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
WTL-001,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,=,3.3,mg/L,0.04,0.1,0.1,11/5/2010,12:05:00,11/5/2010 12:05,11/12/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
RGW-001,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,ND,,mg/L,0.04,0.1,0.1,11/8/2010,8:51:00,11/8/2010 8:51,11/16/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
RGW-002,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,ND,,mg/L,0.04,0.1,0.1,11/8/2010,10:00:00,11/8/2010 10:00,11/16/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
RGW-003,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,ND,,mg/L,0.04,0.1,0.1,11/8/2010,11:19:00,11/8/2010 11:19,11/16/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
RGW-004,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,ND,,mg/L,0.04,0.1,0.1,11/8/2010,12:13:00,11/8/2010 12:13,11/16/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
EFF-001,"Ammonia, Total (as N)",Data Unavailable,,=,103,lb/day,,,,11/8/2010,12:41:00,11/8/2010 12:41,12/21/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
EFF-001,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,=,3.8,mg/L,0.04,0.1,0.1,11/8/2010,12:41:00,11/8/2010 12:41,11/16/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
RGW-005,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,ND,,mg/L,0.04,0.1,0.1,11/8/2010,13:09:00,11/8/2010 13:09,11/16/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
RGW-006,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,ND,,mg/L,0.04,0.1,0.1,11/8/2010,14:19:00,11/8/2010 14:19,11/16/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
PND-001,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,=,20,mg/L,0.04,0.1,0.1,11/9/2010,8:57:00,11/9/2010 8:57,11/16/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
PND-002,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,=,15,mg/L,0.04,0.1,0.1,11/9/2010,9:06:00,11/9/2010 9:06,11/16/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
PND-003,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,=,22,mg/L,0.04,0.1,0.1,11/9/2010,9:15:00,11/9/2010 9:15,11/16/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
EFF-001,"Ammonia, Total (as N)",,Daily Discharge,=,121,lb/day,,,,11/9/2010,9:53:00,11/9/2010 9:53,12/21/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
EFF-001,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,=,3.8,mg/L,0.04,0.1,0.1,11/9/2010,9:53:00,11/9/2010 9:53,11/16/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
EFF-001,"Ammonia, Total (as N)",,Daily Discharge,=,133,lb/day,,,,11/10/2010,9:08:00,11/10/2010 9:08,12/21/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
EFF-001,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,=,4.2,mg/L,0.04,0.1,0.1,11/10/2010,9:08:00,11/10/2010 9:08,11/22/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
EFF-001,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,=,4.5,mg/L,0.04,0.1,0.1,11/11/2010,10:10:00,11/11/2010 10:10,11/22/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
EFF-001,"Ammonia, Total (as N)",,Daily Discharge,=,139,lb/day,,,,11/11/2010,10:10:00,11/11/2010 10:10,12/21/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
EFF-001,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,=,4.1,mg/L,0.04,0.1,0.1,11/12/2010,8:40:00,11/12/2010 8:40,11/22/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
EFF-001,"Ammonia, Total (as N)",,Daily Discharge,=,127,lb/day,,,,11/12/2010,8:40:00,11/12/2010 8:40,12/21/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
