Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
WTL-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.1,mg/L,0.01,0.1,0.1,11/5/2010,12:05:00,11/5/2010 12:05,11/5/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
PND-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,11/9/2010,8:57:00,11/9/2010 8:57,11/11/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
PND-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,11/9/2010,9:06:00,11/9/2010 9:06,11/11/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
PND-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,11/9/2010,9:15:00,11/9/2010 9:15,11/11/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
PND-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,12/1/2010,11:01:00,12/1/2010 11:01,12/3/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2010,,,
PND-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,12/1/2010,11:13:00,12/1/2010 11:13,12/3/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2010,,,
PND-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,12/1/2010,11:20:00,12/1/2010 11:20,12/3/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2010,,,
PND-004,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,12/20/2010,11:35:00,12/20/2010 11:35,12/21/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2010,,,
PND-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.19,mg/L,0.01,0.1,0.1,12/20/2010,11:43:00,12/20/2010 11:43,12/21/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2010,,,
PND-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.069,mg/L,0.01,0.1,0.1,12/20/2010,12:00:00,12/20/2010 12:00,12/21/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2010,,,
PND-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1,mg/L,0.01,0.1,0.1,12/20/2010,12:08:00,12/20/2010 12:08,12/21/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2010,,,
WTL-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.023,mg/L,0.01,0.1,0.1,12/23/2010,7:28:00,12/23/2010 7:28,12/23/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2010,,,
WTL-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,3.6,mg/L,0.01,0.1,0.1,1/2/2011,12:36:00,1/2/2011 12:36,1/3/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for January 2011,,,
PND-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.23,mg/L,0.01,0.1,0.1,1/11/2011,9:32:00,1/11/2011 9:32,1/12/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for January 2011,,,
PND-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,1/11/2011,9:43:00,1/11/2011 9:43,1/12/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for January 2011,,,
PND-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,1/11/2011,9:51:00,1/11/2011 9:51,1/12/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for January 2011,,,
PND-004,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.015,mg/L,0.01,0.1,0.1,1/11/2011,10:00:00,1/11/2011 10:00,1/12/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for January 2011,,,
PND-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,1/11/2011,10:16:00,1/11/2011 10:16,1/12/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for January 2011,,,
PND-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,1/11/2011,10:22:00,1/11/2011 10:22,1/12/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for January 2011,,,
PND-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,2/1/2011,9:49:00,2/1/2011 9:49,2/2/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for February 2011,,,
PND-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.03,mg/L,0.01,0.1,0.1,2/1/2011,10:00:00,2/1/2011 10:00,2/3/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for February 2011,,,
PND-004,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.073,mg/L,0.01,0.1,0.1,2/1/2011,10:35:00,2/1/2011 10:35,2/2/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for February 2011,,,
PND-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.024,mg/L,0.01,0.1,0.1,2/1/2011,10:45:00,2/1/2011 10:45,2/2/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for February 2011,,,
PND-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.033,mg/L,0.01,0.1,0.1,2/1/2011,10:58:00,2/1/2011 10:58,2/2/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for February 2011,,,
PND-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.019,mg/L,0.01,0.1,0.1,2/1/2011,11:07:00,2/1/2011 11:07,2/2/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for February 2011,,,
WTL-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,3.6,mg/L,0.01,0.1,0.1,2/1/2011,11:10:00,2/1/2011 11:10,2/3/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for February 2011,,,
WTL-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.018,mg/L,0.01,0.1,0.1,2/1/2011,12:00:00,2/1/2011 12:00,2/3/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for February 2011,,,
RGW-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.041,mg/L,0.01,0.1,0.1,2/9/2011,9:07:00,2/9/2011 9:07,2/10/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2011,,,
RGW-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.13,mg/L,0.01,0.1,0.1,2/9/2011,9:57:00,2/9/2011 9:57,2/10/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2011,,,
RGW-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.062,mg/L,0.01,0.1,0.1,2/9/2011,10:29:00,2/9/2011 10:29,2/11/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2011,,,
RGW-004,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.019,mg/L,0.01,0.1,0.1,2/9/2011,11:28:00,2/9/2011 11:28,2/11/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2011,,,
RGW-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,12,mg/L,0.01,0.1,0.1,2/9/2011,12:00:00,2/9/2011 12:00,2/11/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2011,,,
RGW-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.33,mg/L,0.01,0.1,0.1,2/9/2011,12:58:00,2/9/2011 12:58,2/11/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2011,,,
PND-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.75,mg/L,0.01,0.1,0.1,3/1/2011,10:39:00,3/1/2011 10:39,3/2/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for March 2011,,,
