Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
RGW-001,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,2/9/2011,9:07:00,2/9/2011 9:07,4/27/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2011,,,
RGW-002,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.13,mg/L,0.1,0.1,0.1,2/9/2011,9:57:00,2/9/2011 9:57,4/27/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2011,,,
RGW-003,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,2/9/2011,10:29:00,2/9/2011 10:29,4/27/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2011,,,
RGW-004,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,2/9/2011,11:28:00,2/9/2011 11:28,4/27/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2011,,,
RGW-005,Nitrite Plus Nitrate (as N),Data Unavailable,,=,12,mg/L,0.2,0.2,0.2,2/9/2011,12:00:00,2/9/2011 12:00,4/27/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2011,,,
RGW-006,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.33,mg/L,0.1,0.1,0.1,2/9/2011,12:58:00,2/9/2011 12:58,4/27/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2011,,,
RGW-005,Nitrite Plus Nitrate (as N),Data Unavailable,,=,12,mg/L,0.2,0.2,0.2,3/16/2011,10:11:00,3/16/2011 10:11,4/27/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2011,,,
RGW-001,Nitrite Plus Nitrate (as N),Data Unavailable,,DNQ,0.079,mg/L,0.1,0.1,0.1,5/9/2011,8:27:00,5/9/2011 8:27,6/10/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2011,,,
RGW-002,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.12,mg/L,0.1,0.1,0.1,5/9/2011,9:10:00,5/9/2011 9:10,6/10/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2011,,,
RGW-003,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,5/9/2011,9:52:00,5/9/2011 9:52,6/10/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2011,,,
RGW-004,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,5/9/2011,11:16:00,5/9/2011 11:16,6/10/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2011,,,
RGW-005,Nitrite Plus Nitrate (as N),Data Unavailable,,=,4.9,mg/L,0.1,0.1,0.1,5/9/2011,11:58:00,5/9/2011 11:58,6/10/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2011,,,
RGW-006,Nitrite Plus Nitrate (as N),Data Unavailable,,=,1.6,mg/L,0.1,0.1,0.1,5/9/2011,12:54:00,5/9/2011 12:54,6/10/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2011,,,
RGW-001,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,7/6/2011,8:39:00,7/6/2011 8:39,8/15/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2011,,,
RGW-002,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.15,mg/L,0.1,0.1,0.1,7/6/2011,9:38:00,7/6/2011 9:38,8/15/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2011,,,
RGW-003,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,7/6/2011,10:16:00,7/6/2011 10:16,8/15/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2011,,,
RGW-004,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,7/6/2011,11:08:00,7/6/2011 11:08,8/15/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2011,,,
RGW-005,Nitrite Plus Nitrate (as N),Data Unavailable,,=,5.3,mg/L,0.1,0.1,0.1,7/6/2011,11:53:00,7/6/2011 11:53,8/15/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2011,,,
RGW-006,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.57,mg/L,0.1,0.1,0.1,7/6/2011,12:48:00,7/6/2011 12:48,8/15/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2011,,,
