Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,5.6,mg/L,,,,7/6/2010,8:00:00,7/6/2010 8:00,7/6/2010,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2010,37.779167,-121.3,
LND-002,"Nitrate, Total (as N)",Data Unavailable,,=,3.8,mg/L,,,,7/10/2010,8:00:00,7/10/2010 8:00,7/10/2010,0:00:00,,,SESP,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2010,,,
LND-002,"Nitrate, Total (as N)",Data Unavailable,,=,2.8,mg/L,,,,7/11/2010,8:00:00,7/11/2010 8:00,7/11/2010,0:00:00,,,SESP,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2010,,,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,6.1,mg/L,,,,7/13/2010,7:59:00,7/13/2010 7:59,7/13/2010,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2010,37.779167,-121.3,
LND-002,"Nitrate, Total (as N)",Data Unavailable,,=,7.7,mg/L,,,,7/16/2010,8:00:00,7/16/2010 8:00,7/16/2010,0:00:00,,,SESP,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2010,,,
LND-001,"Nitrate, Total (as N)",Data Unavailable,,=,5,mg/L,,,,7/18/2010,8:00:00,7/18/2010 8:00,7/18/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2010,,,
LND-002,"Nitrate, Total (as N)",Data Unavailable,,=,5.9,mg/L,,,,7/18/2010,8:00:00,7/18/2010 8:00,7/18/2010,0:00:00,,,SESP,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2010,,,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,4.4,mg/L,,,,7/18/2010,13:05:00,7/18/2010 13:05,7/18/2010,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2010,37.779167,-121.3,
LND-001,"Nitrate, Total (as N)",Data Unavailable,,=,1.8,mg/L,,,,7/25/2010,8:00:00,7/25/2010 8:00,7/25/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2010,,,
LND-002,"Nitrate, Total (as N)",Data Unavailable,,=,2.4,mg/L,,,,7/25/2010,8:00:00,7/25/2010 8:00,7/25/2010,0:00:00,,,SESP,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2010,,,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,4.8,mg/L,,,,7/30/2010,8:25:00,7/30/2010 8:25,7/30/2010,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2010,37.779167,-121.3,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,2.7,mg/L,,,,8/3/2010,8:00:00,8/3/2010 8:00,8/3/2010,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,37.779167,-121.3,
LND-001,"Nitrate, Total (as N)",Data Unavailable,,=,0.5,mg/L,,,,8/3/2010,10:00:00,8/3/2010 10:00,8/3/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,,,
LND-002,"Nitrate, Total (as N)",Data Unavailable,,=,3.9,mg/L,,,,8/3/2010,22:15:00,8/3/2010 22:15,8/3/2010,0:00:00,,,SESP,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,,,
LND-002,"Nitrate, Total (as N)",Data Unavailable,,=,1.2,mg/L,,,,8/8/2010,1:30:00,8/8/2010 1:30,8/8/2010,0:00:00,,,SESP,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,,,
LND-001,"Nitrate, Total (as N)",Data Unavailable,,=,0.8,mg/L,,,,8/8/2010,8:35:00,8/8/2010 8:35,8/8/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,2.5,mg/L,,,,8/11/2010,7:59:00,8/11/2010 7:59,8/11/2010,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,37.779167,-121.3,
LND-002,"Nitrate, Total (as N)",Data Unavailable,,=,2.5,mg/L,,,,8/15/2010,4:30:00,8/15/2010 4:30,8/15/2010,0:00:00,,,SESP,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,,,
LND-001,"Nitrate, Total (as N)",Data Unavailable,,=,1.4,mg/L,,,,8/15/2010,9:20:00,8/15/2010 9:20,8/15/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,,,
LND-001,"Nitrate, Total (as N)",Data Unavailable,,=,2.3,mg/L,,,,8/22/2010,1:15:00,8/22/2010 1:15,8/22/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,,,
LND-002,"Nitrate, Total (as N)",Data Unavailable,,=,0.2,mg/L,,,,8/22/2010,1:15:00,8/22/2010 1:15,8/22/2010,0:00:00,,,SESP,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,2.6,mg/L,,,,8/25/2010,13:05:00,8/25/2010 13:05,8/25/2010,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,37.779167,-121.3,
LND-002,"Nitrate, Total (as N)",Data Unavailable,,=,3.2,mg/L,,,,8/29/2010,0:05:00,8/29/2010 0:05,8/29/2010,0:00:00,,,SESP,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,,,
LND-001,"Nitrate, Total (as N)",Data Unavailable,,=,0.9,mg/L,,,,8/29/2010,9:40:00,8/29/2010 9:40,8/29/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,2.3,mg/L,,,,9/4/2010,8:36:00,9/4/2010 8:36,9/4/2010,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,37.779167,-121.3,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,2.3,mg/L,,,,9/7/2010,8:00:00,9/7/2010 8:00,9/7/2010,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,37.779167,-121.3,
LND-002,"Nitrate, Total (as N)",Data Unavailable,,=,0.08,mg/L,,,,9/8/2010,0:30:00,9/8/2010 0:30,9/8/2010,0:00:00,,,SESP,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,,,
LND-001,"Nitrate, Total (as N)",Data Unavailable,,=,0.69,mg/L,,,,9/8/2010,5:30:00,9/8/2010 5:30,9/8/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,,,
LND-001,"Nitrate, Total (as N)",Data Unavailable,,=,2,mg/L,,,,9/12/2010,0:15:00,9/12/2010 0:15,9/12/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,,,
LND-002,"Nitrate, Total (as N)",Data Unavailable,,=,2.1,mg/L,,,,9/12/2010,12:30:00,9/12/2010 12:30,9/12/2010,0:00:00,,,SESP,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,3.2,mg/L,,,,9/15/2010,8:20:00,9/15/2010 8:20,9/15/2010,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,37.779167,-121.3,
LND-002,"Nitrate, Total (as N)",Data Unavailable,,ND,,mg/L,0.025,,,9/19/2010,0:07:00,9/19/2010 0:07,9/19/2010,0:00:00,,,SESP,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,,,
LND-001,"Nitrate, Total (as N)",Data Unavailable,,=,0.52,mg/L,,,,9/19/2010,10:00:00,9/19/2010 10:00,9/19/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,6.8,mg/L,,,,9/21/2010,7:45:00,9/21/2010 7:45,9/21/2010,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,37.779167,-121.3,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,3.1,mg/L,,,,9/28/2010,8:01:00,9/28/2010 8:01,9/28/2010,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,37.779167,-121.3,
LND-001,"Nitrate, Total (as N)",Data Unavailable,,=,0.79,mg/L,,,,9/29/2010,10:50:00,9/29/2010 10:50,9/29/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,,,
LND-002,"Nitrate, Total (as N)",Data Unavailable,,=,3.5,mg/L,,,,9/29/2010,17:30:00,9/29/2010 17:30,9/29/2010,0:00:00,,,SESP,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,,,
LND-001,"Nitrate, Total (as N)",Data Unavailable,,=,1.7,mg/L,,,,10/3/2010,0:14:00,10/3/2010 0:14,10/3/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  October 2010,,,
LND-002,"Nitrate, Total (as N)",Data Unavailable,,=,0.1,mg/L,,,,10/3/2010,19:50:00,10/3/2010 19:50,10/3/2010,0:00:00,,,SESP,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  October 2010,,,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,2,mg/L,,,,10/5/2010,11:20:00,10/5/2010 11:20,10/5/2010,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  October 2010,37.779167,-121.3,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,2.3,mg/L,,,,10/12/2010,7:55:00,10/12/2010 7:55,10/12/2010,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  October 2010,37.779167,-121.3,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,3.3,mg/L,,,,10/19/2010,8:10:00,10/19/2010 8:10,10/19/2010,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  October 2010,37.779167,-121.3,
LND-001,"Nitrate, Total (as N)",Data Unavailable,,=,0.06,mg/L,,,,10/20/2010,12:50:00,10/20/2010 12:50,10/20/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  October 2010,,,
LND-002,"Nitrate, Total (as N)",Data Unavailable,,=,9,mg/L,,,,10/22/2010,2:40:00,10/22/2010 2:40,10/22/2010,0:00:00,,,SESP,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  October 2010,,,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,2.8,mg/L,,,,10/26/2010,7:46:00,10/26/2010 7:46,10/26/2010,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  October 2010,37.779167,-121.3,
