Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,10.7,mg/L,,,,7/18/2010,8:00:00,7/18/2010 8:00,7/18/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2010,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,8,mg/L,,,,7/25/2010,8:00:00,7/25/2010 8:00,7/25/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2010,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,4.3,mg/L,,,,8/3/2010,10:00:00,8/3/2010 10:00,8/3/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,3.1,mg/L,,,,8/8/2010,8:35:00,8/8/2010 8:35,8/8/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,6.3,mg/L,,,,8/15/2010,9:20:00,8/15/2010 9:20,8/15/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,9.4,mg/L,,,,8/22/2010,1:15:00,8/22/2010 1:15,8/22/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,8,mg/L,,,,8/29/2010,9:40:00,8/29/2010 9:40,8/29/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2010,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,5.8,mg/L,,,,9/8/2010,5:30:00,9/8/2010 5:30,9/8/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,8.6,mg/L,,,,9/12/2010,0:15:00,9/12/2010 0:15,9/12/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,7.7,mg/L,,,,9/19/2010,10:00:00,9/19/2010 10:00,9/19/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,6.7,mg/L,,,,9/29/2010,10:50:00,9/29/2010 10:50,9/29/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  September 2010,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,10.96,mg/L,,,,10/3/2010,0:14:00,10/3/2010 0:14,10/3/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  October 2010,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,17.3,mg/L,,,,10/20/2010,12:50:00,10/20/2010 12:50,10/20/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  October 2010,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,26.37,mg/L,,,,10/28/2010,12:40:00,10/28/2010 12:40,10/28/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  October 2010,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,25.07,mg/L,,,,10/31/2010,10:45:00,10/31/2010 10:45,10/31/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  October 2010,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,19.1,mg/L,,,,11/10/2010,10:15:00,11/10/2010 10:15,11/10/2010,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  November 2010,,,
