Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
EFF-001,"Ammonia, Total (as N)",,Daily Discharge,=,75,lb/day,,,,8/1/2010,6:45:00,8/1/2010 6:45,8/1/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,=,1.1,mg/L,,,,8/1/2010,6:45:00,8/1/2010 6:45,8/1/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,=,1.18,mg/L,,,,8/2/2010,7:15:00,8/2/2010 7:15,8/2/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Ammonia, Total (as N)",,Daily Discharge,=,78.8,lb/day,,,,8/2/2010,7:15:00,8/2/2010 7:15,8/2/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Ammonia, Total (as N)",,Daily Discharge,=,66.3,lb/day,,,,8/3/2010,6:48:00,8/3/2010 6:48,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,DNQ,0.963,mg/L,0.17,1,,8/3/2010,6:48:00,8/3/2010 6:48,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
RSW-005,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,ND,,mg/L,0.17,,,8/3/2010,8:13:00,8/3/2010 8:13,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.801,121.437,Old River
RSW-006,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,ND,,mg/L,0.17,,,8/3/2010,8:37:00,8/3/2010 8:37,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.82,121.4428,Old River
RSW-003,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,ND,,mg/L,0.17,,,8/3/2010,8:48:00,8/3/2010 8:48,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8053,121.4025,Old River
RSW-002,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,ND,,mg/L,0.17,,,8/3/2010,8:58:00,8/3/2010 8:58,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8057,121.3992,Old River
RSW-001,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,ND,,mg/L,0.17,,,8/3/2010,9:09:00,8/3/2010 9:09,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8218,121.3735,Old River
EFF-001,"Ammonia, Total (as N)",Standard Method (19th) 4500-NH: Nitrogen (Ammonia),,DNQ,0.947,mg/L,0.17,1,,8/4/2010,7:02:00,8/4/2010 7:02,8/4/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
