Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
INF-002,Flow,,Daily Average (Mean),=,0.695,MGD,,,,8/1/2010,9:30:00,8/1/2010 9:30,8/1/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,Flow,,Daily Average (Mean),=,8.17,MGD,,,,8/1/2010,22:00:00,8/1/2010 22:00,8/1/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
INF-001,Flow,,Daily Average (Mean),=,7.69,MGD,,,,8/1/2010,22:00:00,8/1/2010 22:00,8/1/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
INF-002,Flow,,Daily Average (Mean),=,0.683,MGD,,,,8/2/2010,9:00:00,8/2/2010 9:00,8/2/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,Flow,,Daily Average (Mean),=,8.01,MGD,,,,8/2/2010,22:15:00,8/2/2010 22:15,8/2/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
INF-001,Flow,,Daily Average (Mean),=,7.4,MGD,,,,8/2/2010,22:15:00,8/2/2010 22:15,8/2/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
INF-002,Flow,,Daily Average (Mean),=,0.643,MGD,,,,8/3/2010,11:30:00,8/3/2010 11:30,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,Flow,,Daily Average (Mean),=,8.26,MGD,,,,8/3/2010,22:15:00,8/3/2010 22:15,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
INF-001,Flow,,Daily Average (Mean),=,7.69,MGD,,,,8/3/2010,22:15:00,8/3/2010 22:15,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
INF-002,Flow,,Daily Average (Mean),=,0.47,MGD,,,,8/4/2010,9:30:00,8/4/2010 9:30,8/4/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,Flow,,Daily Average (Mean),=,8.06,MGD,,,,8/4/2010,21:00:00,8/4/2010 21:00,8/4/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
INF-001,Flow,,Daily Average (Mean),=,7.56,MGD,,,,8/4/2010,21:00:00,8/4/2010 21:00,8/4/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
INF-002,Flow,,Daily Average (Mean),=,0.391,MGD,,,,8/5/2010,11:30:00,8/5/2010 11:30,8/5/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,Flow,,Daily Average (Mean),=,8.34,MGD,,,,8/5/2010,21:00:00,8/5/2010 21:00,8/5/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
INF-001,Flow,,Daily Average (Mean),=,7.9,MGD,,,,8/5/2010,21:00:00,8/5/2010 21:00,8/5/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
INF-002,Flow,,Daily Average (Mean),=,0.455,MGD,,,,8/6/2010,11:00:00,8/6/2010 11:00,8/6/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,Flow,,Daily Average (Mean),=,7.91,MGD,,,,8/6/2010,20:30:00,8/6/2010 20:30,8/6/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
INF-001,Flow,,Daily Average (Mean),=,7.39,MGD,,,,8/6/2010,20:30:00,8/6/2010 20:30,8/6/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
