Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
EFF-001,"Nitrate, Total (as N)",,Monthly Average (Mean),=,6.18,mg/L,,,,4/15/2009,17:00:00,4/15/2009 17:00,4/15/2009,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  November 2011,,,
EFF-001,"Nitrate, Total (as N)",,Monthly Average (Mean),=,4.95,mg/L,,,,1/31/2010,17:00:00,1/31/2010 17:00,1/31/2011,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  January 2011,,,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,6.1,mg/L,,,,8/3/2010,6:48:00,8/3/2010 6:48,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,420,lb/day,,,,8/3/2010,6:48:00,8/3/2010 6:48,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
RSW-005,"Nitrate, Total (as N)",Data Unavailable,,=,1,mg/L,,,,8/3/2010,8:13:00,8/3/2010 8:13,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.801,121.437,Old River
RSW-006,"Nitrate, Total (as N)",Data Unavailable,,=,0.99,mg/L,,,,8/3/2010,8:37:00,8/3/2010 8:37,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.82,121.4428,Old River
RSW-003,"Nitrate, Total (as N)",Data Unavailable,,=,1.2,mg/L,,,,8/3/2010,8:48:00,8/3/2010 8:48,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8053,121.4025,Old River
RSW-002,"Nitrate, Total (as N)",Data Unavailable,,=,1.1,mg/L,,,,8/3/2010,8:58:00,8/3/2010 8:58,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8057,121.3992,Old River
RSW-001,"Nitrate, Total (as N)",Data Unavailable,,=,1.1,mg/L,,,,8/3/2010,9:09:00,8/3/2010 9:09,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8218,121.3735,Old River
RSW-005,"Nitrate, Total (as N)",Data Unavailable,,=,1.2,mg/L,,,,8/11/2010,0:00:00,8/11/2010 0:00,8/11/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.801,121.437,Old River
RSW-006,"Nitrate, Total (as N)",Data Unavailable,,=,1.2,mg/L,,,,8/11/2010,0:00:00,8/11/2010 0:00,8/11/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.82,121.4428,Old River
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,5.9,mg/L,,,,8/11/2010,6:46:00,8/11/2010 6:46,8/11/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,401,lb/day,,,,8/11/2010,6:46:00,8/11/2010 6:46,8/11/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
RSW-003,"Nitrate, Total (as N)",Data Unavailable,,=,1.4,mg/L,,,,8/11/2010,9:01:00,8/11/2010 9:01,8/11/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8053,121.4025,Old River
RSW-002,"Nitrate, Total (as N)",Data Unavailable,,=,1.4,mg/L,,,,8/11/2010,9:08:00,8/11/2010 9:08,8/11/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8057,121.3992,Old River
RSW-001,"Nitrate, Total (as N)",Data Unavailable,,=,1.4,mg/L,,,,8/11/2010,9:16:00,8/11/2010 9:16,8/11/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8218,121.3735,Old River
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,5.7,mg/L,,,,8/16/2010,6:40:00,8/16/2010 6:40,8/16/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,425,lb/day,,,,8/16/2010,6:40:00,8/16/2010 6:40,8/16/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
RSW-005,"Nitrate, Total (as N)",Data Unavailable,,=,1.4,mg/L,,,,8/16/2010,8:08:00,8/16/2010 8:08,8/16/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.801,121.437,Old River
RSW-006,"Nitrate, Total (as N)",Data Unavailable,,=,1.4,mg/L,,,,8/16/2010,8:32:00,8/16/2010 8:32,8/16/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.82,121.4428,Old River
RSW-003,"Nitrate, Total (as N)",Data Unavailable,,=,1.4,mg/L,,,,8/16/2010,8:44:00,8/16/2010 8:44,8/16/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8053,121.4025,Old River
RSW-002,"Nitrate, Total (as N)",Data Unavailable,,=,1.2,mg/L,,,,8/16/2010,8:51:00,8/16/2010 8:51,8/16/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8057,121.3992,Old River
RSW-001,"Nitrate, Total (as N)",Data Unavailable,,=,1.2,mg/L,,,,8/16/2010,9:07:00,8/16/2010 9:07,8/16/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8218,121.3735,Old River
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,397,lb/day,,,,8/25/2010,6:33:00,8/25/2010 6:33,8/25/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Nitrate, Total (as N)",Data Unavailable,,=,5.6,mg/L,,,,8/25/2010,6:33:00,8/25/2010 6:33,8/25/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
RSW-005,"Nitrate, Total (as N)",Data Unavailable,,=,1.3,mg/L,,,,8/25/2010,7:45:00,8/25/2010 7:45,8/25/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.801,121.437,Old River
RSW-006,"Nitrate, Total (as N)",Data Unavailable,,=,1.4,mg/L,,,,8/25/2010,8:05:00,8/25/2010 8:05,8/25/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.82,121.4428,Old River
RSW-003,"Nitrate, Total (as N)",Data Unavailable,,=,1.7,mg/L,,,,8/25/2010,8:13:00,8/25/2010 8:13,8/25/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8053,121.4025,Old River
RSW-002,"Nitrate, Total (as N)",Data Unavailable,,=,1.5,mg/L,,,,8/25/2010,8:16:00,8/25/2010 8:16,8/25/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8057,121.3992,Old River
RSW-001,"Nitrate, Total (as N)",Data Unavailable,,=,1.6,mg/L,,,,8/25/2010,8:22:00,8/25/2010 8:22,8/25/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8218,121.3735,Old River
EFF-001,"Nitrate, Total (as N)",,Monthly Average (Mean),=,5.825,mg/L,,,,8/31/2010,17:00:00,8/31/2010 17:00,8/31/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Nitrate, Total (as N)",,Monthly Average (Mean),=,411,lb/day,,,,8/31/2010,17:00:00,8/31/2010 17:00,8/31/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
RSW-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.5,mg/L,,,,9/1/2010,8:16:00,9/1/2010 8:16,9/1/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.801,121.437,Old River
RSW-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.7,mg/L,,,,9/1/2010,8:45:00,9/1/2010 8:45,9/1/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.82,121.4428,Old River
RSW-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.8,mg/L,,,,9/1/2010,8:56:00,9/1/2010 8:56,9/2/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8053,121.4025,Old River
RSW-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.6,mg/L,,,,9/1/2010,9:00:00,9/1/2010 9:00,9/2/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8057,121.3992,Old River
RSW-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.5,mg/L,,,,9/1/2010,9:08:00,9/1/2010 9:08,9/2/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8218,121.3735,Old River
EFF-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,5.4,mg/L,,,,9/1/2010,10:06:00,9/1/2010 10:06,9/2/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,399,lb/day,,,,9/1/2010,10:06:00,9/1/2010 10:06,9/2/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/6/2010,6:35:00,9/6/2010 6:35,9/6/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/7/2010,6:40:00,9/7/2010 6:40,9/7/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/8/2010,6:50:00,9/8/2010 6:50,9/8/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrate, Total (as N)",,Daily Discharge,=,1,lb/day,,,,9/9/2010,6:45:00,9/9/2010 6:45,9/9/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
RSW-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.7,mg/L,,,,9/9/2010,9:24:00,9/9/2010 9:24,9/9/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.801,121.437,Old River
RSW-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.9,mg/L,,,,9/9/2010,9:53:00,9/9/2010 9:53,9/9/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.82,121.4428,Old River
RSW-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,1.7,mg/L,,,,9/9/2010,10:09:00,9/9/2010 10:09,9/10/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8053,121.4025,Old River
