Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
EFF-001,"Nitrite, Total (as N)",,Monthly Average (Mean),=,5.62,lb/day,,,,4/15/2009,17:00:00,4/15/2009 17:00,4/15/2009,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for October 2012,,,
RSW-005,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/3/2010,8:13:00,8/3/2010 8:13,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.801,121.437,Old River
RSW-006,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/3/2010,8:37:00,8/3/2010 8:37,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.82,121.4428,Old River
RSW-003,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/3/2010,8:48:00,8/3/2010 8:48,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8053,121.4025,Old River
RSW-002,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/3/2010,8:58:00,8/3/2010 8:58,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8057,121.3992,Old River
RSW-001,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/3/2010,9:09:00,8/3/2010 9:09,8/3/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8218,121.3735,Old River
EFF-001,"Nitrite, Total (as N)",,Daily Discharge,ND,,lb/day,0.287,,,8/3/2010,10:16:00,8/3/2010 10:16,8/4/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/3/2010,10:16:00,8/3/2010 10:16,8/4/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
RSW-005,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/11/2010,0:00:00,8/11/2010 0:00,8/11/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.801,121.437,Old River
RSW-006,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/11/2010,0:00:00,8/11/2010 0:00,8/11/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.82,121.4428,Old River
RSW-003,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/11/2010,9:01:00,8/11/2010 9:01,8/11/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8053,121.4025,Old River
RSW-002,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/11/2010,9:08:00,8/11/2010 9:08,8/11/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8057,121.3992,Old River
RSW-001,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/11/2010,9:16:00,8/11/2010 9:16,8/11/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8218,121.3735,Old River
EFF-001,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/11/2010,10:12:00,8/11/2010 10:12,8/12/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Nitrite, Total (as N)",,Daily Discharge,ND,,lb/day,0.287,,,8/11/2010,10:12:00,8/11/2010 10:12,8/12/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
RSW-005,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/16/2010,8:08:00,8/16/2010 8:08,8/16/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.801,121.437,Old River
RSW-006,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/16/2010,8:32:00,8/16/2010 8:32,8/16/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.82,121.4428,Old River
RSW-003,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/16/2010,8:44:00,8/16/2010 8:44,8/16/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8053,121.4025,Old River
RSW-002,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/16/2010,8:51:00,8/16/2010 8:51,8/16/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8057,121.3992,Old River
RSW-001,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/16/2010,9:07:00,8/16/2010 9:07,8/16/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8218,121.3735,Old River
EFF-001,"Nitrite, Total (as N)",,Daily Discharge,ND,,lb/day,0.287,,,8/16/2010,9:47:00,8/16/2010 9:47,8/17/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/16/2010,9:47:00,8/16/2010 9:47,8/17/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
RSW-005,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/25/2010,7:45:00,8/25/2010 7:45,8/25/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.801,121.437,Old River
RSW-006,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/25/2010,8:05:00,8/25/2010 8:05,8/25/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.82,121.4428,Old River
RSW-003,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/25/2010,8:13:00,8/25/2010 8:13,8/25/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8053,121.4025,Old River
RSW-002,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/25/2010,8:16:00,8/25/2010 8:16,8/25/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8057,121.3992,Old River
RSW-001,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/25/2010,8:22:00,8/25/2010 8:22,8/25/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8218,121.3735,Old River
EFF-001,"Nitrite, Total (as N)",Data Unavailable,,ND,,mg/L,0.004,,,8/25/2010,9:00:00,8/25/2010 9:00,8/26/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Nitrite, Total (as N)",,Daily Discharge,ND,,lb/day,0.287,,,8/25/2010,9:00:00,8/25/2010 9:00,8/26/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Nitrite, Total (as N)",,Monthly Average (Mean),ND,,mg/L,0.004,,,8/31/2010,17:00:00,8/31/2010 17:00,8/31/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
EFF-001,"Nitrite, Total (as N)",,Monthly Average (Mean),ND,,lb/day,0.287,,,8/31/2010,17:00:00,8/31/2010 17:00,8/31/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
RSW-005,"Nitrite, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.008,,,9/1/2010,8:16:00,9/1/2010 8:16,9/1/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.801,121.437,Old River
RSW-006,"Nitrite, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.008,,,9/1/2010,8:45:00,9/1/2010 8:45,9/1/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.82,121.4428,Old River
RSW-003,"Nitrite, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.008,,,9/1/2010,8:56:00,9/1/2010 8:56,9/2/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8053,121.4025,Old River
RSW-002,"Nitrite, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.008,,,9/1/2010,9:00:00,9/1/2010 9:00,9/2/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8057,121.3992,Old River
RSW-001,"Nitrite, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.008,,,9/1/2010,9:08:00,9/1/2010 9:08,9/2/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8218,121.3735,Old River
EFF-001,"Nitrite, Total (as N)",,Daily Discharge,ND,,lb/day,1.48,,,9/1/2010,10:06:00,9/1/2010 10:06,9/2/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrite, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.02,,,9/1/2010,10:06:00,9/1/2010 10:06,9/2/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
RSW-005,"Nitrite, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.008,,,9/9/2010,9:24:00,9/9/2010 9:24,9/9/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.801,121.437,Old River
RSW-006,"Nitrite, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.008,,,9/9/2010,9:53:00,9/9/2010 9:53,9/9/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.82,121.4428,Old River
RSW-003,"Nitrite, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.008,,,9/9/2010,10:09:00,9/9/2010 10:09,9/10/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8053,121.4025,Old River
RSW-002,"Nitrite, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.008,,,9/9/2010,10:23:00,9/9/2010 10:23,9/10/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8057,121.3992,Old River
RSW-001,"Nitrite, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.008,,,9/9/2010,10:40:00,9/9/2010 10:40,9/10/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8218,121.3735,Old River
EFF-001,"Nitrite, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.02,,,9/9/2010,13:01:00,9/9/2010 13:01,9/10/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
EFF-001,"Nitrite, Total (as N)",,Daily Discharge,ND,,lb/day,1.39,,,9/9/2010,13:01:00,9/9/2010 13:01,9/10/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
RSW-005,"Nitrite, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.004,,,9/14/2010,7:55:00,9/14/2010 7:55,9/14/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.801,121.437,Old River
RSW-006,"Nitrite, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.004,,,9/14/2010,8:14:00,9/14/2010 8:14,9/14/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.82,121.4428,Old River
RSW-003,"Nitrite, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.004,,,9/14/2010,8:22:00,9/14/2010 8:22,9/15/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8053,121.4025,Old River
