Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
RSW-005,"Phosphorus, Total (as P)",Data Unavailable,,=,0.2,mg/L,,,,8/3/2010,8:13:00,8/3/2010 8:13,8/6/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.801,121.437,Old River
RSW-006,"Phosphorus, Total (as P)",Data Unavailable,,=,0.13,mg/L,,,,8/3/2010,8:37:00,8/3/2010 8:37,8/6/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.82,121.4428,Old River
RSW-003,"Phosphorus, Total (as P)",Data Unavailable,,=,0.26,mg/L,,,,8/3/2010,8:48:00,8/3/2010 8:48,8/6/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8053,121.4025,Old River
RSW-002,"Phosphorus, Total (as P)",Data Unavailable,,=,0.082,mg/L,,,,8/3/2010,8:58:00,8/3/2010 8:58,8/6/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8057,121.3992,Old River
RSW-001,"Phosphorus, Total (as P)",Data Unavailable,,=,0.077,mg/L,,,,8/3/2010,9:09:00,8/3/2010 9:09,8/6/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,37.8218,121.3735,Old River
EFF-001,"Phosphorus, Total (as P)",Data Unavailable,,=,3.4,mg/L,,,,8/3/2010,10:16:00,8/3/2010 10:16,8/6/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  August 2010,,,
RSW-005,"Phosphorus, Total (as P)",Data Unavailable,,=,0.19,mg/L,,,,9/9/2010,9:24:00,9/9/2010 9:24,9/14/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.801,121.437,Old River
RSW-006,"Phosphorus, Total (as P)",Data Unavailable,,=,0.18,mg/L,,,,9/9/2010,9:53:00,9/9/2010 9:53,9/14/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.82,121.4428,Old River
RSW-003,"Phosphorus, Total (as P)",Data Unavailable,,=,0.14,mg/L,,,,9/9/2010,10:09:00,9/9/2010 10:09,9/14/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8053,121.4025,Old River
RSW-002,"Phosphorus, Total (as P)",Data Unavailable,,=,0.14,mg/L,,,,9/9/2010,10:23:00,9/9/2010 10:23,9/14/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8057,121.3992,Old River
RSW-001,"Phosphorus, Total (as P)",Data Unavailable,,=,0.14,mg/L,,,,9/9/2010,10:40:00,9/9/2010 10:40,9/14/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,37.8218,121.3735,Old River
EFF-001,"Phosphorus, Total (as P)",Data Unavailable,,=,3.2,mg/L,,,,9/9/2010,13:01:00,9/9/2010 13:01,9/14/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  September 2010,,,
RSW-005,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.099,mg/L,,,,10/26/2010,8:57:00,10/26/2010 8:57,10/29/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  October 2010,37.801,121.437,Old River
RSW-006,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.066,mg/L,,,,10/26/2010,9:31:00,10/26/2010 9:31,10/29/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  October 2010,37.82,121.4428,Old River
RSW-003,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.086,mg/L,,,,10/26/2010,9:51:00,10/26/2010 9:51,10/29/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  October 2010,37.8053,121.4025,Old River
RSW-002,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.091,mg/L,,,,10/26/2010,9:58:00,10/26/2010 9:58,10/29/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  October 2010,37.8057,121.3992,Old River
RSW-001,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.066,mg/L,,,,10/26/2010,10:09:00,10/26/2010 10:09,10/29/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  October 2010,37.8218,121.3735,Old River
EFF-001,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.37,mg/L,,,,10/26/2010,12:15:00,10/26/2010 12:15,10/29/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  October 2010,,,
RSW-005,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.14,mg/L,,,,11/2/2010,10:08:00,11/2/2010 10:08,11/5/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,37.801,121.437,Old River
RSW-006,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.13,mg/L,,,,11/2/2010,10:40:00,11/2/2010 10:40,11/5/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,37.82,121.4428,Old River
RSW-003,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.14,mg/L,,,,11/2/2010,10:58:00,11/2/2010 10:58,11/5/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,37.8053,121.4025,Old River
RSW-002,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.13,mg/L,,,,11/2/2010,11:09:00,11/2/2010 11:09,11/5/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,37.8057,121.3992,Old River
RSW-001,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.12,mg/L,,,,11/2/2010,11:19:00,11/2/2010 11:19,11/5/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,37.8218,121.3735,Old River
EFF-001,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,1.6,mg/L,,,,11/2/2010,13:30:00,11/2/2010 13:30,11/5/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
RSW-005,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.092,mg/L,,,,12/7/2010,8:45:00,12/7/2010 8:45,12/10/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  December 2010,37.801,121.437,Old River
RSW-006,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.077,mg/L,,,,12/7/2010,9:11:00,12/7/2010 9:11,12/10/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  December 2010,37.82,121.4428,Old River
RSW-003,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.095,mg/L,,,,12/7/2010,9:27:00,12/7/2010 9:27,12/10/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  December 2010,37.8053,121.4025,Old River
RSW-002,"Phosphorus, Total (as P)","Phosphorus, All Forms, (Colorimetric, Automated, Ascorbic Acid )",,=,0.077,mg/L,,,,12/7/2010,9:33:00,12/7/2010 9:33,12/10/2010,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for  December 2010,37.8057,121.3992,Old River
