Date,Flow,NH3,NO3,TP
1/1/2006,10.18,13.2,NA,NA
1/2/2006,12.03,15,NA,NA
1/3/2006,11.15,12.6,NA,NA
1/4/2006,10.06,14.4,NA,NA
1/5/2006,9.93,15,NA,NA
1/6/2006,11.15,15.1,NA,NA
1/7/2006,11.43,16.2,NA,NA
1/8/2006,11.07,15.3,NA,NA
1/9/2006,10.55,14.9,NA,NA
1/10/2006,10.42,14.6,NA,NA
1/11/2006,10.96,14,NA,NA
1/12/2006,9.81,14,NA,NA
1/13/2006,10.34,15,NA,NA
1/14/2006,11.32,14.8,NA,NA
1/15/2006,10.6,14.7,NA,NA
1/16/2006,10.75,15.6,NA,NA
1/17/2006,10.09,17.3,NA,NA
1/18/2006,10.79,20.3,NA,NA
1/19/2006,10.66,16.6,NA,NA
1/20/2006,10.43,14.8,NA,NA
1/21/2006,10.59,14.5,NA,NA
1/22/2006,10.89,14.3,NA,NA
1/23/2006,10.31,20.1,NA,NA
1/24/2006,10.3,15.8,NA,NA
1/25/2006,10.23,15.1,NA,NA
1/26/2006,9.48,16,NA,NA
1/27/2006,10.84,15.5,NA,NA
1/28/2006,12.31,13.3,NA,NA
1/29/2006,13.64,14,NA,NA
1/30/2006,12.67,18.2,NA,NA
1/31/2006,12.64,18.1,NA,NA
2/1/2006,12.63,15.9,NA,NA
2/2/2006,11.96,14,NA,NA
2/3/2006,12.74,15.2,NA,NA
2/4/2006,11.85,14.6,NA,NA
2/5/2006,11.05,13.6,NA,NA
2/6/2006,10.38,14.7,NA,NA
2/7/2006,11.64,14.3,NA,NA
2/8/2006,11.58,14.7,NA,NA
2/9/2006,10.82,17.3,NA,NA
2/10/2006,10.61,15.9,NA,NA
2/11/2006,11.66,16.9,NA,NA
2/12/2006,11.78,17.6,NA,NA
2/13/2006,11.79,17,NA,NA
2/14/2006,11.16,17.5,NA,NA
2/15/2006,11.74,16.8,NA,NA
2/16/2006,11.88,16.7,NA,NA
2/17/2006,11.19,16.9,NA,NA
2/18/2006,10.34,16.3,NA,NA
2/19/2006,11.47,16.7,NA,NA
2/20/2006,11.94,17.6,NA,NA
2/21/2006,11.35,16.6,NA,NA
2/22/2006,11.77,17.3,NA,NA
2/23/2006,11.63,18.1,NA,NA
2/24/2006,11.82,17.9,NA,NA
2/25/2006,11.74,19.8,NA,NA
2/26/2006,11.75,17.7,NA,NA
2/27/2006,11.83,18.4,NA,NA
2/28/2006,11.64,15,NA,NA
3/1/2006,11.11,15.8,NA,NA
3/2/2006,12.41,17.4,NA,NA
3/3/2006,11.22,18.4,NA,NA
3/4/2006,11.51,18.3,NA,NA
3/5/2006,11.72,18.3,NA,NA
3/6/2006,12.12,17,NA,NA
3/7/2006,12.05,17.3,NA,NA
3/8/2006,11.28,18.4,NA,NA
3/9/2006,11.77,18,NA,NA
3/10/2006,11.89,18.4,NA,NA
3/11/2006,11.59,18.8,NA,NA
