Subembayment,Facility,Year,Quart,Date,Flow  (MGD),Peak Flow (MGD),TN (mg/L),TDN (mg/L),TKN (mg/L),SKN (mg/L),NO3 (mg/L),NO2 (mg/L),Total NH3 (mg/L),Urea* (mg/L),TP (mg/L),TDP (mg/L),DRP** (mg/L),TSS (mg/L),TRP (mg/L)
Napa River,City of American Canyon,Y 1,Q3 2012,7/10/2012,1.27,1.49,9.735,9.835,1.2,1.3,8.5,0.035,0.25,,5.5,5.4,5,2.4,
Napa River,City of American Canyon,Y 1,Q4 2012,11/8/2012,1.34,2.12,11.464,11.264,1.4,1.2,10,0.064,0.42,,5.6,5.4,6.1,2.4,
Napa River,City of American Canyon,Y 1,Q4 2012,12/7/2012,2.58,3.01,11.002,11.102,1,1.1,10,0.002,0.32,,3.4,3.2,3.8,2.4,
Napa River,City of American Canyon,Y 1,Q1 2013,1/9/2013,1.7,2.07,11.346,11.246,1.3,1.2,10,0.046,0.1,,3.8,3.9,0.31,2.4,
Napa River,City of American Canyon,Y 1,Q1 2013,2/8/2013,1.539,2.01,10.243,10.343,1.1,1.2,9.1,0.043,0.24,,4.2,4.3,4.2,2.4,
Napa River,City of American Canyon,Y 1,Q1 2013,3/7/2013,1.585,2.02,10.751,10.671,0.91,0.83,9.8,0.041,0.25,,4.4,3.1,4.1,2.4,
Napa River,City of American Canyon,Y 1,Q2 2013,4/9/2013,1.693,2.016,8.634,8.334,1.5,1.2,7.1,0.034,0.32,,3,3,3.1,2.4,
Napa River,City of American Canyon,Y 2,Q3 2013,8/6/2013,1.253,1.483,23.52,23.51,0.45,0.44,23,0.07,0.33,,10,10,11,2.4,
Napa River,City of American Canyon,Y 2,Q4 2013,11/14/2013,1.203,1.605,16.63,16.36,0.53,0.26,16,0.1,1.08,,3.3,3.2,2.9,2.4,
Napa River,City of American Canyon,Y 2,Q4 2013,12/4/2013,1.41,1.637,15.55,15.42,0.44,0.31,15,0.11,0.96,,5.8,5.6,5.4,2.4,
Napa River,City of American Canyon,Y 2,Q1 2014,1/7/2014,1.058,1.606,15.36,14.36,3.2,2.2,12,0.16,3.95,,7.2,7,7,2.4,
Napa River,City of American Canyon,Y 2,Q1 2014,2/5/2014,1.455,2.701,12.262,13.182,0.18,1.1,12,0.082,0.92,,3.7,3.7,3.4,2.4,
Napa River,City of American Canyon,Y 2,Q1 2014,3/6/2014,1.976,2.592,10.607,11.477,0.53,1.4,10,0.077,0.77,,2.5,2.5,2.4,2.4,
Napa River,City of American Canyon,Y 2,Q2 2014,4/9/2014,1.969,2.515,13.8,13.45,0.7,0.35,13,0.1,0.75,,3,2.9,2.9,2.4,
Napa River,City of American Canyon,Y 3,Q3 2014,7/11/2014,1.08,,20,,1.6,,19,,0.36,,5.1,,4.5,,
Napa River,City of American Canyon,Y 3,Q3 2014,8/7/2014,1.08,,23,,1.8,,21,,0.43,,0.4,,5.9,,
Napa River,City of American Canyon,Y 3,Q3 2014,9/10/2014,1.41,,16,,2.4,,13,,0.85,,0.4,,3.3,,
Napa River,City of American Canyon,Y 3,Q4 2014,10/16/2014,1.42,,17,,1.7,,16,,0.43,,4.9,,5.1,,
Napa River,City of American Canyon,Y 3,Q4 2014,11/4/2014,1.18,,19,,1.6,,17,,0.18,,5.5,,2.4,,
Napa River,City of American Canyon,Y 3,Q4 2014,12/10/2014,1.6,,11,,2.6,,8,,0.74,,4,,4.4,,
Napa River,City of American Canyon,Y 3,Q1 2015,1/14/2015,1.78,,9,,2.2,,6,,0,,4.1,,3.9,,
Napa River,City of American Canyon,Y 3,Q1 2015,2/5/2015,1.62,,8,,2.8,,5,,2.9,,5,,4.7,,
Napa River,City of American Canyon,Y 3,Q1 2015,3/4/2015,1.57,,8,,1.8,,7,,0,,6.4,,6.4,,
Carquinez Strait,City of Benicia WWTP,Y 1,Q3 2012,7/12/2012,1.99,3.32,24.28,23.28,19,18,4.8,0.48,20,,3.3,2.9,2.9,7,
Carquinez Strait,City of Benicia WWTP,Y 1,Q3 2012,8/9/2012,1.99,6.27,29.8,28.8,24,23,1.4,4.4,29,,3.7,2.8,2.6,4,
Carquinez Strait,City of Benicia WWTP,Y 1,Q3 2012,9/9/2012,2.13,3.77,29.37,28.37,25,24,0.17,4.2,28,,4.7,4.4,4.2,5,
Carquinez Strait,City of Benicia WWTP,Y 1,Q4 2012,10/4/2012,2.05,3.71,32.92,33.92,32,33,0.02,0.9,33,,4.2,4.2,3.1,7,
Carquinez Strait,City of Benicia WWTP,Y 1,Q4 2012,11/5/2012,2.05,4,22.52,21.52,19,18,0.02,3.5,24,,2.7,2.6,2.3,6,
Carquinez Strait,City of Benicia WWTP,Y 1,Q4 2012,11/30/2012,4.34,11.45,25.591,24.591,23,22,0.091,2.5,27,,3,2.5,2.3,7,
Carquinez Strait,City of Benicia WWTP,Y 1,Q4 2012,12/13/2012,2.47,4.38,20.9,20.9,15,15,0.1,5.8,14,,2.5,2.4,2.2,4,
Carquinez Strait,City of Benicia WWTP,Y 1,Q1 2013,1/9/2013,2.52,3.96,24.29,23.29,21,20,0.29,3,18,,2.1,2,2,5,
Carquinez Strait,City of Benicia WWTP,Y 1,Q1 2013,2/8/2013,2.15,4.09,27.3,24.3,21,18,4.5,1.8,18,,4.8,4.3,4.2,6,
Carquinez Strait,City of Benicia WWTP,Y 1,Q1 2013,3/20/2013,2.14,4,31.07,30.07,27,26,0.27,3.8,25,,2.6,2.3,2,9,
Carquinez Strait,City of Benicia WWTP,Y 1,Q1 2013,3/29/2013,2.06,4.1,30.58,29.58,26,25,0.48,4.1,24,,2.9,2.5,2.4,14,
Carquinez Strait,City of Benicia WWTP,Y 1,Q2 2013,4/2/2013,1.79,5.3,22.98,21.98,19,18,0.58,3.4,18,,1.6,1.4,1.2,10,
Carquinez Strait,City of Benicia WWTP,Y 1,Q2 2013,5/3/2013,2.05,5.04,27.49,26.49,22,21,5,0.49,23,,3.2,0.59,3.7,6,
Carquinez Strait,City of Benicia WWTP,Y 1,Q2 2013,6/6/2013,1.54,3.91,21.6,16.6,15,10,1.3,5.3,14,,3,2.6,2.5,4,
