Date,Month,Year,pH,Flow,Temp,Flow_gal,TP,TSS,NH3,TKN,NO2,NO3
2/5/1975,2,1975,,31,,30900000,21.4,,22,,,
2/11/1975,2,1975,,,,0,,,19,,,
2/18/1975,2,1975,,,,0,,,21,,,
2/25/1975,2,1975,,28,,27900000,47,,22.6,,,
3/3/1975,3,1975,,26,,25800000,,,28.5,,,
3/11/1975,3,1975,,33,,33100000,,,18.3,,,
3/25/1975,3,1975,,56,,55900000,,,14.8,,,
4/1/1975,4,1975,,30,,30000000,,,19.5,,,
4/8/1975,4,1975,,41,,40500000,18.4,,15.2,,,
4/16/1975,4,1975,,30,,29500000,,,23.4,,,
4/22/1975,4,1975,,29,,28900000,20.5,,20.4,,,
4/29/1975,4,1975,,28,,27700000,,,23,,,
5/6/1975,5,1975,,26,,25900000,18.7,,20.8,,,
5/13/1975,5,1975,,27,,26800000,,,21.3,,,
5/20/1975,5,1975,,26,,26300000,23.9,,14.8,,,
5/27/1975,5,1975,,29,,28600000,,,20.6,,,
6/3/1975,6,1975,,28,,27700000,,,25.5,,,
6/10/1975,6,1975,,26,,25700000,20.8,,27.3,,,
6/17/1975,6,1975,,28,,27800000,,,25.8,,,
6/24/1975,6,1975,,27,,26900000,26.9,,25.2,,,
6/30/1975,6,1975,,26,,26400000,,,26,,,
7/7/1975,7,1975,,26,,26100000,36.4,,25.2,,,
7/14/1975,7,1975,,26,,25600000,,,22.2,,,
7/21/1975,7,1975,,23,,23400000,,,21.5,,,
7/28/1975,7,1975,,26,,26300000,22.6,,23.5,,,
10/7/1975,10,1975,,23,,22700000,,,27.3,,,
10/14/1975,10,1975,,26,,26300000,,,22.6,,,
10/21/1975,10,1975,,26,,25600000,,,23,,,
10/28/1975,10,1975,,27,,27100000,,,20.8,,,
11/4/1975,11,1975,,26,,25600000,,,26,,,
11/11/1975,11,1975,,24,,23900000,,,23,,,
11/18/1975,11,1975,,24,,24300000,,,25.6,,,
11/25/1975,11,1975,,25,,24500000,,,26,,,
12/9/1975,12,1975,,23,,22600000,,,29,,,
12/16/1975,12,1975,,23,,23300000,,,25.7,,,
12/23/1975,12,1975,,25,,24700000,,,,,,
12/31/1975,12,1975,,26,,26000000,,,22.2,,,
1/6/1976,1,1976,,24,,23500000,,,,,,
1/13/1976,1,1976,,23,,22600000,,,25.6,,,
1/20/1976,1,1976,,24,,24200000,,,28.4,,,
1/27/1976,1,1976,,23,,23300000,,,25.7,,,
2/3/1976,2,1976,,23,,23400000,,,24,,,
2/10/1976,2,1976,,26,,25700000,,,25.4,,,
2/17/1976,2,1976,,26,,26300000,,,24.4,,,
2/24/1976,2,1976,,24,,24100000,,,33,,,
3/2/1976,3,1976,,30,,30200000,,,20.5,,,
3/9/1976,3,1976,,26,,26000000,,,26.9,,,
3/16/1976,3,1976,,23,,23300000,,,31.3,,,
3/23/1976,3,1976,,26,,25800000,,,22.4,,,
3/30/1976,3,1976,,23,,22900000,,,28.5,,,
4/6/1976,4,1976,,23,,23200000,,,26.5,,,
4/13/1976,4,1976,,23,,23400000,,,24,,,
4/20/1976,4,1976,,24,,24200000,,,25.5,,,
4/27/1976,4,1976,,24,,24000000,,,23,,,
5/4/1976,5,1976,,25,,25400000,,,,,,
5/11/1976,5,1976,,23,,23000000,,,,,,
5/18/1976,5,1976,,23,,23000000,,,24,,,
5/25/1976,5,1976,,25,,25100000,,,26.8,,,
6/1/1976,6,1976,,24,,24000000,,,23.4,,,
6/8/1976,6,1976,,24,,23500000,,,26.3,,,
6/15/1976,6,1976,,23,,23200000,,,25.8,,,
6/22/1976,6,1976,,24,,24200000,,,26.8,,,
6/29/1976,6,1976,,24,,23500000,,,25.6,,,
7/6/1976,7,1976,,25,,25000000,,,29,,,
7/13/1976,7,1976,,26,,26100000,,,25.8,,,
7/20/1976,7,1976,,26,,25500000,,,29,,,
7/27/1976,7,1976,,24,,24100000,,,26.8,,,
8/3/1976,8,1976,,22,,22000000,,,25.8,,,
8/10/1976,8,1976,,22,,21600000,,,27,,,
8/17/1976,8,1976,,22,,22200000,,,25.8,,,
8/24/1976,8,1976,,23,,22900000,,,30.7,,,
8/31/1976,8,1976,,24,,23800000,,,28.3,,,
9/7/1976,9,1976,,25,,24500000,,,28.5,,,
9/14/1976,9,1976,,26,,26200000,,,27,,,
9/21/1976,9,1976,,27,,27200000,,,28,,,
9/28/1976,9,1976,,27,,26600000,,,26.8,,,
10/5/1976,10,1976,,24,,24400000,,,30,,,
10/12/1976,10,1976,,25,,24700000,,,28.6,,,
10/19/1976,10,1976,,26,,26100000,,,27,,,
10/26/1976,10,1976,,26,,26100000,,,26.5,,,
11/2/1976,11,1976,,24,,24000000,,,26,,,
11/9/1976,11,1976,,24,,23800000,,,27,,,
11/23/1976,11,1976,,25,,25200000,,,29,,,
12/7/1976,12,1976,,24,,23500000,,,27.5,,,
12/14/1976,12,1976,,28,,27900000,,,26.8,,,
12/21/1976,12,1976,,27,,27400000,,,32,,,
12/28/1976,12,1976,,29,,28700000,,,34.7,,,
1/4/1977,1,1977,,37,,36500000,,,22.5,,,
1/11/1977,1,1977,,28,,28300000,26.9,,,,,
1/18/1977,1,1977,,28,,27700000,,,29,,,
1/25/1977,1,1977,,28,,27500000,35.5,,36,,,
2/1/1977,2,1977,,26,,26400000,,,30,,,
2/9/1977,2,1977,,27,,27000000,,,35.3,,,
2/15/1977,2,1977,,23,,22700000,,,40,,,
2/22/1977,2,1977,,24,,24400000,,,28,,,
3/1/1977,3,1977,,22,,21800000,,,39.5,,,
3/8/1977,3,1977,,21,,20900000,,,38.5,,,
3/15/1977,3,1977,,26,,25700000,,,38,,,
3/22/1977,3,1977,,24,,23500000,,,39.5,,,
3/29/1977,3,1977,,22,,22200000,,,37.7,,,
4/5/1977,4,1977,,19,,19100000,,,40.5,,,
4/12/1977,4,1977,,20,,20000000,,,42.2,,,
4/19/1977,4,1977,,19,,19400000,,,43.5,,,
4/26/1977,4,1977,,20,,19700000,,,39.2,,,
5/3/1977,5,1977,,19,,19300000,,,38.5,,,
5/10/1977,5,1977,,19,,19400000,,,43.2,,,
5/17/1977,5,1977,,18,,17500000,,,45.3,,,
5/24/1977,5,1977,,18,,18400000,,,44.3,,,
6/8/1977,6,1977,,18,,18400000,,,42.5,,,
6/14/1977,6,1977,,18,,18200000,,,46.5,,,
6/21/1977,6,1977,,41,,40600000,,,18.6,,,
6/28/1977,6,1977,,18,,18100000,,,39,,,
7/5/1977,7,1977,,17,,17400000,,,46.2,,,
7/12/1977,7,1977,,18,,17600000,,,38.5,,,
7/19/1977,7,1977,,19,,18500000,,,45,,,
7/26/1977,7,1977,,17,,17000000,,,41.2,,,
8/2/1977,8,1977,,22,,21700000,,,42,,,
8/9/1977,8,1977,,18,,18000000,,,42.3,,,
8/16/1977,8,1977,,19,,18800000,,,44,,,
8/23/1977,8,1977,,22,,21600000,,,45,,,
8/30/1977,8,1977,,17,,17100000,,,43,,,
9/6/1977,9,1977,,18,,18200000,,,47.3,,,
9/13/1977,9,1977,,17,,17200000,,,45.2,,,
9/20/1977,9,1977,,19,,18800000,,,39,,,
9/27/1977,9,1977,,21,,20800000,,,46.5,,,
10/4/1977,10,1977,,17,,17100000,,,43,,,
10/11/1977,10,1977,,19,,19000000,,,43,,,
10/18/1977,10,1977,,20,,20000000,,,46.6,,,
10/25/1977,10,1977,,20,,20300000,,,49,,,
11/1/1977,11,1977,,20,,20000000,,,49.2,,,
11/8/1977,11,1977,,19,,19200000,,,45.8,,,
11/15/1977,11,1977,,21,,20700000,,,46.5,,,
11/22/1977,11,1977,,40,,40200000,,,33,,,
11/29/1977,11,1977,,23,,23400000,,,46.5,,,
12/6/1977,12,1977,,21,,21200000,,,43,,,
12/7/1977,12,1977,,21,,20500000,,,40,,,
12/13/1977,12,1977,,21,,21100000,,,38.8,,,
12/15/1977,12,1977,,35,,35300000,23.9,,36.7,,,
12/20/1977,12,1977,,34,,33500000,13.5,,26,,,
12/22/1977,12,1977,,32,,32100000,,,30.3,,,
12/27/1977,12,1977,,24,,24300000,,,32.3,,,
1/3/1978,1,1978,,26,,25600000,33.1,,32.2,,,
1/5/1978,1,1978,,52,,51800000,39.8,,35.8,,,
1/10/1978,1,1978,,29,,29000000,12.9,,16,,,
1/12/1978,1,1978,,31,,30800000,39.8,,23.8,,,
1/17/1978,1,1978,,74,,74300000,31.2,,11,,,
1/19/1978,1,1978,,52,,51500000,6.7,,13.7,,,
1/24/1978,1,1978,,40,,40300000,,,23,,,
1/26/1978,1,1978,,39,,38500000,18.4,,23,,,
1/31/1978,1,1978,,33,,32800000,18.4,,26.7,,,
2/2/1978,2,1978,,33,,32600000,11.9,,,,,
2/7/1978,2,1978,,54,,53800000,,,25.5,,,
2/8/1978,2,1978,,53,,53100000,13.5,,,,,
2/9/1978,2,1978,,60,,60300000,,,10.8,,,
2/14/1978,2,1978,,66,,65600000,,,14.8,,,
2/15/1978,2,1978,,55,,55100000,18.4,,,,,
2/16/1978,2,1978,,50,,49700000,,,16,,,
