Date,Month,Year,Flow,TP,NH3,NO3,NO2
1/1/1991,1,1991,10.401,,,,
2/1/1991,2,1991,10.321,,,,
3/1/1991,3,1991,10.102,,,,
4/1/1991,4,1991,9.063,,,,
5/1/1991,5,1991,8.787,,,,
6/1/1991,6,1991,8.944,,,,
7/1/1991,7,1991,9.012,,,,
8/1/1991,8,1991,9.033,,,,
9/1/1991,9,1991,9.11,,,,
10/1/1991,10,1991,9.378,,,,
11/1/1991,11,1991,9.387,,,,
12/1/1991,12,1991,9.306,,,,
1/1/1992,1,1992,9.691,10.137,30.68571429,1.278571429,0.087928571
2/1/1992,2,1992,10.038,9.176,29.1,0.964285714,0.577571429
3/1/1992,3,1992,9.584,8.104,27.61875,0.375,0.0374375
4/1/1992,4,1992,9.803,9.725,28.65,0.6,0.02225
5/1/1992,5,1992,9.951,9.637,27.1,0.514285714,0.039
6/1/1992,6,1992,10.304,10.413,26.7875,0.316875,0.040375
7/1/1992,7,1992,9.594,8.783,27.6375,0.5125,0.050875
8/1/1992,8,1992,9.586,9.026,28.2625,0.3625,0.090375
9/1/1992,9,1992,9.639,8.892,27.71428571,0.314285714,0.027857143
10/1/1992,10,1992,9.753,8.768,27.425,0.3125,0.026875
11/1/1992,11,1992,9.804,8.838,28.31428571,0.366666667,0.016
12/1/1992,12,1992,10.305,9.4,35.7,0.3,0.011
1/1/1993,1,1993,11.566,8.363,27.225,0.46875,0.01225
2/1/1993,2,1993,10.554,8.91,29.60714286,0.378571429,0.016571429
3/1/1993,3,1993,10.315,12.559,26.585,0.271111111,0.0629
4/1/1993,4,1993,9.93,22.81,26.3,0.35625,0.119625
5/1/1993,5,1993,9.903,22.81,26.3,0.35625,0.119625
6/1/1993,6,1993,10.09,20.13,24.075,0.444444444,0.198444444
7/1/1993,7,1993,9.802,10.563,24.55,0.6125,0.28725
8/1/1993,8,1993,9.85,7.44,25.993,0.445,0.0352
9/1/1993,9,1993,9.792,6.509,24.55,4.155555556,0.246444444
10/1/1993,10,1993,10.578,6.604,23.72,0.4,0.069428571
11/1/1993,11,1993,11.116,7.577,24.26666667,0.333333333,0.042333333
12/1/1993,12,1993,11.176,7.576,27.37222222,0.433333333,0.028
1/1/1994,1,1994,11.151,,,,
2/1/1994,2,1994,11.338,,,,
3/1/1994,3,1994,10.976,,,,
4/1/1994,4,1994,11.22,,,,
5/1/1994,5,1994,11.43,,,,
6/1/1994,6,1994,11.138,,,,
7/1/1994,7,1994,10.996,,,,
8/1/1994,8,1994,11.026,,,,
9/1/1994,9,1994,11.125,,,,
10/1/1994,10,1994,11.398,,,,
11/1/1994,11,1994,11.96,,,,
12/1/1994,12,1994,11.693,,,,
1/1/1995,1,1995,13.415,,,,
2/1/1995,2,1995,12.341,,,,
3/1/1995,3,1995,14.91,,,,
4/1/1995,4,1995,13.177,,,,
5/1/1995,5,1995,12.6,,,,
6/1/1995,6,1995,12.427,,,,
7/1/1995,7,1995,11.927,,,,
8/1/1995,8,1995,11.858,,,,
9/1/1995,9,1995,12.014,,,,
10/1/1995,10,1995,12.519,,,,
11/1/1995,11,1995,12.185,,,,
12/1/1995,12,1995,13.125,,,,
1/1/1996,1,1996,12.71,,,,
2/1/1996,2,1996,13.425,,,,
3/1/1996,3,1996,13.014,,,,
4/1/1996,4,1996,12.373,,,,
5/1/1996,5,1996,12.6,,,,
6/1/1996,6,1996,12.445,,,,
7/1/1996,7,1996,12.469,,,,
8/1/1996,8,1996,12.535,,,,
9/1/1996,9,1996,12.43,,,,
10/1/1996,10,1996,12.557,,,,
11/1/1996,11,1996,12.699,,,,
12/1/1996,12,1996,13.19,,,,
1/1/1997,1,1997,14.511,,,,
2/1/1997,2,1997,12.873,,,,
3/1/1997,3,1997,12.625,,,,
4/1/1997,4,1997,12.645,,,,
5/1/1997,5,1997,12.255,,,,
6/1/1997,6,1997,12.308,,,,
7/1/1997,7,1997,12.395,,,,
8/1/1997,8,1997,12.592,,,,
9/1/1997,9,1997,12.521,,,,
10/1/1997,10,1997,12.854,,,,
11/1/1997,11,1997,13.672,,,,
12/1/1997,12,1997,13.431,,,,
1/1/1998,1,1998,14.372,,,,
2/1/1998,2,1998,18.949,,,,
3/1/1998,3,1998,14.181,,,,
4/1/1998,4,1998,13.493,,,,
5/1/1998,5,1998,13.341,,,,
6/1/1998,6,1998,13.238,,,,
7/1/1998,7,1998,13.071,,,,
8/1/1998,8,1998,13.709,,,,
9/1/1998,9,1998,13.575,,,,
10/1/1998,10,1998,13.296,,,,
11/1/1998,11,1998,13.642,,,,
12/1/1998,12,1998,13.3,,,,
1/1/1999,1,1999,13.491,,,,
2/1/1999,2,1999,14.082,,,,
3/1/1999,3,1999,13.676,,,,
4/1/1999,4,1999,13.602,,,,
5/1/1999,5,1999,13.248,,,,
6/1/1999,6,1999,13.595,,,,
7/1/1999,7,1999,13.387,,,,
8/1/1999,8,1999,13.676,,,,
9/1/1999,9,1999,13.669,,,,
10/1/1999,10,1999,13.555,,,,
11/1/1999,11,1999,13.867,,,,
12/1/1999,12,1999,13.773,,,,
1/1/2000,1,2000,14.256,,,,
2/1/2000,2,2000,15.054,,,,
3/1/2000,3,2000,14.426,,,,
4/1/2000,4,2000,13.95,,,,
5/1/2000,5,2000,13.552,,,,
