Permit Title,Description,Pollutant,Date,Month,Year ,Value,Unit
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",7/11/2001,7,2001,21.7,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",7/18/2001,7,2001,20.2,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",8/1/2001,8,2001,24.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",8/15/2001,8,2001,25.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",9/5/2001,9,2001,23.8,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",9/17/2001,9,2001,22.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",10/3/2001,10,2001,23.3,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",10/16/2001,10,2001,22.2,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",11/7/2001,11,2001,25.9,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",11/26/2001,11,2001,22.6,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",12/5/2001,12,2001,25.1,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",12/19/2001,12,2001,24.3,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",1/2/2002,1,2002,13.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",1/21/2002,1,2002,31,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",2/6/2002,2,2002,30.2,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",2/20/2002,2,2002,25.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",3/6/2002,3,2002,25.2,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",3/20/2002,3,2002,27.9,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",4/10/2002,4,2002,27.9,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",4/17/2002,4,2002,32.1,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",5/2/2002,5,2002,30,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",5/16/2002,5,2002,28.8,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",5/17/2002,5,2002,30.1,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",6/6/2002,6,2002,20.2,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",6/19/2002,6,2002,10.1,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",7/3/2002,7,2002,17.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",7/9/2002,7,2002,22.8,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",7/17/2002,7,2002,26.6,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",8/7/2002,8,2002,23.5,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",8/14/2002,8,2002,23.1,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",9/4/2002,9,2002,21.2,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",9/18/2002,9,2002,18.9,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",10/8/2002,10,2002,29.8,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",10/16/2002,10,2002,26.2,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",11/5/2002,11,2002,18.2,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",11/19/2002,11,2002,20.8,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",12/4/2002,12,2002,31.3,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",12/18/2002,12,2002,25.1,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",1/8/2003,1,2003,26.6,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",1/22/2003,1,2003,34.7,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",2/5/2003,2,2003,23.7,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",2/19/2003,2,2003,30,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",3/12/2003,3,2003,23.5,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",3/19/2003,3,2003,19.6,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",4/2/2003,4,2003,33,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",4/17/2003,4,2003,24.1,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",5/7/2003,5,2003,18.1,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",5/21/2003,5,2003,14.3,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",6/11/2003,6,2003,22.7,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",6/18/2003,6,2003,25.3,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",7/2/2003,7,2003,15.8,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",7/16/2003,7,2003,13.8,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",8/6/2003,8,2003,30.2,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",8/20/2003,8,2003,20,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",9/3/2003,9,2003,23.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",9/17/2003,9,2003,25.6,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",10/1/2003,10,2003,24.6,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",10/8/2003,10,2003,24,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",11/6/2003,11,2003,22,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",11/21/2003,11,2003,22.6,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",12/3/2003,12,2003,21.9,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",12/15/2003,12,2003,21.6,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",1/13/2004,1,2004,22.8,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",1/21/2004,1,2004,26,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",2/4/2004,2,2004,20.5,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",2/18/2004,2,2004,19.8,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",3/3/2004,3,2004,21.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",3/17/2004,3,2004,22,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",4/7/2004,4,2004,25.1,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",4/21/2004,4,2004,24.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",5/5/2004,5,2004,24.8,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",5/19/2004,5,2004,23.5,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",6/2/2004,6,2004,28.2,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",6/16/2004,6,2004,26.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",7/7/2004,7,2004,25.1,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",7/21/2004,7,2004,23.6,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",8/4/2004,8,2004,25.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",8/18/2004,8,2004,23.6,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",9/1/2004,9,2004,23.3,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",9/14/2004,9,2004,24.8,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",10/6/2004,10,2004,18.9,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",10/20/2004,10,2004,18.3,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",11/3/2004,11,2004,20.3,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",11/17/2004,11,2004,22.5,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",12/1/2004,12,2004,28.9,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",12/15/2004,12,2004,28.8,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",1/5/2005,1,2005,20.8,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",1/19/2005,1,2005,21.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",2/2/2005,2,2005,25.1,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",2/16/2005,2,2005,23,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",3/9/2005,3,2005,30.6,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",3/23/2005,3,2005,19.8,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",4/6/2005,4,2005,19.7,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",4/20/2005,4,2005,23.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",5/4/2005,5,2005,22.6,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",5/18/2005,5,2005,21.6,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",6/1/2005,6,2005,23.9,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",6/14/2005,6,2005,25.9,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",7/6/2005,7,2005,22,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",7/20/2005,7,2005,19.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",8/3/2005,8,2005,18.9,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",8/17/2005,8,2005,17.3,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",9/7/2005,9,2005,19.2,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",9/20/2005,9,2005,21.6,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",10/12/2005,10,2005,25.6,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",10/19/2005,10,2005,23.6,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",11/2/2005,11,2005,27.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",11/16/2005,11,2005,20.5,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",12/7/2005,12,2005,27,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",12/20/2005,12,2005,21.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",1/10/2006,1,2006,22,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",1/17/2006,1,2006,20.2,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",2/1/2006,2,2006,21.1,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",2/15/2006,2,2006,27.2,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",3/1/2006,3,2006,17.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",3/15/2006,3,2006,19.8,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",4/5/2006,4,2006,20.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",4/19/2006,4,2006,28.2,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",5/4/2006,5,2006,24.4,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",5/17/2006,5,2006,21.5,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",6/8/2006,6,2006,26.8,mg/L
Dublin San Ramon Services District Permit,M-002F2 Eff Daily Maximum mg/L,"Ammonia, Total (as N)",6/22/2006,6,2006,26.4,mg/L
