SAMPLENUM,SITE,LOCATOR,CDATE,Month,Year,TIME,SAMTYPE,PARM_STORED,QUAL,NUMVALUE,UNITS,MDLVALUE,METHODREF,COMMENTS
L2714-5,WWTP EFFLUENT,EFF EPS,6/1/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,30,mg/L,,EPA 350.2,
L3019-6,WWTP EFFLUENT,EFF EPS,6/6/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,33.3,mg/L,,EPA 350.2,
L3135-5,WWTP EFFLUENT,EFF EPS,6/8/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,33.3,mg/L,,EPA 350.2,
L3249-5,WWTP EFFLUENT,EFF EPS,6/13/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,31.4,mg/L,,EPA 350.2,
L3491-5,WWTP EFFLUENT,EFF EPS,6/16/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,32.2,mg/L,,EPA 350.2,
L3564-1,WWTP EFFLUENT,EFF EPS,6/20/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,35.8,mg/L,,EPA 350.2,tue. & thu.FEC
L3689-5,WWTP EFFLUENT,EFF EPS,6/22/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,27.4,mg/L,,EPA 350.2,
L3887-5,WWTP EFFLUENT,EFF EPS,6/27/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,28.4,mg/L,,EPA 350.2,FEC
L4003-1,WWTP EFFLUENT,EFF DECHLOR,6/29/1994,6,1994,8:00:00 AM,CT15,AMMONIA AS N,,26.9,mg/L,,EPA 350.2,
L4000-5,WWTP EFFLUENT,EFF EPS,6/29/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,25.8,mg/L,,EPA 350.2,
L4185-5,WWTP EFFLUENT,EFF EPS,7/4/1994,7,1994,12:00:00 PM,CF01,AMMONIA AS N,,36.7,mg/L,,EPA 350.2,fec
L4251-1,WWTP EFFLUENT,EFF DECHLOR,7/6/1994,7,1994,7:00:00 AM,CT15,AMMONIA AS N,,30.8,mg/L,,EPA 350.2,
L4247-5,WWTP EFFLUENT,EFF EPS,7/6/1994,7,1994,12:00:00 PM,CF01,AMMONIA AS N,,30.2,mg/L,,EPA 350.2,#NAME?
L4366-5,WWTP EFFLUENT,EFF EPS,7/11/1994,7,1994,12:00:00 PM,CF01,AMMONIA AS N,,31.4,mg/L,,EPA 350.2,ICP and +Save 14 poured off at SaCtrl.
L4491-5,WWTP EFFLUENT,EFF EPS,7/14/1994,7,1994,12:00:00 PM,CF01,AMMONIA AS N,,30.8,mg/L,,EPA 350.2,"IC:C = NO3, +Save 14 and ICP:VF poured out at SaCtrl."
L4578-5,WWTP EFFLUENT,EFF EPS,7/18/1994,7,1994,12:00:00 PM,CF01,AMMONIA AS N,,30.5,mg/L,,EPA 350.2,+SAVE 14 and ICP poured out at SaCtrl.
L4672-5,WWTP EFFLUENT,EFF EPS,7/20/1994,7,1994,12:00:00 PM,CF01,AMMONIA AS N,,29.1,mg/L,,EPA 350.2,+Save 14 and ICP:VF poured out at SaCtrl.
L4801-5,WWTP EFFLUENT,EFF EPS,7/25/1994,7,1994,12:00:00 PM,CF01,AMMONIA AS N,,29.3,mg/L,0.005,EPA 350.2,FEC - +SAVE 14 poured off at SaCtrl.
L4882-5,WWTP EFFLUENT,EFF EPS,7/27/1994,7,1994,12:00:00 PM,CF01,AMMONIA AS N,,28.3,mg/L,0.005,EPA 350.2,+SAVE 14 and ICP poured out at SaCtrl.
L5162-1,WWTP EFFLUENT,EFF DECHLOR,8/1/1994,8,1994,7:30:00 AM,CT15,AMMONIA AS N,,36.1,mg/L,0.3,EPA 350.2,to be comp in lab
L5159-5,WWTP EFFLUENT,EFF EPS,8/1/1994,8,1994,12:00:00 PM,CF01,AMMONIA AS N,,33.9,mg/L,0.005,EPA 350.2,+SAVE 14 and ICP poured out at SaCtrl.
