Date,Month,Year,Flow,NH3
1/1/2005,1,2005,8.57,6
2/1/2005,2,2005,7.32,2
3/1/2005,3,2005,7.94,2.9
4/1/2005,4,2005,5.67,4.5
5/1/2005,5,2005,6.22,7.1
6/1/2005,6,2005,5.35,1.9
7/1/2005,7,2005,5.14,
8/1/2005,8,2005,5.08,
9/1/2005,9,2005,4.92,
10/1/2005,10,2005,4.98,
11/1/2005,11,2005,5.28,5.4
12/1/2005,12,2005,8.98,6.1
1/1/2006,1,2006,8.82,8.3
2/1/2006,2,2006,6.76,9.5
3/1/2006,3,2006,10.26,6.4
4/1/2006,4,2006,9.81,5.2
5/1/2006,5,2006,5.58,7.5
6/1/2006,6,2006,5.22,5.8
7/1/2006,7,2006,4.93,
8/1/2006,8,2006,4.89,
9/1/2006,9,2006,4.82,
10/1/2006,10,2006,4.84,
11/1/2006,11,2006,5.33,6
12/1/2006,12,2006,6.42,2.7
1/1/2007,1,2007,5.38,8.2
2/1/2007,2,2007,7.53,8.9
3/1/2007,3,2007,5.79,9.9
4/1/2007,4,2007,5.3,10.7
5/1/2007,5,2007,5.08,6.6
6/1/2007,6,2007,4.94,
7/1/2007,7,2007,4.8,
8/1/2007,8,2007,4.68,
9/1/2007,9,2007,4.66,
10/1/2007,10,2007,5.21,
11/1/2007,11,2007,5.04,5.9
12/1/2007,12,2007,5.49,4.2
1/1/2008,1,2008,9.4,2.9
2/1/2008,2,2008,6.76,0.6
3/1/2008,3,2008,4.93,1.4
4/1/2008,4,2008,4.5,2.2
5/1/2008,5,2008,4.32,5.1
6/1/2008,6,2008,4.14,
7/1/2008,7,2008,4,
8/1/2008,8,2008,3.99,
9/1/2008,9,2008,3.9,
10/1/2008,10,2008,3.92,
11/1/2008,11,2008,4.34,
12/1/2008,12,2008,4.53,8.6
1/1/2009,1,2009,4.29,2.9
2/1/2009,2,2009,8.26,3.8
3/1/2009,3,2009,6.44,3.1
4/1/2009,4,2009,4.25,3.2
5/1/2009,5,2009,4.19,
6/1/2009,6,2009,4.05,
7/1/2009,7,2009,3.8,
8/1/2009,8,2009,3.81,
9/1/2009,9,2009,3.88,
10/1/2009,10,2009,3.9,
10/2/2009,10,2009,3.7,
10/3/2009,10,2009,3.8,
10/4/2009,10,2009,3.9,
