Date,Month,Year,Flow,NH3,NO2,NO3,PO4
1-Jan-94,1,1994,18.93,,,,
2-Jan-94,1,1994,20.34,,,,
3-Jan-94,1,1994,23.05,,,,
4-Jan-94,1,1994,22.87,,,,
5-Jan-94,1,1994,22.22,,,,
6-Jan-94,1,1994,21.59,,,,
7-Jan-94,1,1994,21.13,0.1,,,
8-Jan-94,1,1994,22.19,,,,
9-Jan-94,1,1994,21.3,,,,
10-Jan-94,1,1994,22.65,0.1,0.003,17,24
11-Jan-94,1,1994,21.93,,,,
12-Jan-94,1,1994,22.33,,,,
13-Jan-94,1,1994,22.18,,,,
14-Jan-94,1,1994,22.2,,,,
15-Jan-94,1,1994,21.71,,,,
16-Jan-94,1,1994,21.15,,,,
17-Jan-94,1,1994,17.28,,,,
18-Jan-94,1,1994,18.13,0.1,,,
19-Jan-94,1,1994,19.83,,,,
20-Jan-94,1,1994,22.33,,,,
21-Jan-94,1,1994,22.47,,,,
22-Jan-94,1,1994,20.98,,,,
23-Jan-94,1,1994,20.97,0.1,0.002,16,
24-Jan-94,1,1994,24.69,,,,
25-Jan-94,1,1994,24.26,,,,
26-Jan-94,1,1994,23.71,,,,
27-Jan-94,1,1994,23.4,,,,
28-Jan-94,1,1994,23.63,,,,
29-Jan-94,1,1994,22.3,,,,
30-Jan-94,1,1994,22.95,,,,
31-Jan-94,1,1994,22.76,,,,
1-Feb-94,2,1994,22.29,,,,
2-Feb-94,2,1994,22.62,,,,
3-Feb-94,2,1994,22.23,,,,
4-Feb-94,2,1994,21.97,,,,
5-Feb-94,2,1994,22.14,0.1,,,
6-Feb-94,2,1994,22.52,,,,
7-Feb-94,2,1994,26.61,,,,
8-Feb-94,2,1994,22.89,0.1,0.003,16,11
9-Feb-94,2,1994,23.28,,,,
10-Feb-94,2,1994,23.38,,,,
11-Feb-94,2,1994,23.38,,,,
12-Feb-94,2,1994,21.54,,,,
13-Feb-94,2,1994,21.08,,,,
14-Feb-94,2,1994,22.49,,,,
15-Feb-94,2,1994,21.99,,,,
16-Feb-94,2,1994,22.41,,,,
17-Feb-94,2,1994,25.13,0.1,,,
18-Feb-94,2,1994,26.54,,,,
19-Feb-94,2,1994,25.63,,,,
20-Feb-94,2,1994,24.86,,,,
21-Feb-94,2,1994,25.96,,,,
22-Feb-94,2,1994,27.56,,,,
23-Feb-94,2,1994,22.63,0.1,0.004,19,
24-Feb-94,2,1994,24.64,,,,
25-Feb-94,2,1994,25.3,,,,
26-Feb-94,2,1994,22.07,,,,
27-Feb-94,2,1994,22.9,,,,
28-Feb-94,2,1994,23.98,,,,
1-Mar-94,3,1994,24.3,,,,
2-Mar-94,3,1994,24.18,0.1,,,
3-Mar-94,3,1994,24.87,,,,
4-Mar-94,3,1994,25.12,,,,
5-Mar-94,3,1994,23.43,,,,
6-Mar-94,3,1994,22.08,,,,
7-Mar-94,3,1994,23.7,,,,
8-Mar-94,3,1994,23.37,0.1,0.002,17,12
9-Mar-94,3,1994,22.89,,,,
10-Mar-94,3,1994,22.68,,,,
11-Mar-94,3,1994,24.12,,,,
12-Mar-94,3,1994,23.66,,,,
13-Mar-94,3,1994,18.06,,,,
14-Mar-94,3,1994,22.42,,,,
15-Mar-94,3,1994,22.4,,,,
16-Mar-94,3,1994,22.49,,,,
17-Mar-94,3,1994,22.57,,,,
18-Mar-94,3,1994,23.39,0.1,,,
19-Mar-94,3,1994,21.51,,,,
20-Mar-94,3,1994,25.01,,,,
21-Mar-94,3,1994,17.84,0.1,0.002,19,
22-Mar-94,3,1994,22.79,,,,
23-Mar-94,3,1994,22.64,,,,
24-Mar-94,3,1994,23.81,,,,
25-Mar-94,3,1994,28.62,,,,
26-Mar-94,3,1994,18.68,,,,
27-Mar-94,3,1994,17.79,0.4,,,
28-Mar-94,3,1994,23.16,,,,
29-Mar-94,3,1994,23.42,,,,
30-Mar-94,3,1994,22.65,,,,
31-Mar-94,3,1994,23.44,,,,
1-Apr-94,4,1994,23.58,,,,
2-Apr-94,4,1994,22.57,,,,
3-Apr-94,4,1994,21.18,,,,
4-Apr-94,4,1994,23.28,,,,
5-Apr-94,4,1994,22.35,,,,
6-Apr-94,4,1994,22.96,0.1,0.003,20,12
7-Apr-94,4,1994,23.4,,,,
8-Apr-94,4,1994,23.64,,,,
9-Apr-94,4,1994,23.12,,,,
10-Apr-94,4,1994,21.61,,,,
11-Apr-94,4,1994,23.72,,,,
12-Apr-94,4,1994,21.38,0.1,,,
13-Apr-94,4,1994,22.44,,,,
14-Apr-94,4,1994,22.41,,,,
15-Apr-94,4,1994,22.04,,,,
16-Apr-94,4,1994,21.43,,,,
17-Apr-94,4,1994,21.09,,,,
18-Apr-94,4,1994,22.88,,,,
19-Apr-94,4,1994,21.29,,,,
