Date,Month,Year,Flow,NH3,NO3,TSS,minpH,maxpH,minTemp,maxTemp
3/3/2004,3,2004,2.3,4.74,,4,6.8,7.4,70.8,72.3
4/1/2004,4,2004,2.3,0.05,,5.3,6.6,6.9,83.2,84.8
5/5/2004,5,2004,2.5,0.05,,3,6.8,7.3,86.7,88.9
6/2/2004,6,2004,2.5,0.05,,1.1,,,89.3,91.5
7/1/2004,7,2004,2.2,0.05,,1.28,,,85,87.1
8/3/2004,8,2004,8.3,0.05,,2.72,,,81.7,84.1
9/1/2004,9,2004,2.5,0.05,,0.9,,,89.6,91.6
10/5/2004,10,2004,2.6,0.05,,2.7,,,82.8,84.8
11/4/2004,11,2004,3.3,0.05,,2.8,6.8,7,74.5,81.4
12/2/2004,12,2004,2.2,0.05,,1.5,6.9,7.1,74.4,76.2
12/23/2004,12,2004,2.56,,,2.6,7,7.1,75,76.6
12/24/2004,12,2004,2.6,,,1.9,7.1,7.2,74.7,75.9
12/25/2004,12,2004,2.62,,,2.6,7.1,7.2,74.9,75.9
12/26/2004,12,2004,2.76,,,4.1,7.1,7.3,75.5,76.3
12/28/2004,12,2004,7.65,,,192,6.9,7.1,66.2,67.9
12/29/2004,12,2004,7.28,,,10,7,7.1,67,68.4
12/30/2004,12,2004,5.56,,,149,6.7,7.2,65.2,68.4
12/31/2004,12,2004,5.53,,,44.2,6.9,7.2,65.1,66.6
1/1/2005,1,2005,5.19,,,58.5,7,7.2,65.4,67.1
1/2/2005,1,2005,5.9,,,23.3,6.2,7.2,62.3,67.8
1/3/2005,1,2005,5.81,,,18.5,6.6,7.4,62.8,65.7
1/4/2005,1,2005,6.55,1.57,,11,7.1,7.2,65.7,67.4
1/5/2005,1,2005,6.42,,,12.9,7.1,7.4,65.4,67
1/6/2005,1,2005,5.94,,,12.6,7.1,7.2,65.6,68.2
1/7/2005,1,2005,5.75,,,12.1,7.1,7.2,65.7,68.2
1/8/2005,1,2005,5.79,,,13.3,7.1,7.2,64.8,66
1/9/2005,1,2005,4.92,,,13.2,7,7.2,64.2,66.8
1/10/2005,1,2005,4.61,,,10.8,7.1,7.3,66.8,69.6
1/11/2005,1,2005,5.62,,,9.4,7.1,7.2,64.4,69.3
1/12/2005,1,2005,4.79,,,9.4,6.1,7.3,64.1,65.8
1/13/2005,1,2005,4.13,,,7,7.1,7.2,65.5,66.3
1/14/2005,1,2005,3.08,,,6.8,6.6,7.4,65.9,67
1/15/2005,1,2005,3.13,,,5,7.2,7.4,66.9,67.7
1/16/2005,1,2005,3.15,,,6.2,7.1,7.3,67.6,69.3
2/2/2005,2,2005,1.89,0.04,,5.2,6.8,7.4,72.7,74.7
3/2/2005,3,2005,3.2,0.04,,1,5.9,7.2,67.4,68.2
4/5/2005,4,2005,3.9,0.04,,4.2,6.7,7,71.5,74.5
5/3/2005,5,2005,2.8,0.34,,1.9,6.7,6.9,83.6,85.3
6/1/2005,6,2005,2.9,0.04,,3.8,,,85.9,88.2
7/5/2005,7,2005,2.3,0.04,,3,6.8,7.1,87.8,89.3
8/2/2005,8,2005,3.3,0.18,,2.3,6.8,6.9,88.6,90.9
9/6/2005,9,2005,3,0.18,,1.8,6.7,6.9,86.2,87.8
10/4/2005,10,2005,3,0.04,,,7,7.4,83.5,85
10/20/2005,10,2005,3.2,,,4,7.2,7.4,81.3,83.1
11/1/2005,11,2005,3.1,0.04,,3.6,6.1,7.5,82.3,83.9
12/6/2005,12,2005,3.3,0.93,,8.8,6.7,7,71.4,73.3
1/4/2006,1,2006,7.93,0.04,,6.9,7.1,7.4,65,66.9
2/7/2006,2,2006,2.51,0.04,,5.1,7,7.2,75.8,77.9
3/2/2006,3,2006,5.35,8.45,,6.48,7.1,7.3,70.5,71.2
4/4/2006,4,2006,5.71,0.04,,10.6,7.1,7.4,67,69.5
4/12/2006,4,2006,6.48,0.04,,,7.2,7.4,72,74.2
4/13/2006,4,2006,4.92,0.04,,,7,7.3,71.5,73.6
5/2/2006,5,2006,3.11,0.04,,1.8,6.9,7,,83.9
6/1/2006,6,2006,3.04,0.04,,2.9,6.8,7.1,85.7,87.5
7/6/2006,7,2006,3.35,0.16,,3.4,6.8,8.6,81.3,85.3
8/2/2006,8,2006,3.62,0.6,,1.4,,,87.5,89.2
9/6/2006,9,2006,2.86,0.04,,1.44,,,88.7,90.3
10/3/2006,10,2006,4.01,0.04,,1.8,7.1,7.3,,83.6
11/8/2006,11,2006,2.93,0.04,,2.9,6.9,7,82.3,84.8
12/6/2006,12,2006,1.94,0.1,,2.7,,,79.1,81.5
1/3/2007,1,2007,2.03,0.04,,2.9,6.9,7.1,74.4,75.4
1/8/2007,1,2007,3.02,0.43,16,,7.1,7.2,76.2,77.1
2/6/2007,2,2007,3.33,0.17,11,,6.9,7,74.6,75.3
3/1/2007,3,2007,1.76,0.19,6.8,3.1,6.6,7,66.1,67.9
4/3/2007,4,2007,2.55,0.14,19,3.9,6.8,6.9,80.7,82.9
5/2/2007,5,2007,2.88,0.1,21,10.9,6.5,6.7,84.2,86.5
