Date,Flow,RichmondNH3,RichmondTKN,RichmondNO3_NO2,Richmond_TP,NH3load,NO3load,TPload,TKNload
3/26/2008,6.72,28,,,,651.777,,,
4/2/2008,5.86,45,,0.036,,998.1045,0.7984836,,
4/7/2008,6.38,25,,,,603.7075,,,
4/9/2008,5.95,30,,,,675.6225,,,
4/17/2008,6.17,33,,0.036,,770.66385,0.8407242,,
5/1/2008,6,31,,0.041,,704.01,0.93111,,
5/7/2008,6.55,26,,0.035,,644.5855,0.86771125,,
5/29/2008,5.89,27,,,,601.92855,,,
6/20/2008,6.38,24,,,,579.5592,,,
7/9/2008,6.29,23,,,,547.57595,,,
7/10/2008,6.13,,,,,,,,
8/7/2008,7.43,23,,,,646.81865,,,
9/4/2008,5.98,23,,,,520.5889,,,
10/2/2008,6.42,39,,,,947.6883,,,
11/6/2008,6.21,20,,,,470.097,,,
12/9/2008,6.46,28,,,,684.6308,,,
1/9/2009,6.7,24,,,,608.628,,,
2/19/2009,11.32,7.2,,,,308.49264,,,
3/11/2009,9.21,16,,,,557.7576,,,
4/2/2009,7.11,30,,,,807.3405,,,
5/5/2009,7.14,23,,,,621.5727,,,
6/12/2009,6.01,26,,,,591.4441,,,
7/9/2009,5.23,22,,,,435.5021,,,
8/5/2009,6.08,24,,,,552.3072,,,
9/4/2009,5.36,23,,,,466.6148,,,
10/7/2009,5.94,24,,,,539.5896,,,
11/10/2009,5.84,24,,,,530.5056,,,
12/9/2009,5.6,32,,,,678.272,,,
12/11/2009,8.44,,26,0.21,1.7,,6.708534,54.30718,830.5804
1/6/2010,6.87,22,,,,572.0649,,,
2/10/2010,10.53,10,,,,398.5605,,,
3/10/2010,8.7,15,,,,493.9425,,,
4/8/2010,7.02,15,,,,398.5605,,,
5/7/2010,5.83,24,,,,529.5972,,,
6/16/2010,6.09,27,,,,622.36755,,,
7/14/2010,6.4,25,,,,605.6,,,
8/11/2010,5.79,27,,,,591.70905,,,
9/10/2010,5.64,19,,,,405.6006,,,
10/20/2010,5.82,29,,,,638.8323,,,
11/4/2010,6.06,25,,,,573.4275,,,
12/15/2010,6.03,19,19,,1.4,433.64745,,31.95297,433.64745
12/30/2010,14.51,,12,2.8,0.7,,153.77698,38.444245,659.0442
1/13/2011,,20,,,,,,,
2/16/2011,,8.2,,,,,,,
3/16/2011,,0.88,,,,,,,
4/7/2011,,14,,,,,,,
5/10/2011,,22,,,,,,,
6/9/2011,7.11,20,,,,538.227,,,
7/12/2011,6.44,27,,,,658.1358,,,
7/20/2011,6.24,,21,,0.81,,,,
8/10/2011,5.92,16,,,,358.5152,,,
9/8/2011,,26,,,,,,,
10/7/2011,7.44,11,,,,309.7644,,,
11/16/2011,,22,,,,,,,
12/13/2011,5.86,20,,,,443.602,,,
12/30/2011,5.5,,26,0.15,1.2,,,,
1/11/2012,,19,,,,,,,
2/8/2012,,18,,,,,,,
6/12/2012,,,19,,1.5,,,,
