PermitTitle,Description,Pollutant,Date,Month,Year,Value,Unit
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/1/2009,1,2009,6.3,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/1/2009,1,2009,2.89,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/1/2009,1,2009,2.5,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/2/2009,1,2009,14,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/2/2009,1,2009,5.58,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/2/2009,1,2009,4.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/3/2009,1,2009,7.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/3/2009,1,2009,3.52,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/3/2009,1,2009,2.7,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/4/2009,1,2009,6.7,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/4/2009,1,2009,3.23,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/4/2009,1,2009,2.3,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/5/2009,1,2009,6.7,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/5/2009,1,2009,3.2,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/5/2009,1,2009,2.5,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/6/2009,1,2009,6.3,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/6/2009,1,2009,2.92,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/6/2009,1,2009,2.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/7/2009,1,2009,6.5,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/7/2009,1,2009,2.99,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/7/2009,1,2009,2.2,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/8/2009,1,2009,6.3,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/8/2009,1,2009,2.75,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/8/2009,1,2009,2.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/9/2009,1,2009,6.8,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/9/2009,1,2009,2.6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/9/2009,1,2009,2.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/10/2009,1,2009,6.8,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/10/2009,1,2009,2.75,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/10/2009,1,2009,1.7,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/11/2009,1,2009,6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/11/2009,1,2009,2.8,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/11/2009,1,2009,1.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/12/2009,1,2009,5.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/12/2009,1,2009,2.73,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/12/2009,1,2009,1.8,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/13/2009,1,2009,6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/13/2009,1,2009,2.57,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/13/2009,1,2009,1.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/14/2009,1,2009,5.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/14/2009,1,2009,2.52,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/14/2009,1,2009,1.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/15/2009,1,2009,6.3,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/15/2009,1,2009,2.59,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/15/2009,1,2009,1.7,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/16/2009,1,2009,6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/16/2009,1,2009,2.39,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/16/2009,1,2009,1.7,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/17/2009,1,2009,6.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/17/2009,1,2009,2.38,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/17/2009,1,2009,1.6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/18/2009,1,2009,6.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/18/2009,1,2009,2.54,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/18/2009,1,2009,2.1,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/19/2009,1,2009,6.8,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/19/2009,1,2009,2.95,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/19/2009,1,2009,1.9,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/20/2009,1,2009,6.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/20/2009,1,2009,2.55,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/20/2009,1,2009,2,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/21/2009,1,2009,7.7,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/21/2009,1,2009,3.08,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/21/2009,1,2009,2.2,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/22/2009,1,2009,8.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/22/2009,1,2009,3.09,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/22/2009,1,2009,2.3,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/23/2009,1,2009,6.3,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/23/2009,1,2009,2.96,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/23/2009,1,2009,2.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/24/2009,1,2009,6.6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/24/2009,1,2009,2.83,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/24/2009,1,2009,2.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/25/2009,1,2009,6.8,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/25/2009,1,2009,2.89,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/25/2009,1,2009,2,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/26/2009,1,2009,6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/26/2009,1,2009,2.72,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/26/2009,1,2009,2,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/27/2009,1,2009,6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/27/2009,1,2009,2.6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/27/2009,1,2009,1.8,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/28/2009,1,2009,6.2,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/28/2009,1,2009,2.51,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/28/2009,1,2009,1.7,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/29/2009,1,2009,6.2,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/29/2009,1,2009,2.55,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/29/2009,1,2009,1.6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Maximum,Flow,1/30/2009,1,2009,5.6,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Average,Flow,1/30/2009,1,2009,2.4,mgd
Sewerage Agency of Southern Marin Permit,A-001 (Influent) Inf Daily Minimum,Flow,1/30/2009,1,2009,1.6,mgd
