Date,Month,Year,Flow,NH3,NO2,NO3,TKN,OrgN,TP,Temp,pH,TSS,TDS
12/31/1981,12,1981,15.7,0.3,0.010,16.4,,0.5,,,,,
1/31/1982,1,1982,13.4,3.9,0.010,17.8,,1.1,,,,,
2/28/1982,2,1982,18.2,0.9,0.010,22.6,,0.7,,,,,
3/31/1982,3,1982,16.1,2.1,0.010,17.3,,3.4,,,,,
4/30/1982,4,1982,19.1,0.7,0.010,16.3,,2.5,,,,,
5/31/1982,5,1982,14.4,0.2,0.010,19.7,,0.9,,,,,
6/30/1982,6,1982,16,0.2,0.010,10.2,,0.9,,,,,
7/31/1982,7,1982,17.2,0.2,0.100,3.6,,4.4,,,,,
8/31/1982,8,1982,14.9,0.6,0.010,4.1,,2.0,,,,,
9/30/1982,9,1982,15,0.2,0.0,8.6,,2.3,,,,,
10/31/1982,10,1982,13.8,1.4,0.0,15.3,,0.6,,,,,
11/30/1982,11,1982,11.9,3.3,0.0,20.3,,0.4,,,,,
12/31/1982,12,1982,18.1,1.5,0.0,18.5,,0.6,,,,,
1/31/1983,1,1983,18.3,2.8,0.1,23.8,,1.2,,,,,
2/28/1983,2,1983,22,0.8,0.0,25.8,,0.8,,,,,
3/31/1983,3,1983,24.8,0.9,0.1,18.8,,1.0,,,,,
4/30/1983,4,1983,26.1,0.6,0.1,16.0,,1.4,,,,,
5/31/1983,5,1983,24.2,0.2,0.0,12.7,,1.2,,,,,
6/30/1983,6,1983,18.2,0.2,0.0,8.4,,1.0,,,,,
7/31/1983,7,1983,22.5,0.0,0.0,7.6,,7.6,,,,,
8/31/1983,8,1983,22.5,0.3,0.0,5.0,,2.2,,,,,
9/30/1983,9,1983,22.5,0.3,0.0,5.4,,0.9,,,,,
10/31/1983,10,1983,22.5,0.9,0.0,10.1,,0.4,,,,,
11/30/1983,11,1983,22.5,2.0,0.0,8.6,,1.0,,,,,
12/31/1983,12,1983,22.5,3.8,0.0,16.1,,2.8,,,,,
1/31/1984,1,1984,22.5,1.3,0.0,17.5,,0.9,,,,,
2/29/1984,2,1984,22.5,3.4,0.0,18.6,,2.8,,,,,
3/31/1984,3,1984,22.5,3.1,0.0,17.3,,0.7,,,,,
4/30/1984,4,1984,22.5,1.8,0.0,18.1,,1.8,,,,,
5/31/1984,5,1984,22.5,0.1,0.0,10.0,,3.2,,,,,
6/30/1984,6,1984,22.5,0.3,0.0,7.5,,3.8,,,,,
7/31/1984,7,1984,22.5,0.8,0.0,6.0,,2.8,,,,,
8/31/1984,8,1984,16,0.8,0.0,3.7,,3.3,,,,,
9/30/1984,9,1984,21,0.8,0.0,4.5,,2.8,,,,,
10/31/1984,10,1984,20.7,0.9,0.0,6.0,,4.2,,,,,
11/30/1984,11,1984,21.2,1.0,0.0,9.8,,3.2,,,,,
12/31/1984,12,1984,19.2,3.8,0.1,21.2,,3.9,,,,,
1/31/1985,1,1985,16.8,3.2,0.0,15.4,,4.7,,,,,
2/28/1985,2,1985,19.3,1.8,0.0,16.6,,6.3,,,,,
3/31/1985,3,1985,15.4,0.8,0.0,13.3,,2.1,,,,,
4/30/1985,4,1985,17.6,3.6,0.1,11.0,,2.6,,,,,
5/31/1985,5,1985,13.4,0.9,0.0,10.0,,4.6,,,,,
6/30/1985,6,1985,12.8,0.8,0.0,8.1,,3.1,,,,,
7/31/1985,7,1985,18.4,2.9,0.2,6.0,,0.7,,,,,
8/31/1985,8,1985,18.1,4.1,0.1,0.1,,1.1,,,,,
9/30/1985,9,1985,18,10.6,0.1,0.2,,5.2,,,,,
10/31/1985,10,1985,20.1,7.9,0.4,11.2,,2.4,,,,,
11/30/1985,11,1985,14,4.3,0.3,14.5,,2.1,,,,,
12/31/1985,12,1985,20.4,6.5,0.4,11.4,,2.5,,,,,
1/31/1986,1,1986,22,4.8,0.1,14.4,,0.6,,,,,
2/28/1986,2,1986,24.1,7.2,0.3,11.6,,0.3,,,,,
3/31/1986,3,1986,25.1,5.4,0.2,12.1,,2.4,,,,,
4/30/1986,4,1986,19.4,0.3,0.0,6.5,,2.5,,,,,
5/31/1986,5,1986,13.4,0.8,0.0,6.7,,3.1,,,,,
6/30/1986,6,1986,18.8,0.8,0.0,9.3,,1.9,,,,,
7/31/1986,7,1986,17,2.0,0.0,5.3,,2.4,,,,,
8/31/1986,8,1986,17.9,1.4,0.0,2.9,,2.9,,,,,
9/30/1986,9,1986,14.5,4.4,0.1,4.8,,2.3,,,,,
10/31/1986,10,1986,17,2.9,0.2,4.0,,1.9,,,,,
11/30/1986,11,1986,17.7,5.5,0.2,3.8,,2.3,,,,,
3-Jan-88,1,1988,17.91,10.8,0.3,8.2,,,23.2,9.5,7,8,
11-Jan-88,1,1988,25.24,,0.48,6.8,,4.4,,12.5,7.1,10.8,
15-Jan-88,1,1988,18.52,7.7,,,,,,12.5,6.5,10,
17-Jan-88,1,1988,25.18,11.8,,,,,,12.5,6.3,11.6,
19-Jan-88,1,1988,25.08,11.6,,,,,,12,6.7,10.4,
22-Jan-88,1,1988,25.62,,0.44,11.3,,,,12.5,7.2,11.2,
25-Jan-88,1,1988,18.64,,0.22,10.8,,0.9,,13,7.2,11.2,
1-Feb-88,2,1988,18.61,,0.24,13.2,,,,13,7.1,9.2,
10-Feb-88,2,1988,18.45,7.3,0.15,12.6,,,,15,7.3,11.4,
16-Feb-88,2,1988,18.23,,0.1,12.2,,,20.8,15,7.3,10.8,
17-Feb-88,2,1988,18.38,6.3,,,,,,15,7.1,10.8,
21-Feb-88,2,1988,18.58,9,,,,,,15.5,7.2,9.2,
24-Feb-88,2,1988,18.63,,0.16,12.9,,1,,16.5,7.1,10.8,
