PermitTitle,Description,Pollutant,Date,Month,Year,GTLT,Value,Unit,ML,MDL,RDL,CTR,Comment
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,5/7/2008,5,2008, ,17,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,5/31/2008,5,2008, ,17,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,6/20/2008,6,2008, ,23,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,6/30/2008,6,2008, ,23,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,7/9/2008,7,2008, ,20,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,7/31/2008,7,2008, ,20,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,8/7/2008,8,2008, ,22,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,8/31/2008,8,2008, ,22,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,9/4/2008,9,2008, ,18,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,9/30/2008,9,2008, ,18,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,10/2/2008,10,2008, ,28,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,10/31/2008,10,2008, ,28,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,11/1/2008,11,2008, ,9.9,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,11/3/2008,11,2008, ,8.6,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,11/6/2008,11,2008, ,11,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,11/30/2008,11,2008, ,9.83,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,12/9/2008,12,2008, ,22,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,12/31/2008,12,2008, ,22,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,1/9/2009,1,2009, ,15,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,1/31/2009,1,2009, ,15,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,2/13/2009,2,2009, ,8.4,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,2/15/2009,2,2009, ,6.9,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,2/16/2009,2,2009, ,2.3,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,2/17/2009,2,2009, ,4.6,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,2/21/2009,2,2009, ,4,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,2/22/2009,2,2009, ,5.5,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,2/23/2009,2,2009, ,4.5,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,2/24/2009,2,2009, ,3.4,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,2/28/2009,2,2009, ,4.95,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,3/2/2009,3,2009, ,4.8,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,3/3/2009,3,2009, ,5,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,3/5/2009,3,2009, ,3.9,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,3/11/2009,3,2009, ,11,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,3/31/2009,3,2009, ,6.18,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,4/2/2009,4,2009, ,21,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,4/30/2009,4,2009, ,21,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,5/5/2009,5,2009, ,12,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,5/31/2009,5,2009, ,12,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,6/12/2009,6,2009, ,13,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,6/30/2009,6,2009, ,13,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,7/9/2009,7,2009, ,14,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,7/31/2009,7,2009, ,14,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,8/5/2009,8,2009, ,21,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,8/31/2009,8,2009, ,21,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,9/4/2009,9,2009, ,22,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,9/30/2009,9,2009, ,22,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,10/7/2009,10,2009, ,23,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,10/13/2009,10,2009, ,12,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,10/31/2009,10,2009, ,17.5,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,11/10/2009,11,2009, ,21,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,11/30/2009,11,2009, ,21,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,12/9/2009,12,2009, ,15,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,12/31/2009,12,2009, ,15,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,1/6/2010,1,2010, ,15,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,1/20/2010,1,2010, ,2.2,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,1/21/2010,1,2010, ,2.7,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,1/23/2010,1,2010, ,2.8,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,1/26/2010,1,2010, ,3.4,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,1/31/2010,1,2010, ,5.22,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,2/10/2010,2,2010, ,4.8,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,2/28/2010,2,2010, ,4.8,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,3/10/2010,3,2010, ,14,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,3/31/2010,3,2010, ,14,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,4/8/2010,4,2010, ,7.7,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,4/30/2010,4,2010, ,7.7,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,5/7/2010,5,2010, ,21,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,5/31/2010,5,2010, ,21,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,6/16/2010,6,2010, ,24,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,6/30/2010,6,2010, ,24,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,7/14/2010,7,2010, ,21,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,7/31/2010,7,2010, ,21,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,8/11/2010,8,2010, ,26,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,8/31/2010,8,2010, ,26,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,9/10/2010,9,2010, ,19,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,9/30/2010,9,2010, ,19,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,10/20/2010,10,2010, ,29,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,10/31/2010,10,2010, ,29,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,11/4/2010,11,2010, ,26,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,11/30/2010,11,2010, ,26,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,12/15/2010,12,2010, ,21,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,12/31/2010,12,2010, ,21,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,1/13/2011,1,2011, ,20,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,1/31/2011,1,2011, ,20,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,2/16/2011,2,2011, ,10,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,2/25/2011,2,2011, ,4.5,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,2/28/2011,2,2011, ,7.25,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,3/16/2011,3,2011, ,13,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,3/19/2011,3,2011, ,3.4,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Maximum,NH3,3/20/2011,3,2011, ,3.4,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Monthly Average,NH3,3/31/2011,3,2011, ,6.6,mg/l, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/1/2003,1,2003, ,26.52,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/2/2003,1,2003, ,23.09,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/3/2003,1,2003, ,18.7,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/4/2003,1,2003, ,14.12,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/5/2003,1,2003, ,17.37,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/6/2003,1,2003, ,20.66,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/7/2003,1,2003, ,17.98,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/8/2003,1,2003, ,14.65,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/9/2003,1,2003, ,25.33,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/10/2003,1,2003, ,31.04,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/11/2003,1,2003, ,21.95,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/12/2003,1,2003, ,22.94,mgd, , , , , 
West County/Richmond Permit,E-001 DC-Combined) Eff Daily Average,Flow,1/13/2003,1,2003, ,16.61,mgd, , , , , 
